"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.883336000E-3,-2.778964281E0,4.324428558E0,9.362815857E0
2.454927300E-2,-2.202294111E0,4.147060871E0,9.882357597E0
4.121521100E-2,-2.042573214E0,4.236492634E0,9.734301567E0
5.788114800E-2,-1.976770639E0,4.102494240E0,9.033802986E0
7.454708600E-2,-2.015953064E0,4.267001152E0,8.293822289E0
9.121302300E-2,-1.960619092E0,4.410570145E0,8.075776100E0
1.078789610E-1,-1.811964989E0,4.247559071E0,7.975277901E0
1.245448980E-1,-1.985444546E0,4.201198578E0,8.051848412E0
1.412108360E-1,-2.211865425E0,4.179363728E0,8.507381439E0
1.578767730E-1,-2.319841623E0,4.158127785E0,8.715557098E0
1.745427110E-1,-2.273480654E0,4.215256214E0,8.746963501E0
1.912086480E-1,-2.122134686E0,4.159024715E0,8.624929428E0
2.078745860E-1,-2.085345030E0,4.129413605E0,8.480761528E0
2.245405230E-1,-2.233999014E0,4.261617184E0,8.606385231E0
2.412064610E-1,-2.309372902E0,4.258625984E0,8.843274117E0
2.578723980E-1,-2.177468538E0,4.106382847E0,9.046066284E0
2.745383360E-1,-2.134098768E0,4.115355968E0,8.927920341E0
2.912042730E-1,-2.221436739E0,4.162015915E0,8.790931702E0
3.078702110E-1,-2.253739834E0,4.177868366E0,8.719146729E0
3.245361480E-1,-2.281257391E0,4.101896286E0,8.788538933E0
3.412020860E-1,-2.329113722E0,4.051646709E0,9.318249702E0
3.578680230E-1,-2.296212435E0,4.048357010E0,9.732208252E0
3.745339610E-1,-2.174178362E0,3.902693748E0,9.924231529E0
3.911998980E-1,-1.801197290E0,3.336791277E0,9.817750931E0
4.078658360E-1,-1.276570916E0,3.084647417E0,9.417850494E0
4.245317730E-1,-1.525424480E0,3.258426189E0,9.499206543E0
4.411977110E-1,-1.595115423E0,3.440280676E0,9.376873970E0
4.578636480E-1,-9.583254457E-1,2.928216696E0,9.146265030E0
4.745295860E-1,-3.418745399E-1,2.672782898E0,8.815756798E0
4.911955230E-1,-2.991028428E-1,2.442772865E0,9.542277336E0
5.078614610E-1,-5.243272781E-1,2.347658157E0,9.982855797E0
5.245273980E-1,-6.370890141E-1,2.553440809E0,1.014437199E1
5.411933360E-1,-1.812563092E-1,2.665006161E0,9.438189507E0
5.578592730E-1,-2.506481707E-1,2.595913410E0,9.060422897E0
5.745252110E-1,-7.791628838E-1,2.349751949E0,9.058628082E0
5.911911480E-1,-4.558327198E-1,1.415952802E0,8.533104897E0
6.078570860E-1,3.451646566E-1,7.624131441E-1,9.578169823E0
6.245230230E-1,-1.444666684E-1,1.029212832E0,9.749555588E0
6.411889610E-1,-7.695915699E-1,2.197209358E0,1.018026352E1
6.578548980E-1,-9.385846853E-1,2.251945257E0,1.019462109E1
6.745208360E-1,-1.051346421E0,1.278365493E0,1.028704357E1
6.911867730E-1,-1.103091240E0,9.622138143E-1,9.764810562E0
7.078527110E-1,-1.398903966E0,1.133001566E0,9.502796173E0
7.245186480E-1,-1.293320656E0,1.269691467E0,9.947562218E0
7.411845860E-1,-1.365105271E0,1.715055585E0,1.052423191E1
7.578505230E-1,-1.284048438E0,2.141277075E0,1.052692413E1
7.745164610E-1,-1.615155339E0,2.808276415E0,1.026042366E1
7.911823980E-1,-1.175474167E0,1.773679733E0,9.709177017E0
8.078483360E-1,-4.785645306E-1,3.951148391E-1,9.699904442E0
8.245142730E-1,-2.871387303E-1,3.081058264E0,8.431708336E0
8.411802110E-1,-2.024926096E-1,3.632902861E0,9.478269577E0
8.578461480E-1,-4.247260094E-1,3.293122053E0,9.706784248E0
8.745120860E-1,-1.202393398E-1,2.107179403E0,1.039232826E1
8.911780230E-1,2.219343036E-1,2.117647976E-1,9.704391479E0
9.078439610E-1,-3.747758567E-1,-1.021735311E0,8.391031265E0
9.245098980E-1,-4.519443810E-1,1.172183990E0,9.430413246E0
9.411758360E-1,1.208375469E-1,1.941476464E0,9.955936432E0
9.578417730E-1,-1.145563871E-1,2.125723839E0,1.026251698E1
9.745077110E-1,-4.420739710E-1,2.201097727E0,1.085713387E1
9.911736480E-1,-1.980060786E-1,1.852642894E0,1.019671440E1
1.007839586E0,3.828516230E-2,1.298405409E0,8.551948547E0
1.024505523E0,1.743769497E-1,1.944766641E0,6.748058796E0
1.041171461E0,-1.138086319E0,1.942672849E0,7.505088329E0
1.057837398E0,-9.194421172E-1,2.519941330E0,9.527621269E0
1.074503336E0,-5.467599630E-1,2.255534410E0,1.061336517E1
1.091169273E0,2.790629268E-1,1.709372640E0,1.043898773E1
1.107835211E0,-1.175474152E-1,1.702194214E0,9.651150703E0
1.124501148E0,-1.612164259E0,2.784348249E0,1.042044353E1
1.141167086E0,5.114658549E-2,2.501995087E0,9.398110390E0
1.157833023E0,6.343970895E-1,2.158026934E0,9.859625816E0
1.174498961E0,1.200000525E0,2.219342947E0,9.286544800E0
1.191164898E0,3.077768087E-1,2.723032236E0,9.384949684E0
1.207830836E0,-7.618148923E-1,2.563909531E0,9.453145027E0
1.224496773E0,-1.859821439E0,4.081557274E0,9.874281883E0
1.241162711E0,-1.868794441E0,4.002295017E0,9.547960281E0
1.257828648E0,-1.411765337E0,4.077369690E0,9.004490852E0
1.274494586E0,-6.939185858E-1,3.555734396E0,8.187341690E0
1.291160523E0,-4.992026389E-1,3.395714521E0,7.969893932E0
1.307826461E0,-1.411765367E-1,3.357728481E0,7.971389771E0
1.324492398E0,5.931209326E-1,3.507279873E0,7.085746288E0
1.341158336E0,3.194418252E-1,4.421637058E0,6.514758587E0
1.357824273E0,5.919244885E-1,5.143970490E0,8.376973152E0
1.374490211E0,1.702194214E0,3.572185040E0,6.821937561E0
1.391156148E0,1.745863199E0,3.491427422E0,7.843373299E0
1.407822086E0,2.157129526E0,3.038286448E0,8.841180801E0
1.424488023E0,-7.806584239E-2,5.022833824E0,8.869296074E0
1.441153961E0,1.024427176E0,3.792922974E0,9.776176453E0
1.457819898E0,1.608574986E0,3.287738323E0,9.054141998E0
1.474485836E0,2.695813894E0,3.273680449E0,8.009973526E0
1.491151773E0,1.613061547E0,3.223431110E0,7.422236919E0
1.507817711E0,4.845465720E-1,2.902194738E0,8.233104706E0
1.524483648E0,1.901097536E0,2.525923491E0,1.075872898E1
1.541149586E0,3.285943747E0,2.710469961E0,1.169581795E1
1.557815523E0,3.705585003E0,2.743371248E0,1.005374336E1
1.574481461E0,2.674278498E0,3.078964472E0,9.468100548E0
1.591147398E0,2.236690998E0,3.269792080E0,9.330811501E0
1.607813336E0,1.981257200E0,3.343969584E0,9.157630920E0
1.624479273E0,2.149353027E0,3.639483213E0,9.255139351E0
1.641145211E0,2.994019270E0,3.554239035E0,9.293125153E0
1.657811148E0,3.588934898E0,3.483052492E0,8.945567131E0
1.674477086E0,3.464807272E0,3.551846027E0,9.089137077E0
1.691143023E0,3.120539904E0,3.545265913E0,9.588040352E0
1.707808961E0,2.800499916E0,3.528217077E0,9.643074989E0
1.724474898E0,2.742473841E0,3.489333630E0,9.515657425E0
1.741140836E0,2.924029350E0,3.337987661E0,9.755837440E0
1.757806773E0,3.359223843E0,3.327219963E0,1.005553818E1
