"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.454927300E-2,6.902772188E-2,-2.078467458E-1,2.215912044E-1
4.121521100E-2,3.520871997E-1,1.153007243E-2,2.774853408E-1
5.788114800E-2,4.734965563E-1,1.950185746E-1,2.680932879E-1
7.454708600E-2,3.501018882E-1,2.550360560E-1,1.754709035E-1
9.121302300E-2,1.324049383E-1,1.778380126E-1,6.543888897E-2
1.078789610E-1,-2.809977904E-2,2.947422490E-2,-3.107774630E-2
1.245448980E-1,-1.724165827E-1,-9.399681538E-2,-5.291616172E-2
1.412108360E-1,-1.962403059E-1,-1.461493969E-1,2.023489587E-2
1.578767730E-1,-1.246927753E-1,-1.362992078E-1,1.004109010E-1
1.745427110E-1,-7.597630471E-2,-9.987638891E-2,1.356119812E-1
1.912086480E-1,-8.071050793E-2,-6.436987966E-2,1.111773923E-1
2.078745860E-1,-1.591302752E-1,-1.020144150E-1,5.520690605E-2
2.245405230E-1,-2.645808160E-1,-2.022725940E-1,8.552107029E-3
2.412064610E-1,-2.989419401E-1,-2.688568532E-1,1.374445762E-2
2.578723980E-1,-2.603047490E-1,-2.251800299E-1,4.001164436E-2
2.745383360E-1,-2.367101014E-1,-1.459966749E-1,2.336557768E-2
2.912042730E-1,-2.918406427E-1,-1.395062506E-1,-2.504545636E-2
3.078702110E-1,-4.675406218E-1,-2.561050653E-1,-1.366046369E-1
3.245361480E-1,-6.990583539E-1,-4.499019086E-1,-2.322813272E-1
3.412020860E-1,-8.635337353E-1,-6.672934294E-1,-3.016908467E-1
3.578680230E-1,-8.691841960E-1,-8.462004066E-1,-3.489564955E-1
3.745339610E-1,-7.660244107E-1,-8.623120189E-1,-3.852266073E-1
3.911998980E-1,-6.579777002E-1,-7.023417950E-1,-3.367392123E-1
4.078658360E-1,-6.208676696E-1,-5.501601100E-1,-2.734383345E-1
4.245317730E-1,-7.323505282E-1,-6.217076182E-1,-2.730565667E-1
4.411977110E-1,-7.943533063E-1,-8.407790065E-1,-2.564868629E-1
4.578636480E-1,-7.870228887E-1,-8.566614985E-1,-2.480874658E-1
4.745295860E-1,-8.741474748E-1,-6.270527244E-1,-2.416733801E-1
4.911955230E-1,-9.187406301E-1,-3.185659945E-1,-1.882990748E-1
