"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.565989800E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.232583600E-2,3.772056103E-2,-8.285665512E-2,-2.473192215E-1
6.899177300E-2,3.117585182E-2,-8.229303360E-2,-6.909008026E-1
8.565771100E-2,3.968000412E-2,7.849502563E-2,-7.919559479E-1
1.023236480E-1,1.811903715E-1,-7.662773132E-3,-6.946258545E-1
1.189895860E-1,9.989368916E-2,-9.741497040E-2,-6.495537758E-1
1.356555230E-1,-1.604562998E-1,-4.020118713E-2,-1.982231140E-1
1.523214610E-1,-2.825074196E-1,-6.657218933E-2,5.775356293E-2
1.689873980E-1,-2.803637981E-1,-9.418964386E-3,1.251678467E-1
1.856533360E-1,-1.583678722E-1,-6.181716919E-3,3.005313873E-2
2.023192730E-1,-5.284166336E-2,-5.923318863E-2,-1.238718033E-1
2.189852110E-1,-1.817619801E-1,5.679655075E-2,-1.210670471E-1
2.356511480E-1,-3.227211237E-1,1.657290459E-1,7.109642029E-2
2.523170860E-1,-2.569102049E-1,7.166147232E-2,2.745313644E-1
2.689830230E-1,-1.703957319E-1,1.142740250E-2,2.075910568E-1
2.856489610E-1,-2.413419485E-1,1.602025032E-1,4.322338104E-2
3.023148980E-1,-2.828947306E-1,1.741046906E-1,-9.920501709E-2
3.189808360E-1,-3.692576885E-1,2.578287125E-1,-1.355485916E-1
3.356467730E-1,-4.079999924E-1,2.725701332E-1,1.546020508E-1
3.523127110E-1,-5.327053070E-1,3.744716644E-1,5.672607422E-1
3.689786480E-1,-5.046936274E-1,4.879736900E-1,7.428159714E-1
3.856445860E-1,-3.158572912E-1,6.554675102E-2,5.890531540E-1
4.023105230E-1,1.520437002E-1,-1.810047626E-1,2.761583328E-1
4.189764610E-1,1.083523035E-1,-7.776927948E-2,2.979278564E-3
4.356423980E-1,-2.944409847E-1,3.977766037E-1,5.606269836E-2
4.523083360E-1,5.405879021E-2,1.216368675E-1,-2.440519333E-1
4.689742730E-1,6.648421288E-1,-7.263588905E-2,-6.781654358E-1
4.856402110E-1,7.410415411E-1,-1.711015701E-1,-2.652301788E-1
5.023061480E-1,6.107908487E-1,-1.705465317E-1,1.974411011E-1
5.189720860E-1,2.843033075E-1,4.588437080E-2,5.801887512E-1
5.356380230E-1,5.901180506E-1,3.198604584E-1,2.271366119E-2
5.523039610E-1,6.986832023E-1,2.850489616E-1,-5.830869675E-1
5.689698980E-1,2.038013935E-2,2.302229404E-1,-5.446443558E-1
5.856358360E-1,-1.794955730E-1,-4.651008844E-1,-1.016844749E0
6.023017730E-1,6.801479459E-1,-1.154199123E0,-6.482734680E-1
6.189677110E-1,6.003912091E-1,-1.218886137E0,2.609863281E-1
6.356336480E-1,6.392323971E-2,6.253612041E-2,1.470146179E-1
6.522995860E-1,-1.451812387E-1,6.834123135E-1,5.547723770E-1
6.689655230E-1,-1.650909781E-1,-1.322305202E-2,5.354776382E-1
6.856314610E-1,-2.473235726E-1,-4.724869728E-1,1.200733185E-1
7.022973980E-1,-2.237178683E-1,-5.246641636E-1,-2.008247375E-1
