"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.533604500E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.200198200E-2,2.958643436E-2,1.000380516E-2,-6.651306152E-2
6.866792000E-2,-1.095169783E-1,1.494710445E-1,-1.367139816E-1
8.533385700E-2,-1.885420084E-1,2.377657890E-1,-1.682186127E-2
1.019997950E-1,-2.256081104E-1,3.550918102E-1,-1.025581360E-2
1.186657320E-1,-2.464505434E-1,4.542043209E-1,-1.964092255E-2
1.353316700E-1,-8.037161827E-2,3.645458221E-1,-8.082008362E-2
1.519976070E-1,-1.312030554E-1,4.046027660E-1,2.423343658E-1
1.686635450E-1,6.225943565E-3,3.948574066E-1,3.113451004E-1
1.853294820E-1,-1.568298340E-1,4.848895073E-1,5.368738174E-1
2.019954200E-1,-6.012322903E-1,4.655828476E-1,7.916936874E-1
2.186613570E-1,-4.705200195E-1,2.250988483E-1,7.663784027E-1
2.353272950E-1,-3.794085979E-1,2.075130939E-1,7.164182663E-1
2.519932320E-1,-6.811695099E-1,7.391712666E-1,1.705455780E-1
2.686591700E-1,-3.522986174E-1,-3.031902313E-1,-2.252054214E-1
2.853251070E-1,-5.611521006E-1,-6.942062378E-1,-5.065164566E-1
3.019910450E-1,-8.414925337E-1,-3.144629002E-1,-7.423639297E-1
3.186569820E-1,-8.971610069E-1,-5.162739754E-2,-6.119470596E-1
3.353229200E-1,-6.967507601E-1,-4.354119301E-2,-8.459043503E-1
3.519888570E-1,4.783509374E-1,-3.085613251E-2,-1.728475571E0
3.686547950E-1,7.979235053E-1,-3.136584759E-1,-3.006455421E0
3.853207320E-1,1.127177238E0,-1.533562183E0,-2.025035381E0
4.019866700E-1,6.634269953E-1,-1.346286058E0,-1.267689705E0
4.186526070E-1,1.388050318E-1,-1.007825136E-1,-1.103744507E0
4.353185450E-1,2.273327857E-1,-4.065325260E-1,-1.202382088E0
4.519844820E-1,-1.359915361E-2,-1.484689116E0,-7.233743668E-1
4.686504200E-1,4.673183262E-1,-2.379765987E0,4.288673401E-3
4.853163570E-1,8.864742517E-1,-7.099595070E-1,2.223463058E-1
5.019822950E-1,6.703146696E-1,-1.189278960E-1,-3.158283234E-1
5.186482320E-1,5.058627725E-1,-1.649752557E-1,9.307374954E-1
5.353141700E-1,2.664188743E-1,1.176649928E-1,1.602999687E0
5.519801070E-1,6.108337641E-2,1.298915744E-1,9.188556671E-1
5.686460450E-1,-2.381826937E-1,5.085417628E-1,2.229442596E-1
5.853119820E-1,1.282870770E0,-4.141507149E-1,-3.030776978E-3
6.019779200E-1,1.246023178E0,-3.452756107E-1,7.914695740E-1
6.186438570E-1,5.291088820E-1,7.644779086E-1,5.156784058E-1
6.353097950E-1,3.020256460E-1,1.159799695E0,7.461090088E-1
6.519757320E-1,5.582043529E-1,-7.132214308E-2,8.875026703E-1
6.686416700E-1,2.170105875E-1,-8.230811357E-2,8.948564529E-1
6.853076070E-1,-2.199814916E-1,2.294391990E-1,6.096382141E-1
7.019735450E-1,-4.666795433E-1,1.865287423E-1,6.468801498E-1
7.186394820E-1,-5.209758282E-1,-4.158353806E-2,1.410331726E-1
7.353054200E-1,-2.651941478E-1,-4.388308525E-2,-6.062707901E-1
7.519713570E-1,1.378470659E-1,-2.443122864E-1,-1.082409859E0
7.686372950E-1,-6.250276417E-2,-4.571948051E-1,-1.216067314E0
7.853032320E-1,-4.642332792E-1,-5.343421698E-1,-1.105176926E0
8.019691700E-1,-4.086848795E-1,-5.733736753E-1,-1.142189026E0
8.186351070E-1,-3.029675782E-1,-5.224757195E-1,-1.172063828E0
8.353010450E-1,-2.592332959E-1,-3.068282604E-1,-1.240383148E0
8.519669820E-1,-3.028383851E-1,-1.637222767E-1,-1.313420296E0
8.686329200E-1,-4.831178784E-1,-1.222441196E-1,-1.147268295E0
8.852988570E-1,-4.527784586E-1,-6.889247894E-2,-7.648572922E-1
9.019647950E-1,-5.337547064E-1,-6.527185440E-2,-7.979583740E-1
9.186307320E-1,-6.029747725E-1,-1.456861496E-1,-6.057796478E-1
9.352966700E-1,-5.737057328E-1,-2.039909363E-1,-7.451782227E-1
9.519626070E-1,-5.477440953E-1,-1.724727154E-1,-7.343902588E-1
9.686285450E-1,-4.347719848E-1,-1.870248318E-1,-4.763240814E-1
9.852944820E-1,-3.129879534E-1,-2.118580341E-1,-2.547988892E-1
1.001960420E0,-2.424187958E-1,-1.867306232E-1,-4.130744934E-2
1.018626357E0,-3.535519242E-1,-1.734194756E-1,2.424249649E-1
1.035292295E0,-4.967330098E-1,-1.686377525E-1,2.496843338E-1
1.051958232E0,-4.200699627E-1,-6.565237045E-2,1.171979904E-1
1.068624170E0,-3.319365084E-1,-9.810638428E-2,1.859426498E-1
1.085290107E0,-2.614275515E-1,-1.272742748E-1,2.095603943E-2
1.101956045E0,-2.458326221E-1,-1.389789581E-2,-3.134927750E-1
1.118621982E0,-1.996117830E-1,3.118348122E-2,-1.352977753E-1
1.135287920E0,-9.162527323E-2,-1.040244102E-2,1.731300354E-2
1.151953857E0,4.958349466E-2,1.496553421E-3,2.004432678E-1
1.168619795E0,-3.777378798E-2,3.353834152E-3,5.627174377E-1
1.185285732E0,-1.513475180E-2,-1.068725586E-1,9.873418808E-1
1.201951670E0,2.177467346E-1,-1.820700169E-1,9.209756851E-1
1.218617607E0,3.381050229E-1,-1.227600574E-1,5.928287506E-1
1.235283545E0,2.600609660E-1,-2.904057503E-2,3.231773376E-1
1.251949482E0,1.541504860E-1,9.911394119E-2,1.435089111E-1
1.268615420E0,1.689572334E-1,1.620478630E-1,8.673954010E-2
1.285281357E0,2.346959710E-1,1.447386742E-1,6.093406677E-2
1.301947295E0,2.643465996E-1,1.525523663E-1,5.382633209E-2
1.318613232E0,2.475911975E-1,1.588892937E-1,2.771186829E-2
