"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.559482000E-3,-2.173281193E0,3.486940861E0,8.554341316E0
2.422542000E-2,-1.766800404E0,3.084647417E0,9.356235504E0
4.089135700E-2,-1.366301775E0,2.896212816E0,9.777372360E0
5.755729500E-2,-1.465902925E0,2.988336325E0,9.558130264E0
7.422323200E-2,-1.575075507E0,3.192025423E0,9.530313492E0
9.088917000E-2,-1.688435435E0,3.324527979E0,9.685847282E0
1.075551070E-1,-1.737189293E0,3.502494097E0,9.629615784E0
1.242210450E-1,-1.698904037E0,3.597608805E0,9.636494637E0
1.408869820E-1,-1.628016710E0,3.515654564E0,9.683454514E0
1.575529200E-1,-1.608275890E0,3.557229996E0,1.005404282E1
1.742188570E-1,-1.566700578E0,3.532105207E0,1.015184879E1
1.908847950E-1,-1.876571178E0,3.654737473E0,1.056730270E1
2.075507320E-1,-2.244467735E0,3.502494097E0,1.079491997E1
2.242166700E-1,-2.033001900E0,3.294019461E0,1.081735325E1
2.408826070E-1,-2.148156643E0,3.647259951E0,1.072283649E1
2.575485450E-1,-2.312962294E0,3.661916018E0,1.008664513E1
2.742144820E-1,-2.144567251E0,2.656033039E0,9.801898956E0
2.908804200E-1,-2.366501570E0,2.523829699E0,9.425627708E0
3.075463570E-1,-2.490330219E0,2.877369165E0,9.340981483E0
3.242122950E-1,-2.235793591E0,2.967698336E0,9.493523598E0
3.408782320E-1,-1.645962834E0,2.854338408E0,8.998209953E0
3.575441700E-1,-1.965105534E-1,2.814856768E0,7.810173035E0
3.742101070E-1,2.219343036E-1,2.040778637E0,6.939484596E0
3.908760450E-1,5.955137610E-1,6.071787477E-1,8.327919960E0
4.075419820E-1,1.794617064E-2,1.341476202E0,8.714659691E0
4.242079200E-1,7.118647546E-2,1.750349760E0,8.809475899E0
4.408738570E-1,9.870393202E-3,1.035793066E0,8.713164330E0
4.575397950E-1,5.593222752E-2,-8.129615188E-1,9.531210899E0
4.742057320E-1,7.432705164E-1,-9.158528447E-1,1.009262657E1
4.908716700E-1,7.995018363E-1,5.012963414E-1,1.008724308E1
5.075376070E-1,4.079762697E-1,4.857429862E-1,9.707382202E0
5.242035450E-1,1.660020649E-1,5.943173170E-1,1.156032467E1
5.408694820E-1,-3.218346536E-1,7.004988194E-1,1.143799114E1
5.575354200E-1,-4.316053987E-1,9.182456732E-1,1.077308559E1
5.742013570E-1,-5.850451589E-1,1.060020447E0,1.015992451E1
5.908672950E-1,1.488634825E0,-7.208377868E-2,1.026401234E1
6.075332320E-1,7.992027402E-1,9.164510965E-1,1.107876873E1
6.241991700E-1,4.157529399E-2,1.604686737E0,1.051286602E1
6.408651070E-1,1.980060786E-1,1.447956800E0,1.103958607E1
6.575310450E-1,3.550350666E-1,4.905286431E-1,1.113769245E1
6.741969820E-1,-7.268198580E-2,7.507480979E-1,1.093579769E1
6.908629200E-1,-4.342973232E-1,1.055234790E0,1.088584709E1
7.075288570E-1,-6.230311990E-1,1.007677436E0,1.077278709E1
7.241947950E-1,-5.446662307E-1,9.945169091E-1,1.012881851E1
7.408607320E-1,-7.537391037E-2,1.114158034E0,9.283254623E0
7.575266700E-1,2.219343036E-1,1.034596682E0,9.026624680E0
7.741926070E-1,-8.973084623E-4,1.016650558E0,8.850452423E0
7.908585450E-1,-2.527419031E-1,1.107577801E0,8.962615967E0
8.075244820E-1,6.879365072E-3,1.199701428E0,8.768498421E0
