"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.422542000E-2,-5.988765359E-1,-5.810851455E-1,2.596175298E-3
4.089135700E-2,-3.425424397E-1,-3.220784664E-1,-1.924224012E-2
5.755729500E-2,-1.563050300E-1,-2.001345754E-1,-3.367391974E-2
7.422323200E-2,-1.275180280E-1,-2.087630332E-1,-5.276344717E-2
9.088917000E-2,-1.427132785E-1,-2.209803313E-1,-9.002619982E-2
1.075551070E-1,-1.696676910E-1,-2.528216541E-1,-1.195767820E-1
1.242210450E-1,-2.249509543E-1,-2.265544683E-1,-1.579848975E-1
1.408869820E-1,-3.045161068E-1,-9.552398324E-2,-1.955530941E-1
1.575529200E-1,-3.741546869E-1,3.817904799E-4,-1.954767257E-1
1.742188570E-1,-3.911061883E-1,-1.198822167E-2,-2.086103261E-1
1.908847950E-1,-3.384954333E-1,-9.193515033E-2,-1.764635593E-1
2.075507320E-1,-2.005927265E-1,-1.679878086E-1,-9.002619982E-2
2.242166700E-1,-5.261072889E-2,-1.043051630E-1,-4.703658819E-2
2.408826070E-1,5.146535859E-2,3.749182448E-2,-1.053741761E-2
2.575485450E-1,1.040760875E-1,1.492037177E-1,1.685223281E-1
2.742144820E-1,-2.474002354E-2,-4.008800164E-2,2.621373534E-1
2.908804200E-1,-2.167042792E-1,-4.284452796E-1,3.501782417E-1
3.075463570E-1,-4.148535430E-1,-8.331431746E-1,5.497782826E-1
3.242122950E-1,-5.171734095E-1,-1.126510978E0,7.863357067E-1
3.408782320E-1,-4.962512851E-1,-1.147814870E0,9.663116932E-1
3.575441700E-1,-5.499309897E-1,-1.036637545E0,9.789108038E-1
3.742101070E-1,-8.749874234E-1,-8.194751143E-1,8.080977201E-1
3.908760450E-1,-1.241659045E0,-7.880918980E-1,5.717694163E-1
4.075419820E-1,-1.414457440E0,-7.824414372E-1,4.567741454E-1
4.242079200E-1,-1.479209065E0,-7.174606919E-1,6.215549111E-1
4.408738570E-1,-1.547244072E0,-5.763509274E-1,7.037925720E-1
4.575397950E-1,-1.495167851E0,-3.052033186E-1,6.140718460E-1
4.742057320E-1,-1.316642642E0,4.046979360E-3,3.242164850E-1
4.908716700E-1,-9.859357476E-1,5.320632458E-1,1.964693815E-1
5.075376070E-1,-6.786707640E-1,1.066722631E0,2.418260872E-1
5.242035450E-1,-4.198168218E-1,1.103909016E0,2.265544683E-1
5.408694820E-1,-1.062141135E-1,6.095666885E-1,1.750891209E-1
5.575354200E-1,1.442404389E-1,6.146826968E-2,-3.023780696E-2
5.742013570E-1,2.079994529E-1,-3.374264240E-1,-1.413388401E-1
5.908672950E-1,6.391172856E-2,-2.762635946E-1,-3.866010606E-1
6.075332320E-1,-4.795288667E-2,-1.259144992E-1,-7.864884138E-1
6.241991700E-1,-1.019380614E-1,-1.718820781E-1,-8.081740737E-1
6.408651070E-1,-7.185296714E-2,-1.737146676E-1,-9.206495881E-1
6.575310450E-1,4.581485689E-2,-2.615264952E-1,-1.031063437E0
6.741969820E-1,2.234237939E-1,-2.519817352E-1,-9.355394244E-1
6.908629200E-1,4.164570570E-1,-9.575305134E-2,-5.465712547E-1
7.075288570E-1,6.369792223E-1,-1.572976857E-1,-1.043815166E-1
7.241947950E-1,8.376483321E-1,-3.135263622E-1,2.916879393E-2
7.408607320E-1,9.578359723E-1,-4.675406218E-1,-3.627009690E-2
7.575266700E-1,9.801325202E-1,-5.628355145E-1,-9.659299254E-2
7.741926070E-1,9.538653493E-1,-5.327504277E-1,-1.810450554E-1
7.908585450E-1,8.857539296E-1,-5.662716627E-1,-2.310595959E-1
