"event","experiment time","system time","system time text"
"START",0.000000000E0,1658337180.787,"2022-07-20 19:13:00.787 UTC+02:00"
"PAUSE",2.310729478E1,1658337203.894,"2022-07-20 19:13:23.894 UTC+02:00"
