"event","experiment time","system time","system time text"
"START",0.000000000E0,1658338422.117,"2022-07-20 19:33:42.117 UTC+02:00"
"PAUSE",2.986685233E1,1658338451.984,"2022-07-20 19:34:11.984 UTC+02:00"
