"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.816911800E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.483505600E-2,-5.717873573E-3,-3.014206886E-2,-3.607749939E-3
8.150099300E-2,3.226995468E-4,-6.415724754E-2,9.805393219E-2
9.816693100E-2,-1.597046852E-3,-6.818675995E-2,2.170438766E-1
1.148328680E-1,2.411282063E-2,-1.162266731E-1,2.594909668E-1
1.314988060E-1,6.187558174E-2,-1.257135868E-1,3.476991653E-1
1.481647430E-1,5.850315094E-3,-5.351662636E-2,3.509960175E-1
1.648306810E-1,1.470463276E-1,-2.699780464E-2,1.686925888E-1
1.814966180E-1,3.286910057E-1,7.157897949E-2,7.247447968E-2
1.981625560E-1,3.506233692E-1,7.395410538E-2,1.248207092E-1
2.148284930E-1,2.436326742E-1,6.709837914E-2,-1.877784729E-3
2.314944310E-1,1.351891756E-1,1.009876728E-1,-1.171569824E-1
2.481603680E-1,1.236165762E-1,1.065447330E-1,-6.398391724E-2
2.648263060E-1,5.508661270E-2,1.419138908E-1,-9.649753571E-2
2.814922430E-1,-1.931905746E-2,1.522948742E-1,-1.648387909E-1
2.981581810E-1,9.105324745E-3,7.384729385E-2,-1.518411636E-1
3.148241180E-1,1.245115995E-1,3.738117218E-2,-2.634811401E-1
3.314900560E-1,2.527211905E-1,1.626634598E-2,-4.517726898E-1
3.481559930E-1,2.595856190E-1,-1.564478874E-2,-4.940738678E-1
3.648219310E-1,1.460360289E-1,-6.692743301E-2,-3.774423599E-1
3.814878680E-1,-2.688896656E-2,8.325242996E-2,-1.585102081E-1
3.981538060E-1,-1.719439030E-1,1.559457779E-1,-9.587383270E-2
4.148197430E-1,-5.477678776E-2,3.962237835E-1,-2.666254044E-1
4.314856810E-1,2.693144083E-1,6.583271027E-1,-4.527359009E-1
4.481516180E-1,6.359353065E-1,8.010187149E-1,-4.268960953E-1
4.648175560E-1,8.957136869E-1,9.471416473E-1,-1.296520233E-1
4.814834930E-1,9.442731142E-1,1.010125160E0,3.040151596E-1
4.981494310E-1,9.274395704E-1,1.027328730E0,9.294586182E-1
5.148153680E-1,8.841418028E-1,1.035198450E0,1.353487968E0
5.314813060E-1,7.554714680E-1,1.047746897E0,1.428950310E0
5.481472430E-1,6.011881828E-1,1.079560518E0,1.388451576E0
5.648131810E-1,4.418119192E-1,1.112264872E0,1.479404449E0
5.814791180E-1,4.269509315E-1,1.103095055E0,1.643215179E0
5.981450560E-1,4.919459820E-1,1.048051834E0,1.770364761E0
6.148109930E-1,6.138930321E-1,8.931241035E-1,1.714002609E0
6.314769310E-1,6.000877619E-1,7.038216591E-1,1.586688995E0
6.481428680E-1,3.257755041E-1,4.888958931E-1,1.440589905E0
6.648088060E-1,-4.123961926E-2,1.995434761E-1,1.541606903E0
6.814747430E-1,-3.873010874E-1,-1.451134682E-1,1.655657768E0
6.981406810E-1,-6.340454817E-1,-3.442642689E-1,1.446698189E0
7.148066180E-1,-5.529581308E-1,-4.327683449E-1,9.144773483E-1
7.314725560E-1,-4.393531084E-1,-4.948239326E-1,5.198116302E-1
7.481384930E-1,-4.786520004E-1,-6.445980072E-1,2.589683533E-1
7.648044310E-1,-6.390415430E-1,-9.312903881E-1,3.409204483E-1
7.814703680E-1,-1.111936450E0,-1.192163467E0,7.179498672E-1
7.981363060E-1,-1.568166018E0,-1.356339216E0,9.748735428E-1
8.148022430E-1,-1.710745573E0,-1.300229549E0,9.693088531E-1
8.314681810E-1,-1.701685905E0,-1.098285675E0,7.081985474E-1
8.481341180E-1,-1.773156881E0,-7.736463547E-1,3.121271133E-1
8.648000560E-1,-1.647736549E0,-5.082654953E-1,5.710601807E-3
8.814659930E-1,-1.382151365E0,-4.346137047E-1,1.718235016E-2
8.981319310E-1,-1.280702114E0,-4.013657570E-1,1.878080368E-1
9.147978680E-1,-1.152094483E0,-5.008888245E-1,4.787244797E-1
9.314638060E-1,-9.345233440E-1,-8.629398346E-1,7.045469284E-1
9.481297430E-1,-8.665214777E-1,-1.298608780E0,8.884921074E-1
9.647956810E-1,-9.896144867E-1,-1.528334618E0,9.739127159E-1
9.814616180E-1,-9.997197390E-1,-1.635648727E0,9.556117058E-1
9.981275560E-1,-7.826038599E-1,-1.702427864E0,6.725745201E-1
1.014793493E0,-4.549880028E-1,-1.784775734E0,2.427325249E-1
1.031459431E0,-1.111724377E-1,-1.832513809E0,-2.531199455E-1
1.048125368E0,-1.876263618E-1,-1.863563061E0,-6.429009438E-1
1.064791306E0,-4.319438934E-1,-1.933486462E0,-8.178944588E-1
1.081457243E0,-5.872527361E-1,-1.913354874E0,-9.144654274E-1
1.098123181E0,-4.848409891E-1,-1.831719875E0,-9.977226257E-1
1.114789118E0,-9.564018250E-2,-1.634662151E0,-9.865188599E-1
1.131455056E0,3.711218834E-1,-1.367285728E0,-1.152148724E0
1.148120993E0,4.965240955E-1,-1.156333447E0,-1.312558651E0
1.164786931E0,3.482527733E-1,-1.050920486E0,-1.393129826E0
1.181452868E0,2.196414471E-1,-9.591841698E-1,-1.401033878E0
1.198118806E0,3.481042385E-1,-8.368000984E-1,-1.504693031E0
1.214784743E0,6.605124474E-1,-6.967072487E-1,-1.526525497E0
1.231450681E0,7.756204605E-1,-6.271624565E-1,-1.480099678E0
1.248116618E0,6.826205254E-1,-5.275774002E-1,-1.050951004E0
1.264782556E0,6.075668335E-1,-5.024003983E-1,-7.876152992E-1
1.281448493E0,5.081303120E-1,-5.454449654E-1,-6.125364304E-1
1.298114431E0,3.374402523E-1,-8.119702339E-1,-5.331611633E-1
1.314780368E0,3.377914429E-3,-1.060914993E0,-6.132950783E-1
1.331446306E0,-4.509782791E-1,-8.850393295E-1,-1.225042343E0
1.348112243E0,-5.345740318E-1,-2.780776024E-1,-2.359109402E0
1.364778181E0,-9.066295624E-2,1.982865334E-1,-2.756499767E0
1.381444118E0,3.213655949E-1,4.674258232E-1,-2.298956871E0
1.398110056E0,5.641026497E-1,4.276084900E-1,-1.013985634E0
1.414775993E0,6.040816307E-1,3.094487190E-1,9.040212631E-2
1.431441931E0,4.266495705E-1,3.643469810E-1,6.922602654E-1
1.448107868E0,2.908837795E-1,9.113450050E-1,6.971530914E-1
1.464773806E0,5.316588879E-1,1.128155708E0,9.002590179E-2
1.481439743E0,7.176938057E-1,1.506893158E0,-3.596177101E-1
