"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.281931000E-3,1.660917997E0,3.210569859E0,9.522835732E0
2.594786800E-2,1.440778375E0,3.244966507E0,9.292527199E0
4.261380600E-2,1.332203984E0,3.320639610E0,8.915956497E0
5.927974300E-2,1.303490162E0,3.279961586E0,8.802596092E0
7.594568100E-2,1.301994562E0,3.200101137E0,8.943174362E0
9.261161800E-2,1.302293777E0,3.163012505E0,9.112167358E0
1.092775560E-1,1.299302697E0,3.084647417E0,9.273384094E0
1.259434930E-1,1.370788217E0,3.035594702E0,9.402596474E0
1.426094310E-1,1.314556956E0,3.068196774E0,9.509077072E0
1.592753680E-1,1.396211982E0,3.103790045E0,9.432806015E0
1.759413060E-1,1.647159338E0,3.194119215E0,9.259325981E0
1.926072430E-1,1.751546144E0,3.238386393E0,9.333204269E0
2.092731810E-1,1.689931035E0,3.219542980E0,9.268598557E0
2.259391180E-1,1.542174220E0,3.252444267E0,9.130113602E0
2.426050560E-1,1.503290772E0,3.254537821E0,9.105288506E0
2.592709930E-1,1.425225019E0,3.275774240E0,9.197710991E0
2.759369310E-1,1.345065475E0,3.345165968E0,9.021539688E0
2.926028680E-1,1.342074394E0,3.251247883E0,9.055637360E0
3.092688060E-1,1.442572951E0,3.226123095E0,8.978468895E0
3.259347430E-1,1.601994753E0,3.189034462E0,8.759525299E0
3.426006810E-1,1.679761529E0,3.149253607E0,8.652446747E0
3.592666180E-1,1.564008713E0,3.072683334E0,8.681459427E0
3.759325560E-1,1.398006678E0,3.097508907E0,8.900403023E0
3.925984930E-1,1.152144074E0,3.219243765E0,9.074181557E0
4.092644310E-1,1.148554921E0,3.371187925E0,8.939286232E0
4.259303680E-1,1.391127229E0,3.684348583E0,8.729017258E0
4.425963060E-1,1.793121457E0,3.868895054E0,8.638388634E0
4.592622430E-1,2.119741678E0,4.008575916E0,8.884849548E0
4.759281810E-1,2.280359983E0,4.121936321E0,9.267401695E0
