"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.705849300E-2,5.543597788E-2,5.971203372E-2,-1.450803876E-2
5.372443100E-2,1.565340906E-2,4.337139800E-2,-1.069013402E-2
7.039036800E-2,-4.344775900E-2,2.664897591E-2,-1.404988952E-2
8.705630600E-2,-6.979130208E-2,2.191477455E-2,-1.320995111E-2
1.037222430E-1,-5.703949928E-2,3.436114267E-2,-5.421424750E-3
1.203881810E-1,-3.413207084E-2,3.352120519E-2,7.864884101E-3
1.370541180E-1,-7.635809598E-4,2.985601686E-2,1.817322709E-2
1.537200560E-1,4.375318810E-2,5.039634649E-3,4.245510325E-2
1.703859930E-1,3.665188700E-2,-2.619082667E-2,5.627591908E-2
1.870519310E-1,-1.802051067E-2,4.298960790E-2,3.237583488E-2
2.037178680E-1,-3.993528336E-2,1.298851222E-1,2.138026757E-3
2.203838060E-1,-5.933023989E-2,1.859319657E-1,-1.504254527E-2
2.370497430E-1,-8.063415438E-2,1.849393100E-1,-2.038761228E-2
2.537156810E-1,-6.215549260E-2,1.406516135E-1,-4.207331315E-2
2.703816180E-1,-3.840812296E-2,5.108356848E-2,-6.467530876E-2
2.870475560E-1,-2.496909723E-2,-2.649625950E-2,-5.902481079E-2
3.037134930E-1,-1.458439697E-2,-8.216131479E-2,-4.978547990E-2
3.203794310E-1,-3.199404106E-2,-8.452841640E-2,-6.559160352E-2
3.370453680E-1,-9.277509153E-2,-2.237292193E-2,-1.017089859E-1
3.537113060E-1,-1.727983803E-1,6.253728271E-2,-1.379027218E-1
3.703772430E-1,-2.274707705E-1,1.223256737E-1,-1.683696061E-1
3.870431810E-1,-1.944077164E-1,1.875354946E-1,-1.832594275E-1
4.037091180E-1,-1.094211563E-1,2.141844630E-1,-1.485928595E-1
4.203750560E-1,-7.124210149E-2,1.498909444E-1,-1.003345400E-1
4.370409930E-1,-1.213330179E-1,2.512181364E-2,-1.205694377E-1
4.537069310E-1,-2.015090138E-1,-5.642863363E-2,-1.922696829E-1
4.703728680E-1,-2.770271897E-1,-6.330086291E-2,-2.928332984E-1
4.870388060E-1,-3.270417452E-1,-5.375609919E-2,-3.606393039E-1
5.037047430E-1,-2.771798968E-1,-8.513928205E-2,-3.791179657E-1
5.203706810E-1,-1.319467872E-1,-1.620318890E-1,-3.946186602E-1
5.370366180E-1,1.557705179E-2,-2.616792023E-1,-4.169152081E-1
5.537025560E-1,1.133154184E-1,-3.852266073E-1,-4.328740537E-1
5.703684930E-1,2.143371850E-1,-5.156462193E-1,-4.345539212E-1
5.870344310E-1,3.446804583E-1,-6.108647585E-1,-4.174497128E-1
6.037003680E-1,4.989238083E-1,-6.569850445E-1,-3.861429095E-1
6.203663060E-1,6.197986603E-1,-6.398044825E-1,-3.723220825E-1
