"event","experiment time","system time","system time text"
"START",0.000000000E0,1658337503.652,"2022-07-20 19:18:23.652 UTC+02:00"
"PAUSE",2.178175765E1,1658337525.434,"2022-07-20 19:18:45.434 UTC+02:00"
