"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.989741400E-2,-2.157650709E0,4.243983030E-1,-8.930079341E-1
5.656335100E-2,-1.096655011E0,2.803869247E-1,-5.593994260E-1
7.322928900E-2,1.290451828E-2,1.277471036E-1,-3.588830531E-1
8.989522600E-2,3.028362095E-1,-3.087921441E-1,-4.276053514E-3
1.065611640E-1,1.248454899E-1,-4.324159026E-1,2.009745091E-1
1.232271010E-1,-2.396880686E-1,-4.485274553E-1,6.414080411E-2
1.398930390E-1,-5.985711217E-1,-3.416261375E-1,-2.039524764E-1
1.565589760E-1,-7.397572398E-1,-1.456912458E-1,-3.371210098E-1
1.732249140E-1,-4.855611324E-1,-6.574432552E-2,-3.028362095E-1
1.898908510E-1,-3.718639165E-2,-3.932442144E-2,-1.101847365E-1
2.065567890E-1,2.533561587E-1,-5.093085021E-2,1.222493127E-1
2.232227260E-1,2.438877672E-1,-1.116355360E-1,1.272889525E-1
2.398886640E-1,4.749473557E-2,-8.116865903E-2,-5.597048625E-2
2.565546010E-1,-1.529452652E-1,1.756236190E-3,-1.915824711E-1
2.732205390E-1,-1.971566081E-1,5.879573524E-2,-1.570686102E-1
2.898864760E-1,-1.163697392E-1,5.192350596E-2,-2.787070535E-2
3.065524140E-1,-2.695440874E-2,1.359174121E-2,5.123628303E-2
3.232183510E-1,-3.588830587E-3,-8.330668509E-2,5.658135191E-2
3.398842890E-1,-7.185296714E-2,-1.792888194E-1,2.664897591E-2
3.565502260E-1,-2.178496569E-1,-2.032652497E-1,-3.252854943E-2
3.732161640E-1,-3.373500705E-1,-1.908188909E-1,-9.369138628E-2
3.898821010E-1,-4.034761786E-1,-2.009745091E-1,-1.081230640E-1
4.065480390E-1,-4.421133697E-1,-2.751945853E-1,-6.750056148E-2
4.232139760E-1,-4.862483740E-1,-3.901135325E-1,-2.916879393E-2
4.398799140E-1,-6.575195789E-1,-4.997637570E-1,-6.062832847E-2
4.565458510E-1,-9.245438576E-1,-6.495019794E-1,-1.232419685E-1
4.732117890E-1,-1.149265766E0,-7.594576478E-1,-2.362519503E-1
4.898777260E-1,-1.218980670E0,-9.860884547E-1,-2.722166181E-1
5.065436640E-1,-1.147891283E0,-9.730312228E-1,-2.413679510E-1
5.232096010E-1,-9.976185560E-1,-9.254601598E-1,-1.534034163E-1
5.398755390E-1,-9.178243279E-1,-8.143591285E-1,-8.261945844E-2
5.565414760E-1,-9.869284034E-1,-7.049379349E-1,-6.101011857E-2
5.732074140E-1,-1.180801630E0,-6.879100800E-1,-1.053741723E-1
5.898733510E-1,-1.363297462E0,-8.375719786E-1,-2.287688553E-1
6.065392890E-1,-1.434539557E0,-1.208901405E0,-2.318231910E-1
6.232052260E-1,-1.525023937E0,-1.461723089E0,-1.156825200E-1
6.398711640E-1,-1.552131057E0,-1.609552383E0,6.490438245E-3
6.565371010E-1,-1.491655469E0,-1.539150119E0,7.857248187E-2
6.732030390E-1,-1.400789261E0,-1.328325510E0,8.185587823E-2
6.898689760E-1,-1.317788005E0,-1.096120477E0,-7.254019380E-3
7.065349140E-1,-1.259374142E0,-1.034346819E0,-4.474584386E-2
7.232008510E-1,-1.231045246E0,-1.131016135E0,4.466948658E-2
7.398667890E-1,-1.210734010E0,-1.211802959E0,1.814268380E-1
7.565327260E-1,-1.163239241E0,-1.196913123E0,3.057378232E-1
7.731986640E-1,-1.101770997E0,-1.008461356E0,3.484219909E-1
7.898646010E-1,-1.086193919E0,-6.225475669E-1,3.003927469E-1
8.065305390E-1,-1.151021957E0,-2.678641975E-1,2.777144015E-1
8.231964760E-1,-1.298240423E0,-2.764163017E-1,3.589594066E-1
8.398624140E-1,-1.450269341E0,-6.411026120E-1,4.423424602E-1
8.565283510E-1,-1.493717074E0,-1.080772519E0,4.331794977E-1
8.731942890E-1,-1.381776094E0,-1.270675063E0,3.759109080E-1
8.898602260E-1,-1.171944022E0,-9.941824079E-1,1.876882017E-1
9.065261640E-1,-9.870811105E-1,-4.540252388E-1,-1.254563481E-1
9.231921010E-1,-9.792162180E-1,-5.795579776E-2,-3.715584874E-1
9.398580390E-1,-1.041906238E0,-9.644027799E-2,-3.549124300E-1
9.565239760E-1,-9.366084337E-1,-4.269181192E-1,-8.941533417E-2
9.731899140E-1,-4.704422355E-1,-7.708349824E-1,3.158170879E-1
9.898558510E-1,3.061196208E-1,-9.182060957E-1,6.174315810E-1
1.006521789E0,9.888373613E-1,-5.816959739E-1,7.050142884E-1
1.023187726E0,1.374674797E0,3.665188700E-2,5.972730517E-1
1.039853664E0,1.555948973E0,5.319104791E-1,4.938841760E-1
1.056519601E0,1.616195440E0,7.165443897E-1,5.549706817E-1
1.073185539E0,1.549763918E0,9.317215085E-1,7.013491392E-1
1.089851476E0,1.390557289E0,1.072220445E0,8.063415289E-1
1.106517414E0,1.127121925E0,8.173370957E-1,8.074105382E-1
1.123183351E0,8.597921729E-1,-7.345648855E-2,8.856775761E-1
1.139849289E0,6.719512343E-1,-1.232343316E0,1.274874806E0
1.156515226E0,5.267181396E-1,-1.816024661E0,1.543578982E0
1.173181164E0,3.552942276E-1,-1.340237379E0,1.101847291E0
1.189847101E0,2.474002354E-2,-9.082031846E-1,2.914588451E-1
1.206513039E0,-2.544251680E-1,-2.241110206E-1,-3.649916872E-2
1.223178976E0,-3.565159440E-1,4.085158110E-1,-1.285870373E-1
1.239844914E0,-1.275943816E-1,6.464476585E-1,-1.073594838E-1
1.256510851E0,1.605810821E-1,4.901426136E-1,-1.321758628E-1
1.273176789E0,3.474293351E-1,4.153880477E-2,-1.265253723E-1
1.289842726E0,4.366155863E-1,-4.883863926E-1,-7.078395784E-2
1.306508664E0,5.031235218E-1,-6.667588949E-1,4.657844082E-3
1.323174601E0,6.059014797E-1,-4.407389462E-1,6.566796452E-2
1.339840539E0,5.822305083E-1,6.078104675E-2,1.035415828E-1
1.356506476E0,4.631118476E-1,3.120755553E-1,1.512653977E-1
1.373172414E0,5.358047485E-1,3.560578227E-1,1.427896470E-1
1.389838351E0,5.480984449E-1,1.601229310E-1,1.144607887E-1
1.406504289E0,4.369210303E-1,-2.206749097E-2,6.414080039E-3
1.423170226E0,4.154644012E-1,-2.327394783E-1,8.857538924E-3
