"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.211866400E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.878460100E-2,-6.545495987E-2,-1.861555576E-1,-8.299188614E-1
9.545053900E-2,-4.714126587E-1,5.225372314E-1,-1.775825977E0
1.121164760E-1,-2.152395248E-2,5.181436539E-1,-1.739483833E0
1.287824140E-1,3.957138062E-1,2.674303055E-1,-1.211673737E0
1.454483510E-1,4.488635063E-1,1.241240501E-1,-4.947733879E-1
1.621142890E-1,1.792473793E-1,-8.500623703E-2,7.187519073E-1
1.787802260E-1,-1.227087975E-1,-2.354123592E-1,1.210657120E0
1.954461640E-1,-3.703293800E-1,-2.440154552E-1,7.030506134E-1
2.121121010E-1,-1.541857719E-1,-2.859818935E-1,-3.745508194E-2
2.287780390E-1,4.426527023E-2,6.353855133E-3,-5.391936302E-1
2.454439760E-1,3.166007996E-2,3.780794144E-2,-5.699133873E-1
2.621099140E-1,-2.246556282E-1,-1.810200214E-1,-2.506623268E-1
2.787758510E-1,-4.604687691E-1,-2.801973820E-1,5.592346191E-2
2.954417890E-1,-1.479444504E-1,-3.711028099E-1,-4.686355591E-3
3.121077260E-1,9.733152390E-2,-3.606083393E-1,-2.046885490E-1
3.287736640E-1,4.116344452E-2,-2.272427082E-1,-5.111007690E-1
3.454396010E-1,7.711315155E-2,-1.630046368E-1,-6.974024773E-1
3.621055390E-1,1.709327698E-1,-1.039054394E-1,-5.857520103E-1
3.787714760E-1,2.160344124E-1,-1.625897884E-1,-4.707651138E-1
3.954374140E-1,7.268428802E-2,-9.892225266E-2,-4.012694359E-1
4.121033510E-1,3.392219543E-3,4.252314568E-2,-3.827543259E-1
4.287692890E-1,5.861806870E-2,5.626535416E-2,-6.588306427E-1
4.454352260E-1,1.062936783E-1,2.292060852E-1,-7.418742180E-1
4.621011640E-1,1.630063057E-1,1.359188557E-1,-7.671875954E-1
4.787671010E-1,5.203723907E-2,1.779606342E-1,1.484069824E-1
4.954330390E-1,1.455602646E-1,-3.952169418E-2,-1.675758362E-1
5.120989760E-1,5.334615707E-2,-6.474804878E-2,-2.779197693E-2
5.287649140E-1,-5.810832977E-2,-3.179478645E-2,-2.812919617E-1
5.454308510E-1,-1.657466888E-1,1.153118610E-1,-5.646328926E-1
5.620967890E-1,-2.497549057E-1,3.045523167E-1,-5.363121033E-1
5.787627260E-1,-2.240738869E-1,3.195970058E-1,-2.972602844E-2
5.954286640E-1,-1.697640419E-1,-8.393740654E-2,6.744184494E-1
6.120946010E-1,2.811431885E-3,-6.282649040E-1,-4.603958130E-2
6.287605390E-1,-3.612413406E-1,-4.276337624E-1,8.225250244E-2
6.454264760E-1,-6.158664227E-1,7.053411007E-2,1.623353958E-1
6.620924140E-1,-3.824410439E-1,2.851704359E-1,6.388473511E-2
6.787583510E-1,-7.133841515E-2,2.503713965E-1,1.685533524E-1
6.954242890E-1,2.748250961E-2,5.860006809E-2,4.399871826E-1
7.120902260E-1,1.096727848E-1,-2.165829688E-1,4.594259262E-1
7.287561640E-1,-5.297374725E-2,-2.050246298E-1,4.011535645E-1
7.454221010E-1,-2.725443840E-1,1.011312306E-1,2.423553467E-1
7.620880390E-1,-4.386625290E-1,3.246188164E-1,1.275701523E-1
