"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.796933500E-2,-3.975202441E-1,-3.426187932E-1,1.028543562E-1
4.463527200E-2,-2.780961990E-1,-1.891390085E-1,5.199986324E-2
6.130121000E-2,-7.918334752E-2,-9.888373315E-2,-3.787361458E-2
7.796714700E-2,5.520690605E-2,-7.269290835E-2,-4.680751264E-2
9.463308500E-2,5.031998456E-2,-8.956804872E-2,-1.305723470E-2
1.112990220E-1,-2.611446939E-2,-1.627954692E-1,7.635809598E-4
1.279649600E-1,-5.833758786E-2,-2.613737583E-1,2.382372692E-2
1.446308970E-1,-6.185005978E-2,-3.386481702E-1,4.940368980E-2
1.612968350E-1,-6.146826968E-2,-3.322340846E-1,1.824958436E-2
1.779627720E-1,-3.695731983E-2,-2.157879770E-1,-2.718348242E-2
1.946287100E-1,3.191768378E-2,-1.792124510E-1,-1.198822167E-2
2.112946470E-1,8.116865903E-2,-1.887572110E-1,4.772381112E-2
2.279605850E-1,9.728021920E-2,-2.835176289E-1,4.718930274E-2
2.446265220E-1,1.158352345E-1,-3.112356067E-1,2.519817278E-2
2.612924600E-1,1.805869043E-1,-2.618319094E-1,-3.161225095E-2
2.779583970E-1,2.621373534E-1,-2.056323588E-1,-1.114064679E-1
2.946243350E-1,4.525744319E-1,-1.979965419E-1,-1.027780026E-1
3.112902720E-1,6.215549111E-1,-3.966803253E-1,1.928805560E-1
3.279562100E-1,6.928733587E-1,-3.925569654E-1,5.936841965E-1
3.446221470E-1,4.570795596E-1,-8.076395988E-1,6.354520917E-1
3.612880850E-1,3.056614697E-1,-1.183168769E0,2.909243405E-1
3.779540220E-1,4.375318885E-1,-1.160108566E0,2.084576152E-2
3.946199600E-1,5.761218667E-1,-9.787580967E-1,-1.229365356E-2
4.112858970E-1,3.126864135E-1,-1.266704440E0,-1.305723470E-2
4.279518350E-1,-2.806923687E-1,-1.543273449E0,-9.185878932E-2
4.446177720E-1,-8.099303246E-1,-1.321758628E0,-9.949459881E-2
4.612837100E-1,-1.020449638E0,-1.159574032E0,8.552107215E-2
4.779496470E-1,-7.693842053E-1,-4.356229603E-1,3.164279461E-1
4.946155850E-1,-2.305250913E-1,1.713475734E-1,3.534616232E-1
