"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.130339700E-2,-3.160918713E0,5.861518383E0,6.933203697E0
2.796933500E-2,-2.717050076E0,5.732604980E0,7.829016685E0
4.463527200E-2,-2.291725874E0,5.425426006E0,8.379066467E0
6.130121000E-2,-2.402693033E0,5.474180222E0,8.521439552E0
7.796714700E-2,-2.614457846E0,5.499902725E0,7.846065521E0
9.463308500E-2,-2.806481838E0,5.665904999E0,7.603493214E0
1.112990220E-1,-2.898605585E0,5.743671417E0,7.765307903E0
1.279649600E-1,-3.018844843E0,5.556134224E0,7.795516968E0
1.446308970E-1,-2.771187782E0,5.556433201E0,7.723732471E0
1.612968350E-1,-2.441277266E0,5.670989513E0,7.629215717E0
1.779627720E-1,-2.475674152E0,5.508576870E0,8.004889488E0
1.946287100E-1,-2.722733021E0,5.539384365E0,8.146065712E0
2.112946470E-1,-2.970689297E0,5.776872158E0,8.345566750E0
2.279605850E-1,-2.932703257E0,5.783153057E0,8.362615585E0
2.446265220E-1,-2.793919563E0,5.879165173E0,8.394021988E0
2.612924600E-1,-2.427817583E0,5.798108578E0,8.348258972E0
2.779583970E-1,-2.368894339E0,5.668596745E0,8.622835159E0
2.946243350E-1,-3.153141975E0,6.584449768E0,9.386445045E0
3.112902720E-1,-3.977469444E0,7.094419956E0,8.968897820E0
3.279562100E-1,-3.241676569E0,6.765706062E0,7.289734364E0
3.446221470E-1,-9.260223508E-1,5.422734261E0,8.230113029E0
3.612880850E-1,-7.537391037E-2,5.395814896E0,8.818149567E0
3.779540220E-1,-5.377869010E-1,5.254339218E0,8.539685249E0
3.946199600E-1,-1.077966571E0,4.978566647E0,7.198507786E0
4.112858970E-1,-1.409073472E0,5.266004562E0,5.581857204E0
4.279518350E-1,-1.304686546E0,5.844768524E0,3.934099436E0
4.446177720E-1,-1.867897153E0,5.986543179E0,4.456333160E0
4.612837100E-1,-2.548954248E0,6.039484501E0,6.684948444E0
4.779496470E-1,-4.890331328E-1,5.300700188E0,6.986742973E0
4.946155850E-1,5.252245665E-1,4.166801453E0,8.431110382E0
5.112815220E-1,-3.696911037E-1,5.462514877E0,6.126523495E0
5.279474600E-1,1.884347796E-1,5.135296345E0,8.264211655E0
5.446133970E-1,6.807580590E-1,4.900201797E0,8.532207489E0
5.612793350E-1,-6.113662124E-1,5.423930645E0,8.903095245E0
5.779452720E-1,-1.388435364E0,5.531009674E0,8.311469078E0
5.946112100E-1,-1.534397453E-1,4.664807796E0,8.460422516E0
6.112771470E-1,1.301097274E-1,4.721338272E0,8.648259163E0
6.279430850E-1,1.393819153E-1,5.018646240E0,9.005088806E0
6.446090220E-1,1.639083475E-1,4.623830795E0,9.301200867E0
6.612749600E-1,-5.288137794E-1,5.063810825E0,8.669795036E0
6.779408970E-1,-4.076771438E-1,5.070092201E0,8.251050949E0
