"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.907996000E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.574589700E-2,2.429032326E-2,-2.785110474E-2,1.711282730E-1
7.241183500E-2,-1.426858902E-1,2.647161484E-2,-2.306051254E-1
8.907777200E-2,-2.590706348E-1,9.428644180E-2,-4.961228371E-1
1.057437100E-1,-3.138957024E-1,1.866078377E-1,-3.622007370E-1
1.224096470E-1,-3.986985683E-1,6.549835205E-2,-1.950855255E-1
1.390755850E-1,-3.034784794E-1,-2.260160446E-2,-2.451562881E-1
1.557415220E-1,4.685258865E-2,5.789852142E-2,-3.639621735E-1
1.724074600E-1,5.600833893E-2,6.087923050E-2,-7.877159119E-2
1.890733970E-1,-9.030270576E-2,-6.917810440E-2,1.151342392E-1
2.057393350E-1,-4.515581131E-1,1.447153091E-1,2.625617981E-1
2.224052720E-1,-3.962373734E-1,1.784062386E-1,3.295574188E-1
2.390712100E-1,-4.172315598E-1,2.125024796E-1,2.717533112E-1
2.557371470E-1,-3.875517845E-2,1.851797104E-1,3.169536591E-1
2.724030850E-1,8.640122414E-2,-9.680128098E-2,2.891921997E-1
2.890690220E-1,-3.222856522E-1,5.242114067E-1,1.021324158E0
3.057349600E-1,-1.300092697E0,8.384494781E-1,1.338467598E0
3.224008970E-1,-1.351978540E0,1.271308422E0,-6.770062447E-1
3.390668350E-1,6.428363323E-1,-4.791836739E-1,-1.175527573E-1
3.557327720E-1,1.830111861E0,-8.678035736E-1,5.255060196E-1
3.723987100E-1,1.396667242E0,-8.064947128E-1,7.372102737E-1
3.890646470E-1,6.718463898E-1,-1.179169655E0,-4.625740051E-1
4.057305850E-1,6.454706192E-2,-1.121131897E0,-1.706610680E0
4.223965220E-1,-8.639311790E-2,-4.912104607E-1,-3.569034100E0
4.390624600E-1,-5.056886673E-1,-1.259908676E-1,-3.815534115E0
4.557283970E-1,-1.520601034E0,8.105707169E-2,-1.810798645E0
4.723943350E-1,-7.158685923E-1,-2.751045227E-1,-1.240786076E0
4.890602720E-1,1.536785841E0,-1.275864124E0,1.040021420E0
5.057262100E-1,6.532712579E-1,-7.801408768E-1,-2.082241535E0
5.223921470E-1,6.142116785E-1,-2.411303520E-1,-1.824126244E-1
5.390580850E-1,1.201150537E0,-5.130882263E-1,3.589391708E-1
5.557240220E-1,4.810849130E-1,-2.620129585E-1,8.494081497E-1
5.723899600E-1,-8.246475458E-1,3.366198540E-1,2.364759445E-1
5.890558970E-1,-1.589538455E-1,-3.210039139E-1,1.379871368E-1
6.057218350E-1,6.462793350E-1,-5.669407845E-1,1.487846375E-1
6.223877720E-1,2.440791428E-1,-4.009056091E-2,6.508226395E-1
6.390537100E-1,6.611300707E-1,-3.928570747E-1,7.632694244E-1
6.557196470E-1,-1.482921541E-1,-1.012639999E-1,4.807643890E-1
6.723855850E-1,-2.611625195E-1,-7.286882401E-2,1.161479950E-2
6.890515220E-1,-1.026881561E-1,4.668331146E-2,-4.606781006E-1
