"event","experiment time","system time","system time text"
"START",0.000000000E0,1659090095.344,"2022-07-29 12:21:35.344 UTC+02:00"
"PAUSE",2.261996379E1,1659090117.964,"2022-07-29 12:21:57.964 UTC+02:00"
