"event","experiment time","system time","system time text"
"START",0.000000000E0,1658348657.323,"2022-07-20 22:24:17.323 UTC+02:00"
"PAUSE",2.246758676E1,1658348679.791,"2022-07-20 22:24:39.791 UTC+02:00"
