"event","experiment time","system time","system time text"
"START",0.000000000E0,1658337391.907,"2022-07-20 19:16:31.907 UTC+02:00"
"PAUSE",2.225847140E1,1658337414.166,"2022-07-20 19:16:54.166 UTC+02:00"
