"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.222975200E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.889568900E-2,1.088035107E-1,-9.368211031E-3,3.023242950E-2
7.556162700E-2,1.384446621E-1,6.195098162E-3,1.600217819E-1
9.222756400E-2,9.528875351E-2,2.611181140E-2,1.477537155E-1
1.088935020E-1,-1.238331795E-1,5.070191622E-2,2.090206146E-1
1.255594390E-1,-1.749899387E-1,5.212652683E-2,2.359733582E-1
1.422253770E-1,-4.028487206E-2,-2.570626140E-2,1.991052628E-1
1.588913140E-1,3.136229515E-2,-4.574349523E-2,2.318315506E-1
1.755572520E-1,9.729862213E-2,-1.914703846E-2,-1.641368866E-2
1.922231890E-1,4.881715775E-2,8.163464069E-2,-2.986726761E-1
2.088891270E-1,1.770257950E-3,7.259160280E-2,-5.777931213E-2
2.255550640E-1,2.370595932E-3,-7.415410876E-2,1.514444351E-1
2.422210020E-1,-6.661462784E-2,-1.027736366E-1,1.477022171E-1
2.588869390E-1,-1.543018818E-1,-5.929970741E-2,8.770561218E-2
2.755528770E-1,-1.434605122E-1,5.084526539E-2,-3.164596558E-1
2.922188140E-1,-1.810643673E-1,2.055245638E-1,-7.170114517E-1
3.088847520E-1,-1.808025837E-1,1.656234264E-1,-5.448226929E-1
3.255506890E-1,-2.709102631E-2,-9.484004974E-2,-2.183885574E-1
3.422166270E-1,6.545114517E-2,-2.002370656E-1,1.466274261E-1
3.588825640E-1,3.934073448E-2,-2.538291216E-1,3.757829666E-1
3.755485020E-1,1.284809113E-1,-1.782024205E-1,5.512428284E-2
3.922144390E-1,9.369492531E-2,-3.103333712E-2,-2.832164764E-1
4.088803770E-1,-1.004199982E-1,8.145338297E-2,-3.711709976E-1
4.255463140E-1,-1.598668098E-1,7.639110088E-2,-3.721628189E-1
4.422122520E-1,-1.213521957E-1,3.844422102E-2,-2.681922913E-1
4.588781890E-1,-1.913459301E-1,-2.923268080E-2,-4.307556152E-2
4.755441270E-1,-2.205367088E-1,-6.289947033E-2,5.805969238E-3
4.922100640E-1,-1.873838902E-1,-3.907573223E-2,1.691150665E-2
5.088760020E-1,-2.148020267E-1,-8.464229107E-2,7.031631470E-2
5.255419390E-1,-2.402551174E-1,-5.998641253E-2,1.600856781E-1
