"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.111912700E-2,1.216384470E-1,-2.947422490E-2,2.893971838E-2
4.778506400E-2,7.498364896E-2,1.001054645E-1,8.399390429E-2
6.445100200E-2,3.443750367E-2,1.064431891E-1,6.123919412E-2
8.111693900E-2,1.534797717E-2,6.062832847E-2,1.550069358E-2
9.778287700E-2,7.788525894E-3,4.970912263E-2,-1.015562657E-2
1.144488140E-1,3.901898861E-2,4.841103405E-2,1.695149764E-2
1.311147520E-1,7.422006875E-2,5.642863363E-2,5.390881747E-2
1.477806890E-1,1.061377525E-1,9.720385820E-2,6.620246917E-2
1.644466270E-1,1.249982044E-1,1.550069451E-1,6.940951198E-2
1.811125640E-1,6.543888897E-2,3.346011937E-1,7.383827865E-2
1.977785020E-1,1.053741761E-2,4.929678738E-1,1.185077652E-1
2.144444390E-1,3.451386094E-2,4.853320718E-1,1.278998107E-1
2.311103770E-1,1.065959036E-1,4.253909588E-1,9.521854669E-2
2.477763140E-1,1.773035079E-1,2.846629918E-1,7.093667239E-2
2.644422520E-1,2.141844630E-1,1.346193254E-1,5.696314201E-2
2.811081890E-1,1.307250559E-1,1.381317973E-1,7.162389904E-2
2.977741270E-1,1.832594350E-2,2.653443813E-1,1.514944583E-1
3.144400640E-1,-1.992946304E-2,3.795761168E-1,2.141844630E-1
3.311060020E-1,3.359756200E-3,4.221839309E-1,2.004400045E-1
3.477719390E-1,9.239330143E-2,3.196350038E-1,1.807396114E-1
3.644378770E-1,1.782197952E-1,1.746309698E-1,1.441640854E-1
3.811038140E-1,1.710421443E-1,1.010981202E-1,7.704532146E-2
3.977697520E-1,1.197294965E-1,8.025235683E-2,4.360047355E-2
4.144356890E-1,7.765618712E-2,1.053741723E-1,5.856665969E-2
4.311016270E-1,3.711003438E-2,1.518762559E-1,6.139190868E-2
4.477675640E-1,3.077231348E-2,1.278998107E-1,4.276053607E-2
4.644335020E-1,3.993528336E-2,8.116865903E-2,2.099847607E-2
4.810994390E-1,3.733910993E-2,5.314523727E-2,1.198822167E-2
4.977653770E-1,4.176788032E-2,4.917461425E-2,1.130099874E-2
5.144313140E-1,7.078395784E-2,8.819360286E-2,4.024071619E-2
5.310972520E-1,9.697478265E-2,1.036942974E-1,7.284562290E-2
5.477631890E-1,9.407317638E-2,1.172096804E-1,8.590286225E-2
5.644291270E-1,6.108647957E-2,1.900553107E-1,9.697478265E-2
5.810950640E-1,5.955931544E-2,2.276998460E-1,1.285870373E-1
5.977610020E-1,8.361211419E-2,1.737910360E-1,1.343138963E-1
6.144269390E-1,8.849903196E-2,9.437860548E-2,8.834631741E-2
6.310928770E-1,8.009964228E-2,2.825249685E-3,4.459312931E-2
6.477588140E-1,5.910116807E-2,-5.917752534E-2,5.268708803E-3
6.644247520E-1,3.199404106E-2,-9.468403645E-3,-2.733619884E-2
