"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.445318900E-2,3.518346548E0,3.978067636E-1,9.215956688E0
3.111912700E-2,3.558426380E0,4.677968323E-1,9.034700394E0
4.778506400E-2,3.758526087E0,4.513461590E-1,9.101998329E0
6.445100200E-2,3.846761465E0,4.713860750E-1,9.315856934E0
8.111693900E-2,3.827618837E0,5.015954375E-1,9.355937004E0
9.778287700E-2,3.569792271E0,5.425725579E-1,9.472287178E0
1.144488140E-1,3.476771355E0,5.614160299E-1,9.548857689E0
1.311147520E-1,3.591925859E0,4.902295470E-1,9.549755096E0
1.477806890E-1,3.649353743E0,4.788636267E-1,9.621838570E0
1.644466270E-1,3.687040567E0,5.135595798E-1,9.386445045E0
1.811125640E-1,3.572484255E0,6.206383705E-1,9.098110199E0
1.977785020E-1,3.448655605E0,6.140581369E-1,9.362217903E0
2.144444390E-1,3.379562855E0,4.671986103E-1,9.609874725E0
2.311103770E-1,3.251846075E0,4.501497746E-1,9.636196136E0
2.477763140E-1,3.125325441E0,5.192425251E-1,9.590433121E0
2.644422520E-1,3.107977629E0,6.568298340E-1,9.168398857E0
2.811081890E-1,3.024827003E0,8.264211416E-1,8.731410027E0
2.977741270E-1,2.961417198E0,7.836494446E-1,8.888139725E0
3.144400640E-1,3.049054146E0,5.051847100E-1,9.223732948E0
3.311060020E-1,3.089433193E0,3.879363835E-1,9.614959717E0
3.477719390E-1,3.032603502E0,3.379862010E-1,9.873085022E0
3.644378770E-1,3.110669374E0,4.286143482E-1,9.559326172E0
3.811038140E-1,3.067598581E0,5.937191248E-1,9.209974289E0
3.977697520E-1,2.855235577E0,7.217351198E-1,9.108877182E0
4.144356890E-1,2.767000198E0,7.247261405E-1,9.098110199E0
4.311016270E-1,2.778665304E0,6.903293133E-1,9.197412491E0
4.477675640E-1,2.685943365E0,6.263213158E-1,9.425029755E0
4.644335020E-1,2.638984203E0,5.955137610E-1,9.476774216E0
4.810994390E-1,2.658426046E0,6.236293912E-1,9.489934921E0
4.977653770E-1,2.611466885E0,5.829514265E-1,9.548857689E0
5.144313140E-1,2.562413931E0,6.167500615E-1,9.647860527E0
5.310972520E-1,2.627618313E0,6.158527136E-1,9.598808289E0
5.477631890E-1,2.747558594E0,5.973083377E-1,9.442676544E0
5.644291270E-1,2.670988321E0,6.640082598E-1,9.511769295E0
5.810950640E-1,2.623729944E0,6.358926296E-1,9.645169258E0
5.977610020E-1,2.708675146E0,6.388836503E-1,9.639186859E0
6.144269390E-1,2.791227579E0,7.097710371E-1,9.514460564E0
6.310928770E-1,2.807080030E0,7.734799385E-1,9.413962364E0
6.477588140E-1,2.894418001E0,7.396813035E-1,9.228817940E0
6.644247520E-1,2.834298372E0,8.180462122E-1,9.211171150E0
6.810906890E-1,2.749951363E0,8.195417523E-1,9.262317657E0
6.977566270E-1,2.644068956E0,7.651050687E-1,9.421140671E0
7.144225640E-1,2.638386011E0,8.066803217E-1,9.427721024E0
7.310885020E-1,2.676372051E0,7.980063558E-1,9.386744499E0
7.477544390E-1,2.661417007E0,7.465606928E-1,9.503693581E0
7.644203770E-1,2.573779821E0,7.357929349E-1,9.605089188E0
7.810863140E-1,2.579163790E0,6.960122585E-1,9.547960281E0
7.977522520E-1,2.636292458E0,7.094719410E-1,9.642177582E0
8.144181890E-1,2.624029160E0,7.109674215E-1,9.665208817E0
8.310841270E-1,2.682354212E0,7.298108935E-1,9.527621269E0
8.477500640E-1,2.765504837E0,7.719843984E-1,9.577571869E0
8.644160020E-1,2.781656265E0,8.647062778E-1,9.509974480E0
8.810819390E-1,2.778067112E0,9.323035479E-1,9.261420250E0
8.977478770E-1,2.812463999E0,1.004387259E0,9.269495964E0
9.144138140E-1,2.926721096E0,9.646066427E-1,9.308379173E0
9.310797520E-1,2.927319288E0,9.014959335E-1,9.464211464E0
9.477456890E-1,2.839383125E0,8.398807645E-1,9.641579628E0
9.644116270E-1,2.808874607E0,7.740781307E-1,9.718449593E0
9.810775640E-1,2.758326292E0,7.331010103E-1,9.725926399E0
9.977435020E-1,2.855833769E0,7.555337548E-1,9.615258217E0
1.014409439E0,2.924627542E0,7.441678643E-1,9.541679382E0
1.031075377E0,2.819343328E0,7.965108156E-1,9.462417603E0
1.047741314E0,2.754737139E0,8.359923959E-1,9.385248184E0
1.064407252E0,2.734996319E0,8.117650747E-1,9.393324852E0
1.081073189E0,2.618944407E0,8.497511148E-1,9.483952522E0
1.097739127E0,2.606082916E0,8.264211416E-1,9.528818130E0
1.114405064E0,2.620140791E0,8.072785139E-1,9.535099030E0
1.131071002E0,2.621636391E0,8.401798606E-1,9.439984322E0
1.147736939E0,2.653341293E0,8.506484628E-1,9.436694145E0
1.164402877E0,2.636890650E0,8.937192559E-1,9.428020477E0
1.181068814E0,2.679064035E0,8.919246197E-1,9.445367813E0
1.197734752E0,2.660818815E0,8.461619020E-1,9.644570351E0
1.214400689E0,2.728715181E0,8.512466550E-1,9.635298729E0
1.231066627E0,2.819044113E0,8.673982024E-1,9.495318413E0
1.247732564E0,2.863610506E0,8.733802438E-1,9.525228500E0
1.264398502E0,2.883650303E0,7.740781307E-1,9.600901604E0
1.281064439E0,2.834597588E0,7.223333120E-1,9.763314247E0
1.297730377E0,2.746661186E0,6.622136831E-1,9.846764565E0
1.314396314E0,2.638685226E0,6.948158741E-1,9.801301003E0
1.331062252E0,2.723032236E0,7.435696125E-1,9.626625061E0
1.347728189E0,2.809772015E0,8.072785139E-1,9.440582275E0
1.364394127E0,2.729313374E0,8.937192559E-1,9.322437286E0
1.381060064E0,2.591127872E0,9.197412133E-1,9.322137833E0
1.397726002E0,2.575873613E0,9.275178909E-1,9.339486122E0
1.414391939E0,2.647359133E0,9.191430211E-1,9.387042999E0
1.431057877E0,2.641676188E0,9.296116233E-1,9.349057198E0
1.447723814E0,2.650649309E0,9.448658228E-1,9.360722542E0
1.464389752E0,2.647359133E0,8.970093727E-1,9.475577354E0
1.481055689E0,2.683550596E0,8.644071817E-1,9.652347565E0
1.497721627E0,2.732902527E0,8.422735929E-1,9.630811691E0
1.514387564E0,2.675773859E0,8.736793399E-1,9.597013474E0
1.531053502E0,2.642872572E0,9.257232547E-1,9.484550476E0
1.547719439E0,2.740978241E0,9.616156220E-1,9.413364410E0
1.564385377E0,2.728116989E0,9.834501147E-1,9.460622787E0
1.581051314E0,2.584547520E0,9.729815125E-1,9.558428764E0
1.597717252E0,2.623430967E0,9.661021233E-1,9.552745819E0
1.614383189E0,2.732304335E0,9.897312522E-1,9.501599312E0
1.631049127E0,2.727518797E0,1.054935694E0,9.385547638E0
1.647715064E0,2.674278498E0,1.075573802E0,9.347561836E0
1.664381002E0,2.625225544E0,1.031306505E0,9.512367249E0
1.681046939E0,2.593819857E0,1.001396298E0,9.676874161E0
1.697712877E0,2.706282377E0,9.819545746E-1,9.623035431E0
1.714378814E0,2.753839731E0,1.011266708E0,9.508179665E0
1.731044752E0,2.702992201E0,1.054337502E0,9.452547073E0
1.747710689E0,2.706581593E0,1.027119160E0,9.480961800E0
1.764376627E0,2.686242580E0,1.028315544E0,9.570094109E0
1.781042564E0,2.665903568E0,9.729815125E-1,9.611370087E0
1.797708502E0,2.639881611E0,9.954141974E-1,9.554242134E0
1.814374439E0,2.677269459E0,1.040578723E0,9.438488960E0
1.831040377E0,2.740978241E0,1.010369420E0,9.416953087E0
1.847706314E0,2.746362209E0,9.819545746E-1,9.568299294E0
1.864372252E0,2.764308453E0,9.768698215E-1,9.512067795E0
1.881038189E0,2.705385208E0,1.087537885E0,9.359525681E0
1.897704127E0,2.632104874E0,1.161416292E0,9.212367058E0
1.914370064E0,2.745764017E0,1.149751306E0,9.136096001E0
1.931036002E0,2.771785975E0,1.161715388E0,9.169296265E0
1.947701939E0,2.677867651E0,1.132702470E0,9.359525681E0
1.964367877E0,2.788535595E0,1.046261668E0,9.477970123E0
1.981033814E0,2.834298372E0,1.004686356E0,9.624231339E0
1.997699752E0,2.769393206E0,1.012163997E0,9.661320686E0
2.014365689E0,2.714657307E0,1.019641519E0,9.474679947E0
2.031031627E0,2.736491680E0,1.089033365E0,9.317950249E0
2.047697564E0,2.744866610E0,1.049252748E0,9.586544991E0
2.064363502E0,2.808276415E0,9.658030272E-1,9.706784248E0
2.081029439E0,2.737090111E0,1.025025368E0,9.607182503E0
2.097695377E0,2.612962246E0,1.066600680E0,9.618847847E0
2.114361314E0,2.703590393E0,1.056132078E0,9.599705696E0
2.131027252E0,2.688635349E0,1.131805062E0,9.456435204E0
2.147693189E0,2.626721144E0,1.157527924E0,9.366405487E0
2.164359127E0,2.746062994E0,1.099202871E0,9.436694145E0
2.181025064E0,2.737688303E0,1.060917735E0,9.513862610E0
2.197691002E0,2.609971285E0,1.063908815E0,9.588339806E0
2.214356939E0,2.679662228E0,1.048355460E0,9.596714020E0
2.231022877E0,2.712264538E0,1.077966571E0,9.513564110E0
2.247688814E0,2.721237659E0,1.082453132E0,9.470493317E0
2.264354752E0,2.761616468E0,1.084846020E0,9.388837814E0
2.281020689E0,2.632404089E0,1.110568762E0,9.334401131E0
2.297686627E0,2.579462767E0,1.054636598E0,9.504590988E0
2.314352564E0,2.695813894E0,1.007378340E0,9.605388641E0
2.331018502E0,2.744268417E0,1.077966571E0,9.413364410E0
2.347684439E0,2.734398127E0,1.133001566E0,9.253344536E0
2.364350377E0,2.638386011E0,1.076770186E0,9.419346809E0
2.381016314E0,2.621935368E0,1.036690354E0,9.591928482E0
2.397682252E0,2.735893488E0,1.090528965E0,9.461520195E0
2.414348189E0,2.641975403E0,1.185045362E0,9.323334694E0
2.431014127E0,2.546860695E0,1.173679471E0,9.355039597E0
2.447680064E0,2.643470764E0,1.138684511E0,9.464211464E0
2.464346002E0,2.609373093E0,1.126720309E0,9.506086349E0
2.481011939E0,2.629412889E0,1.112961650E0,9.456734657E0
2.497677877E0,2.723331213E0,1.089631557E0,9.522537231E0
2.514343814E0,2.766103029E0,1.048654556E0,9.625128746E0
2.531009752E0,2.660818815E0,1.037886858E0,9.681061745E0
2.547675689E0,2.636890650E0,1.061515927E0,9.632008553E0
2.564341627E0,2.716152906E0,1.084546804E0,9.545567513E0
2.581007564E0,2.704188585E0,1.145563841E0,9.478569031E0
2.597673502E0,2.717050076E0,1.174576759E0,9.375976562E0
2.614339439E0,2.686541557E0,1.156331539E0,9.408279419E0
2.631005377E0,2.744567633E0,1.126421213E0,9.507282257E0
2.647671314E0,2.787040234E0,1.108175993E0,9.567103386E0
2.664337252E0,2.697608471E0,1.123430252E0,9.518349648E0
2.681003189E0,2.680858612E0,1.103091240E0,9.452845573E0
2.697669127E0,2.736192703E0,1.081854939E0,9.598209381E0
2.714335064E0,2.680260420E0,1.006780148E0,9.743574142E0
2.731001002E0,2.678765059E0,1.031605721E0,9.662218094E0
2.747666939E0,2.693121910E0,1.075872898E0,9.454939842E0
2.764332877E0,2.713460922E0,1.116850019E0,9.404391289E0
2.780998814E0,2.765504837E0,1.092622638E0,9.485149384E0
2.797664752E0,2.746960402E0,1.098903775E0,9.427422523E0
2.814330689E0,2.711367130E0,1.111167073E0,9.397212982E0
2.830996627E0,2.700898647E0,1.083051324E0,9.361918449E0
2.847662564E0,2.679662228E0,1.061216831E0,9.361619949E0
2.864328502E0,2.710469961E0,1.056730270E0,9.295816422E0
2.880994439E0,2.745165825E0,1.037886858E0,9.410672188E0
2.897660377E0,2.810370207E0,1.035194874E0,9.504590988E0
2.914326314E0,2.731407166E0,1.112662554E0,9.477072716E0
2.930992252E0,2.682054996E0,1.166800141E0,9.387342453E0
2.947658189E0,2.664707184E0,1.227517962E0,9.350852013E0
2.964324127E0,2.653939486E0,1.246959686E0,9.323035240E0
2.980990064E0,2.672483683E0,1.283749342E0,9.415757179E0
2.997656002E0,2.724228621E0,1.285543919E0,9.486943245E0
3.014321939E0,2.770589590E0,1.227817178E0,9.503992081E0
3.030987877E0,2.775375128E0,1.206580877E0,9.512367249E0
3.047653814E0,2.801995277E0,1.188634634E0,9.522537231E0
3.064319752E0,2.867797852E0,1.246959686E0,9.477072716E0
3.080985689E0,2.849851847E0,1.240080357E0,9.447162628E0
3.097651627E0,2.755335331E0,1.192822099E0,9.487242699E0
3.114317564E0,2.765504837E0,1.153938770E0,9.480961800E0
3.130983502E0,2.949453115E0,1.179960608E0,9.457332611E0
3.147649439E0,2.971287489E0,1.156929731E0,9.341579437E0
3.164315377E0,2.938086987E0,1.227817178E0,9.288339615E0
3.180981314E0,2.905185699E0,1.465005636E0,9.312267303E0
3.197647252E0,2.859722137E0,1.373480201E0,9.312865257E0
3.214313189E0,2.949153900E0,1.427019596E0,9.384949684E0
3.230979127E0,3.200101137E0,1.460519075E0,9.139386177E0
3.247645064E0,3.347558975E0,1.536192179E0,8.935696602E0
