"event","experiment time","system time","system time text"
"START",0.000000000E0,1658337247.061,"2022-07-20 19:14:07.061 UTC+02:00"
"PAUSE",2.558890041E1,1658337272.650,"2022-07-20 19:14:32.650 UTC+02:00"
