"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.060308700E-2,2.136491537E0,2.945265532E0,9.999306679E0
2.726902400E-2,2.082653046E0,2.922832966E0,1.043809032E1
4.393496200E-2,1.449452281E0,2.811267614E0,9.795019150E0
6.060089900E-2,8.682954907E-1,2.740380049E0,9.045168877E0
7.726683700E-2,8.916255236E-1,2.525923491E0,9.026624680E0
9.393277400E-2,1.133300662E0,2.450250387E0,9.188439369E0
1.105987120E-1,1.213161111E0,2.443670034E0,9.178867340E0
1.272646490E-1,1.398006678E0,2.471785784E0,9.201300621E0
1.439305870E-1,1.316351533E0,2.653640270E0,9.282656670E0
1.605965240E-1,1.496112347E0,2.716152906E0,9.268898010E0
1.772624620E-1,1.750947952E0,2.910868645E0,8.989535332E0
1.939283990E-1,1.791625977E0,3.128615618E0,8.692227364E0
2.105943370E-1,1.781456470E0,3.213560820E0,8.738588333E0
2.272602740E-1,1.773380637E0,3.224029303E0,8.766105652E0
2.439262120E-1,1.585843205E0,3.221337557E0,8.878269196E0
2.605921490E-1,1.515254974E0,3.218346357E0,9.122935295E0
2.772580870E-1,1.542772412E0,3.152543783E0,9.424730301E0
2.939240240E-1,1.771286964E0,3.217449188E0,9.444171906E0
3.105899620E-1,1.996810555E0,3.433401346E0,9.407382011E0
3.272558990E-1,2.511566401E0,3.507878065E0,9.297013283E0
3.439218370E-1,3.204288721E0,3.585943937E0,9.500403404E0
3.605877740E-1,3.241078377E0,3.403790236E0,1.030798054E1
3.772537120E-1,2.792124987E0,3.712763548E0,1.068365383E1
3.939196490E-1,1.986940145E0,3.561118364E0,9.870393753E0
4.105855870E-1,1.621436477E0,3.557528973E0,9.710971832E0
4.272515240E-1,1.815853238E0,3.087339401E0,1.015484047E1
4.439174620E-1,1.903490424E0,3.118745327E0,1.037228775E1
4.605833990E-1,1.485344648E0,3.202793121E0,9.931410789E0
4.772493370E-1,9.960124493E-1,2.647060156E0,9.311071396E0
4.939152740E-1,1.081256747E0,2.604587555E0,9.006285667E0
5.105812120E-1,6.852445602E-1,3.702294827E0,9.109774590E0
5.272471490E-1,-2.650051117E-1,5.628517151E0,8.776275635E0
5.439130870E-1,2.665006220E-1,4.101597309E0,7.746165276E0
5.605790240E-1,9.744769931E-1,3.762414455E0,8.582157135E0
5.772449620E-1,1.205982566E0,4.513162613E0,8.843274117E0
5.939108990E-1,5.880361795E-1,5.501697540E0,8.487042427E0
6.105768370E-1,2.542374097E-2,5.600700378E0,8.023732185E0
6.272427740E-1,2.018944174E-1,5.195415974E0,7.477869987E0
6.439087120E-1,3.173480928E-1,5.591727257E0,7.162017345E0
6.605746490E-1,5.473581553E-1,5.404190063E0,7.204789162E0
6.772405870E-1,8.144569993E-1,4.833800793E0,7.514659405E0
6.939065240E-1,7.384848595E-1,4.750051975E0,8.138587952E0
7.105724620E-1,6.966105103E-1,4.942674160E0,8.525926590E0
7.272383990E-1,6.529414654E-1,4.976472855E0,8.752047539E0
7.439043370E-1,3.011965454E-1,4.982754230E0,8.720642090E0
7.605702740E-1,-7.208377868E-2,5.003990173E0,8.303094864E0
7.772362120E-1,-2.213360965E-1,5.088935375E0,8.015656471E0
7.939021490E-1,-1.941177398E-1,5.171487808E0,8.214560509E0
8.105680870E-1,1.606182158E-1,4.983651161E0,8.617751122E0
8.272340240E-1,2.826521695E-1,4.838287354E0,8.806484222E0
8.438999620E-1,1.944168471E-2,4.635196686E0,8.632705688E0
8.605658990E-1,-4.139583111E-1,4.632205486E0,8.330612183E0
8.772318370E-1,-4.666004181E-1,4.576871395E0,8.319246292E0
8.938977740E-1,-3.388835192E-1,4.635196686E0,8.175676346E0
9.105637120E-1,-1.025922745E-1,4.709074974E0,8.100602150E0
9.272296490E-1,-2.991028305E-4,4.555934429E0,8.289036751E0
9.438955870E-1,1.007976532E-1,4.359723091E0,8.653344154E0
9.605615240E-1,-3.619144112E-2,4.464707851E0,8.786145210E0
9.772274620E-1,-3.113660514E-1,4.690231323E0,8.778368950E0
9.938933990E-1,-6.747759581E-1,4.922933578E0,8.678468704E0
1.010559337E0,-8.682954907E-1,4.921437740E0,8.596215248E0
1.027225274E0,-9.864411354E-1,5.010271549E0,8.632407188E0
1.043891212E0,-9.502496719E-1,5.093122959E0,8.963812828E0
1.060557149E0,-6.879364848E-1,4.989334106E0,9.404989243E0
1.077223087E0,-5.781657696E-1,5.026422977E0,9.638887405E0
1.093889024E0,-5.509474277E-1,4.904388905E0,9.509376526E0
1.110554962E0,-5.949155092E-1,4.538586140E0,9.340383530E0
1.127220899E0,-6.000002623E-1,4.730311394E0,9.416953087E0
1.143886837E0,-4.295116663E-1,4.264308929E0,9.753743172E0
1.160552774E0,-3.029911816E-1,4.253242016E0,1.023440170E1
1.177218712E0,-2.066800594E-1,4.057030678E0,1.030050373E1
1.193884649E0,-1.636092514E-1,4.097409725E0,9.921240807E0
1.210550587E0,-3.580260873E-1,4.111766815E0,9.193523407E0
1.227216524E0,-6.092724800E-1,4.149154663E0,8.469695091E0
1.243882462E0,-8.883354068E-2,2.888735056E0,8.962317467E0
1.260548399E0,-9.942178130E-1,4.767100811E0,8.958429337E0
1.277214337E0,-8.081758618E-1,4.654937267E0,8.592925072E0
1.293880274E0,-3.586242795E-1,4.275375843E0,7.697411537E0
1.310546212E0,-5.614160299E-1,4.693820953E0,7.431210041E0
1.327212149E0,-6.388836503E-1,4.992624283E0,7.245167732E0
1.343878087E0,-4.339981973E-1,4.960620403E0,7.401299477E0
1.360544024E0,3.589234129E-2,4.693222523E0,7.622635841E0
1.377209962E0,4.283152521E-1,4.507180691E0,8.078168869E0
1.393875899E0,6.317051649E-1,4.346263409E0,8.578269005E0
1.410541837E0,7.235297561E-1,4.304089546E0,8.961420059E0
1.427207774E0,4.710869491E-1,4.264608383E0,8.846863747E0
1.443873712E0,4.695914388E-1,4.350749969E0,8.719146729E0
1.460539649E0,7.633104324E-1,4.404588223E0,8.815756798E0
1.477205587E0,7.941179872E-1,4.406383038E0,9.168996811E0
1.493871524E0,6.032904387E-1,4.334000111E0,9.020342827E0
1.510537462E0,8.823533654E-1,4.186841488E0,8.329714775E0
1.527203399E0,2.090728730E-1,5.078765869E0,8.070093155E0
1.543869337E0,5.126622319E-1,4.819743156E0,8.141578674E0
1.560535274E0,7.100701332E-1,4.430909157E0,8.891729355E0
1.577201212E0,1.050150037E0,4.135096550E0,9.771689415E0
1.593867149E0,1.220937729E0,4.280161381E0,1.028465080E1
1.610533087E0,1.239183068E0,4.507180691E0,1.042911720E1
