"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.254993087E0,-4.710224867E-1,-7.834446430E-1,3.370456696E-1
1.271659024E0,-9.093635082E-1,3.558578491E-1,2.888393402E-2
1.288324962E0,-3.303761482E-1,-3.847517967E-1,-8.413167000E-1
1.304990899E0,-4.025637507E-1,-2.547488213E-1,-1.159892082E0
1.321656837E0,-6.046419144E-1,9.334421158E-2,-1.344651222E0
1.338322774E0,-5.574305058E-1,9.777784348E-2,-1.258076191E0
1.354988712E0,-1.798263639E-1,-1.410241127E-1,-1.006174564E0
1.371654649E0,2.495151758E-1,-3.843021393E-1,-6.167397499E-1
1.388320587E0,4.952136278E-1,-5.368757248E-1,-1.157751083E-1
1.404986524E0,6.532971263E-1,-6.181812286E-1,3.483486176E-1
1.421652462E0,5.023740530E-1,-6.457452774E-1,3.572626114E-1
1.438318399E0,3.706215620E-1,-5.325098038E-1,2.024593353E-1
1.454984337E0,6.617087126E-1,-4.687986374E-1,1.481122971E-1
1.471650274E0,8.362839818E-1,-3.076076508E-1,4.867038727E-1
1.488316212E0,7.852985859E-1,-5.034151077E-1,5.191688538E-1
1.504982149E0,7.187605500E-1,-3.295354843E-1,-4.997539520E-2
1.521648087E0,9.000297189E-1,-3.190193176E-1,-5.394420624E-1
1.538314024E0,3.898102641E-1,6.149535179E-1,-6.569719315E-1
1.554979962E0,7.644755244E-1,-7.295799255E-2,-1.648130417E-1
1.571645899E0,1.042903304E0,-2.610297203E-1,8.084955215E-1
1.588311837E0,1.234556794E0,-1.536498070E-1,1.272747993E0
1.604977774E0,1.187283278E0,1.287822723E-1,1.542996407E0
1.621643712E0,1.374559283E0,2.477664948E-1,1.488366127E0
1.638309649E0,1.746995449E0,1.160526276E-1,1.249001503E0
1.654975587E0,1.759295225E0,1.035413742E-1,6.829681396E-1
1.671641524E0,1.361440182E0,1.849956512E-1,2.594842911E-1
1.688307462E0,1.137701988E0,3.372750282E-1,2.811183929E-1
1.704973399E0,1.186291695E0,4.939169884E-1,2.879705429E-1
1.721639337E0,1.153704882E0,7.258229256E-1,8.663940430E-2
1.738305274E0,1.067156076E0,8.463420868E-1,-3.025922775E-1
1.754971212E0,1.050766706E0,7.991728783E-1,-5.183296204E-1
1.771637149E0,1.173381805E0,9.101557732E-1,-5.487098694E-1
1.788303087E0,1.130985022E0,1.265029430E0,-2.906379700E-1
1.804969024E0,9.108161330E-1,1.326744080E0,-4.455518723E-1
1.821634962E0,1.079889655E0,4.280347824E-1,-8.164148331E-1
1.838300899E0,1.051998138E0,6.957039833E-1,-4.480228424E-1
1.854966837E0,1.005041361E0,8.185815811E-1,-2.114276886E-1
1.871632774E0,1.004123092E0,6.272025108E-1,-2.708492279E-1
1.888298712E0,7.950261235E-1,5.250272751E-1,-2.834281921E-1
1.904964649E0,6.904540062E-1,3.039436340E-1,-3.280506134E-1
1.921630587E0,5.026732087E-1,8.733129501E-2,-2.335290909E-1
1.938296524E0,4.068619013E-1,-1.508989334E-1,-5.932235718E-2
1.954962462E0,5.014640689E-1,-2.778425217E-1,-6.416130066E-2
1.971628399E0,5.691392422E-1,-2.373709679E-1,-3.681182861E-1
1.988294337E0,4.702205062E-1,-2.585506439E-2,-8.948349953E-1
2.004960274E0,1.649512649E-1,1.770229340E-1,-1.693232059E0
