"event","experiment time","system time","system time text"
"START",0.000000000E0,1658348910.178,"2022-07-20 22:28:30.178 UTC+02:00"
"PAUSE",2.234238749E1,1658348932.521,"2022-07-20 22:28:52.521 UTC+02:00"
