"event","experiment time","system time","system time text"
"START",0.000000000E0,1658349209.014,"2022-07-20 22:33:29.014 UTC+02:00"
"PAUSE",2.354224806E1,1658349232.557,"2022-07-20 22:33:52.557 UTC+02:00"
