"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.511564000E-3,-2.965604544E0,5.767001629E0,6.018547058E0
2.517750200E-2,-2.057528257E0,5.322535038E0,7.210172653E0
4.184343900E-2,-1.231705427E0,4.822434902E0,9.085846901E0
5.850937700E-2,-1.224227905E0,4.888835907E0,9.712467194E0
7.517531400E-2,-1.928615093E0,5.171487808E0,9.247362137E0
9.184125200E-2,-2.544467688E0,5.462215900E0,9.205188751E0
1.085071890E-1,-2.305484533E0,5.465506077E0,8.799305916E0
1.251731270E-1,-1.591825247E0,5.041079044E0,8.128418922E0
1.418390640E-1,-9.984052777E-1,4.840381145E0,7.634001732E0
1.585050020E-1,-1.089930773E0,5.184947491E0,7.453941822E0
1.751709390E-1,-1.186241865E0,5.186442852E0,7.725227833E0
1.918368770E-1,-1.473380566E0,4.741377831E0,7.993523121E0
2.085028140E-1,-1.917548299E0,4.905884743E0,8.731410027E0
2.251687520E-1,-1.766202211E0,4.946562767E0,9.148657799E0
2.418346890E-1,-1.602293849E0,4.908277512E0,9.158827782E0
2.585006270E-1,-1.760519266E0,5.089533806E0,8.944071770E0
2.751665640E-1,-1.961815476E0,4.409373760E0,8.216953278E0
2.918325020E-1,-2.014457464E0,4.136591911E0,7.992027760E0
3.084984390E-1,-1.286740422E0,4.621138573E0,8.044071198E0
3.251643770E-1,-1.524527073E0,3.858426571E0,7.165606499E0
3.418303140E-1,-7.453642488E-1,3.294916868E0,8.509176254E0
3.584962520E-1,1.764706671E-1,2.382952213E0,1.150319576E1
3.751621890E-1,-8.673982322E-2,1.590030670E0,1.111077309E1
3.918281270E-1,-6.083751321E-1,1.955833435E0,1.080568790E1
4.084940640E-1,-1.122233868E0,2.726322412E0,1.124566841E1
4.251600020E-1,-3.182155132E0,3.110968590E0,1.037827015E1
4.418259390E-1,-2.744567633E0,1.273280740E0,9.573982239E0
4.584918770E-1,-1.754238129E0,-4.259224236E-1,9.993623734E0
4.751578140E-1,-2.505584478E0,8.087740541E-1,8.894122124E0
4.918237520E-1,-3.676572084E0,3.814458370E0,1.055294609E1
5.084896890E-1,-3.280858994E0,5.028516769E0,1.130070305E1
5.251556270E-1,-2.501995087E0,3.843471289E0,9.526425362E0
5.418215640E-1,-1.969592094E0,1.221835017E0,7.553243637E0
5.584875020E-1,-1.847259045E0,-8.452646136E-1,8.324629784E0
5.751534390E-1,-1.728515267E0,-2.183450609E-1,1.174995518E1
5.918193770E-1,-2.015354872E0,1.987239242E0,1.161296654E1
6.084853140E-1,-1.713261008E0,1.346860051E0,8.427521706E0
6.251512520E-1,-1.646860242E0,9.777671695E-1,7.408178806E0
6.418171890E-1,-1.972284079E0,9.696913958E-1,9.986744881E0
6.584831270E-1,-2.298306227E0,-1.511366606E0,1.393968773E1
6.751490640E-1,-3.323929787E0,-7.627122104E-2,1.135723400E1
6.918150020E-1,-2.058724880E0,8.138588071E-1,5.206482887E0
7.084809390E-1,-5.934200287E-1,1.151844978E0,5.800501347E0
7.251468770E-1,-1.578066587E0,2.073380709E0,8.035397530E0
7.418128140E-1,-1.753041744E0,1.314556956E0,9.288339615E0
7.584787520E-1,-1.172782183E0,1.584646821E0,1.181246853E1
7.751446890E-1,-1.056730270E0,1.314556956E0,1.142094231E1
7.918106270E-1,-1.304387450E0,1.589133382E0,7.450352192E0
8.084765640E-1,-8.653044701E-1,2.682354212E0,6.714858532E0
8.251425020E-1,-2.799602449E-1,2.706581593E0,8.147860527E0
8.418084390E-1,5.165506005E-1,2.567199707E0,7.909176350E0
8.584743770E-1,8.422735929E-1,2.606980324E0,9.822835922E0
8.751403140E-1,2.575873613E0,2.564806700E0,1.053230762E1
8.918062520E-1,2.408675194E0,1.448255897E0,1.091127110E1
9.084721890E-1,1.205085278E0,-7.202396393E-1,1.154806137E1
9.251381270E-1,1.779661894E0,7.456633449E-1,1.370967770E1
9.418040640E-1,8.168498278E-1,1.799701691E0,1.239571857E1
9.584700020E-1,2.410768867E-1,2.180160522E0,8.249555588E0
9.751359390E-1,3.050848961E0,3.597010612E0,5.423332691E0
9.918018770E-1,1.732702732E0,1.989332914E0,5.210371494E0
1.008467814E0,8.063812256E-1,1.763211131E0,7.017550468E0
1.025133752E0,1.550848126E0,2.367997169E0,1.032981491E1
1.041799689E0,2.257628202E0,2.765803814E0,1.136231804E1
1.058465627E0,2.296511650E0,2.478066921E0,1.078056335E1
1.075131564E0,1.439880967E0,2.006680965E0,9.834799767E0
1.091797502E0,1.370489120E0,5.569294691E-1,9.534799576E0
1.108463439E0,2.252244234E0,-3.439682424E-1,1.042552853E1
1.125129377E0,2.373380899E0,9.122636318E-1,1.139880848E1
1.141795314E0,1.571785331E0,2.692224503E0,1.104407310E1
1.158461252E0,1.026221752E0,4.111168385E0,1.022572803E1
1.175127189E0,1.473679662E0,3.999603033E0,9.073583603E0
1.191793127E0,1.891526341E0,2.100000858E0,8.255537033E0
1.208459064E0,2.239981174E0,1.884347759E-2,8.213363647E0
1.225125002E0,2.830709219E0,-5.371887088E-1,9.074481010E0
1.241790939E0,3.303590775E0,1.321735382E0,1.042851925E1
1.258456877E0,3.553640842E0,2.346461773E0,1.008694363E1
1.275122814E0,3.492623806E0,2.139482498E0,9.409774780E0
1.291788752E0,2.970091105E0,2.126920223E0,8.947361946E0
1.308454689E0,2.824727058E0,2.489133835E0,9.017651558E0
