"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.517750200E-2,-1.289459229E0,-2.948949635E-1,2.804632783E-1
4.184343900E-2,-1.360319495E0,-9.537126124E-2,5.146535859E-2
5.850937700E-2,-1.041524410E0,-2.863428742E-2,-6.742420048E-2
7.517531400E-2,-5.994110703E-1,8.559742570E-2,2.611446939E-2
9.184125200E-2,-2.079994529E-1,2.611446939E-2,2.683987021E-1
1.085071890E-1,3.772090003E-2,-2.722166181E-1,4.896081090E-1
1.251731270E-1,1.356883347E-1,-4.918225110E-1,5.520690680E-1
1.418390640E-1,3.947713599E-2,-6.375137568E-1,5.050324798E-1
1.585050020E-1,-2.510654330E-1,-5.699368119E-1,3.618610203E-1
1.751709390E-1,-5.635227561E-1,-4.175260663E-1,1.287397593E-1
1.918368770E-1,-7.832050323E-1,-3.388772309E-1,-9.224057943E-2
2.085028140E-1,-9.335541129E-1,-5.051851869E-1,-1.556941569E-1
2.251687520E-1,-9.608139396E-1,-7.795398235E-1,-1.034652218E-1
2.418346890E-1,-8.831577301E-1,-7.870992422E-1,-7.788526267E-2
2.585006270E-1,-8.171843290E-1,-7.299070358E-1,-1.661552191E-1
2.751665640E-1,-7.987056971E-1,-5.345830321E-1,-2.955058515E-1
2.918325020E-1,-9.553925395E-1,-1.494327933E-1,-2.709185183E-1
3.084984390E-1,-1.309999466E0,1.954767257E-1,-1.184314117E-1
3.251643770E-1,-1.794262528E0,7.108175159E-1,-5.597048625E-2
3.418303140E-1,-2.341826439E0,1.229670763E0,-8.269581944E-2
3.584962520E-1,-2.493702650E0,7.929788232E-1,-3.158170879E-1
3.751621890E-1,-1.909105182E0,4.406625926E-1,-8.423825502E-1
3.918281270E-1,-1.168889761E0,7.146354318E-1,-1.388953805E0
4.084940640E-1,-4.036289155E-1,6.094139814E-1,-1.466380954E0
4.251600020E-1,4.647917449E-1,5.823832154E-1,-9.836450219E-1
4.418259390E-1,1.060003161E0,1.394527912E0,-4.859429300E-1
4.584918770E-1,8.266527653E-1,9.107993841E-1,-6.639336348E-1
4.751578140E-1,-1.537088454E-1,-8.284853399E-2,-1.138957381E0
4.918237520E-1,-1.079779863E0,-2.885572612E-1,-1.179121733E0
5.084896890E-1,-1.367344499E0,8.116865903E-2,-5.749764442E-1
5.251556270E-1,-1.674991250E0,5.629118681E-1,5.634464025E-1
5.418215640E-1,-2.243171930E0,1.037248373E0,1.341230035E0
5.584875020E-1,-2.606101751E0,1.130939722E0,1.523114920E0
5.751534390E-1,-2.376951218E0,4.993819594E-1,1.307708740E0
5.918193770E-1,-1.584659576E0,-3.371973634E-1,1.125518322E0
6.084853140E-1,-8.688787818E-1,-3.950004280E-1,1.029536247E0
6.251512520E-1,-3.725511432E-1,-1.498145908E-1,9.112575054E-1
