"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.517750200E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.184343900E-2,4.049173594E-1,-1.684775352E-1,8.769092560E-1
5.850937700E-2,2.759360075E-1,2.854871750E-2,9.448308945E-1
7.517531400E-2,-3.133822680E-1,2.989330292E-1,3.253087997E-1
9.184125200E-2,-7.577211857E-1,4.905786514E-1,2.134838104E-1
1.085071890E-1,-5.002169609E-1,3.949928284E-1,-1.641855240E-1
1.251731270E-1,7.980632782E-2,-5.630445480E-2,-7.181339264E-1
1.418390640E-1,4.692237973E-1,-2.419428825E-1,-1.072964191E0
1.585050020E-1,2.349716425E-1,1.160531044E-1,-1.144496441E0
1.751709390E-1,6.092655659E-2,1.764302254E-1,-8.364682198E-1
1.918368770E-1,-2.427848577E-1,-1.405305862E-1,-5.818190575E-1
2.085028140E-1,-6.848119497E-1,1.476049423E-1,6.525230408E-2
2.251687520E-1,-5.893304348E-1,3.045215607E-1,3.619747162E-1
2.418346890E-1,-4.970612526E-1,3.693199158E-1,2.692422867E-1
2.585006270E-1,-7.014864683E-1,6.301059723E-1,-1.788234711E-2
2.751665640E-1,-9.011759758E-1,7.004833221E-2,-7.619667053E-1
2.918325020E-1,-9.008206129E-1,-5.125808716E-2,-9.953775406E-1
3.084984390E-1,-1.279523373E-1,5.975255966E-1,-9.716901779E-1
3.251643770E-1,-2.410162687E-1,1.012773514E-1,-1.849237919E0
3.418303140E-1,6.924667358E-1,-1.008574963E-1,-5.861167908E-1
3.584962520E-1,1.668445110E0,-5.947422981E-1,2.185417175E0
3.751621890E-1,1.444410086E0,-1.019485593E0,1.636521339E0
3.918281270E-1,1.045957804E0,-4.127120972E-1,1.245457649E0
4.084940640E-1,6.568481922E-1,4.452939034E-1,1.617020607E0
4.251600020E-1,-1.221391678E0,7.542166710E-1,7.539243698E-1
4.418259390E-1,-5.206768513E-1,-1.188722253E0,3.956794739E-2
4.584918770E-1,6.177595854E-1,-2.882059097E0,5.091466904E-1
4.751578140E-1,-9.676861763E-2,-1.521100044E0,-5.783309937E-1
4.918237520E-1,-1.225717068E0,1.644199133E0,9.934597015E-1
5.084896890E-1,-7.707214355E-1,2.996626377E0,1.641246796E0
5.251556270E-1,7.881426811E-2,1.991471410E0,-1.570005417E-1
5.418215640E-1,7.179123163E-1,-3.167208433E-1,-2.080760479E0
5.584875020E-1,9.572156668E-1,-1.973602653E0,-1.276822090E0
5.751534390E-1,1.101474166E0,-9.977294207E-1,2.070990562E0
5.918193770E-1,7.262377739E-1,1.370857239E0,1.846175194E0
6.084853140E-1,9.276922941E-1,8.025139570E-1,-1.327306747E0
6.251512520E-1,9.358810186E-1,4.420114756E-1,-2.292847157E0
6.418171890E-1,5.189749002E-1,3.006077409E-1,2.658672333E-1
6.584831270E-1,-6.991076469E-2,-2.430151463E0,4.074107170E0
6.751490640E-1,-1.717023611E0,-1.258039236E0,1.361456871E0
6.918150020E-1,-7.900916338E-1,-5.514516234E-1,-4.697833061E0
7.084809390E-1,5.322132111E-1,-3.026112318E-1,-4.007961750E0
7.251468770E-1,-5.293989182E-1,6.364657879E-1,-1.746247292E0
7.418128140E-1,-7.683280110E-1,-6.625950336E-2,-4.980659485E-1
7.584787520E-1,-3.858891726E-1,1.695210934E-1,1.967091560E0
7.751446890E-1,-6.550835371E-1,-2.421442270E-1,1.539922714E0
7.918106270E-1,-1.290073752E0,-1.010816097E-1,-2.365281105E0
8.084765640E-1,-9.480679035E-1,9.072990417E-1,-3.024279118E0
8.251425020E-1,-4.367496073E-1,9.308886528E-1,-1.561120033E0
8.418084390E-1,3.306391835E-1,9.140851498E-1,-1.787660122E0
8.584743770E-1,6.343840361E-1,1.140458703E0,9.093666077E-2
8.751403140E-1,2.320540905E0,1.277922988E0,7.569122314E-1
8.918062520E-1,2.136142015E0,2.676175833E-1,1.100086212E0
9.084721890E-1,8.906724453E-1,-1.906955004E0,1.710697174E0
9.251381270E-1,1.289195299E0,-6.125668287E-1,3.831075668E0
9.418040640E-1,-1.132369637E-1,1.291816235E-1,2.550393105E0
9.584700020E-1,-1.204056978E0,1.625490189E-1,-1.439640045E0
9.751359390E-1,1.199335814E0,1.340492010E0,-4.081233978E0
9.918018770E-1,-2.978303432E-1,-2.819490433E-1,-4.179705143E0
1.008467814E0,-1.185156345E0,-3.747229576E-1,-2.366164207E0
