"event","experiment time","system time","system time text"
"START",0.000000000E0,1659090769.823,"2022-07-29 12:32:49.823 UTC+02:00"
"PAUSE",2.237163994E1,1659090792.194,"2022-07-29 12:33:12.194 UTC+02:00"
