"event","experiment time","system time","system time text"
"START",0.000000000E0,1658336958.230,"2022-07-20 19:09:18.230 UTC+02:00"
"PAUSE",2.535005900E1,1658336983.581,"2022-07-20 19:09:43.581 UTC+02:00"
