"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.285198800E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.951792500E-2,-3.944702148E-1,5.774002075E-1,1.036062241E-1
6.618386300E-2,9.716062546E-1,-6.198711395E-1,-6.259694099E-1
8.284980000E-2,1.008044481E0,-1.139978409E0,-1.546141624E0
9.951573800E-2,9.300608635E-1,-8.668193817E-1,-1.914638042E0
1.161816750E-1,1.242189288E0,-8.911099434E-1,-1.862880945E0
1.328476130E-1,1.212460876E0,-8.006563187E-1,-1.326761246E0
1.495135500E-1,9.903163910E-1,-4.138503075E-1,-4.416575432E-1
1.661794880E-1,1.311913729E0,-3.338718414E-1,5.350112915E-1
1.828454250E-1,9.465036392E-1,7.597970963E-2,8.823308945E-1
1.995113630E-1,-4.755830765E-2,1.289056301E0,1.726046562E0
2.161773000E-1,-6.391539574E-1,2.240571976E0,2.041772842E0
2.328432380E-1,7.760759592E-1,2.654971123E0,2.646618366E0
2.495091750E-1,2.952020645E0,2.790509701E0,2.156275272E0
2.661751130E-1,3.621438026E0,2.334269047E0,3.673272133E-1
2.828410500E-1,3.010110378E0,4.301329613E0,-2.090728045E0
2.995069880E-1,2.106096029E0,5.613712311E0,-4.318490982E0
3.161729250E-1,1.679030657E0,4.871836662E0,-3.512852907E0
3.328388630E-1,7.157706022E-1,2.939199448E0,-1.542255402E0
3.495048000E-1,-8.302640915E-1,-2.154521942E-1,-1.438860178E0
3.661707380E-1,-1.299075007E0,-3.666877270E0,-1.452099323E0
3.828366750E-1,-1.697878361E0,-7.086000443E0,-6.272153854E-1
3.995026130E-1,-1.584720135E0,-9.658109665E0,-1.307617426E0
4.161685500E-1,-1.488924265E0,-1.152581692E1,-2.001976728E0
4.328344880E-1,-1.883967876E0,-1.223032951E1,-1.466245413E0
4.495004250E-1,-4.898908615E0,-1.068962383E1,8.405203819E-1
4.661663630E-1,-1.095966816E1,-7.508666515E0,4.256884098E0
4.828323000E-1,-1.391069221E1,-6.000381470E0,5.883136272E0
4.994982380E-1,-1.145568657E1,-7.381030083E0,5.753468037E0
5.161641750E-1,-9.942699432E0,-8.315576553E0,2.780506134E0
5.328301130E-1,-1.202476501E1,-6.421306133E0,4.131209373E0
5.494960500E-1,-1.743944359E1,-2.460325241E0,9.894950867E0
5.661619880E-1,-1.871227646E1,7.986191511E-1,1.400437069E1
5.828279250E-1,-1.641761017E1,5.076557636E0,1.459183025E1
5.994938630E-1,-1.419732857E1,8.785827637E0,1.237066078E1
6.161598000E-1,-9.876478195E0,9.925047874E0,9.845254898E0
6.328257380E-1,-3.161474228E0,9.154397011E0,9.184024811E0
6.494916750E-1,3.123622417E0,7.119256020E0,9.457475662E0
6.661576130E-1,5.988517761E0,5.728205681E0,8.505226135E0
6.828235500E-1,6.498832226E0,6.213832378E0,7.922166824E0
6.994894880E-1,7.005867481E0,6.535833836E0,7.941152096E0
7.161554250E-1,6.853897572E0,8.121700287E0,6.056349754E0
7.328213630E-1,7.532290459E0,8.854736328E0,2.897958755E0
7.494873000E-1,9.938466072E0,7.192720890E0,2.655069828E-1
7.661532380E-1,1.235306072E1,5.614300728E0,-9.079439640E-1
7.828191750E-1,1.206886768E1,3.969322920E0,-1.745971203E0
7.994851130E-1,1.133948231E1,3.010423660E0,-1.404433012E0
8.161510500E-1,1.087775230E1,2.951669455E0,-6.397407055E-1
8.328169880E-1,9.651042938E0,3.249154091E0,-4.877223969E-1
8.494829250E-1,7.964938164E0,2.692656755E0,-1.175557375E0
8.661488630E-1,6.636042118E0,1.296410322E0,-1.505389690E0
8.828148000E-1,5.465321541E0,5.130653381E-1,3.269505501E-1
8.994807380E-1,2.629023552E0,8.295807838E-1,2.620023727E0
9.161466750E-1,-2.687543869E0,2.899017334E-1,3.370766640E0
9.328126130E-1,-7.196100712E0,-3.138774633E0,1.455296516E0
9.494785500E-1,-5.579934597E0,-6.461442947E0,-8.915033340E-1
9.661444880E-1,-3.929119587E0,-5.708182335E0,2.011551857E-1
