"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.075425000E-3,-4.337290287E0,6.236892223E0,5.370989323E0
2.174136300E-2,-4.202095509E0,5.997909069E0,5.447858810E0
3.840730000E-2,-5.357829094E0,6.970292568E0,6.896413803E0
5.507323800E-2,-4.280759811E0,7.190731049E0,6.625426769E0
7.173917500E-2,-3.315255880E0,5.557031631E0,5.159523964E0
8.840511300E-2,-2.812463999E0,5.097908497E0,4.162314892E0
1.050710500E-1,-2.504687071E0,5.031507969E0,3.526721478E0
1.217369880E-1,-1.812862277E0,4.705485821E0,3.662813187E0
1.384029250E-1,-1.700100541E0,4.767699242E0,4.246662140E0
1.550688630E-1,-1.657029629E0,5.000999451E0,5.314758301E0
1.717348000E-1,-1.155135155E0,5.105386257E0,6.001498222E0
1.884007380E-1,-1.826321840E0,5.913262844E0,6.596413612E0
2.050666750E-1,-2.759522676E0,7.433004379E0,7.528119087E0
2.217326130E-1,-2.767000198E0,8.322237015E0,7.962416649E0
2.383985500E-1,-5.261218548E-1,9.198907852E0,8.533702850E0
2.550644880E-1,1.463510156E0,9.474979401E0,7.184450150E0
2.717304250E-1,1.813759565E0,1.025982571E1,4.639982224E0
2.883963630E-1,9.475577474E-1,1.300738430E1,1.312463164E0
3.050623000E-1,3.613162339E-1,1.404257870E1,-3.281157911E-1
3.217282380E-1,-2.871387079E-2,1.292513084E1,1.130010486E0
3.383941750E-1,-1.231107235E0,1.054905796E1,3.059522867E0
3.550601130E-1,-2.554039001E0,6.904190540E0,3.083152056E0
3.717260500E-1,-2.926422119E0,3.030808926E0,3.628117323E0
3.883919880E-1,-3.585345745E0,-5.578267574E-1,4.064209461E0
4.050579250E-1,-3.578167200E0,-3.350848913E0,3.090928555E0
4.217238630E-1,-4.017848492E0,-5.618945599E0,2.429911375E0
4.383898000E-1,-5.362315655E0,-6.151648045E0,3.768994808E0
4.550557380E-1,-1.047428226E1,-4.704588413E0,6.489933014E0
4.717216750E-1,-1.689033699E1,-1.952244163E0,1.018684387E1
4.883876130E-1,-1.879980850E1,-2.246561289E0,1.066481018E1
5.050535500E-1,-1.651137352E1,-3.820739508E0,9.726525307E0
5.217194880E-1,-1.675185204E1,-4.968995094E0,7.251748085E0
