"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.729667500E-2,-1.166217208E0,-4.163807034E-1,-4.963276163E-2
4.396261300E-2,-7.628173828E-1,-4.182896614E-1,2.105192691E-1
6.062855000E-2,-2.708421648E-1,-1.970802546E-1,3.748418987E-1
7.729448800E-2,-2.674060464E-1,-3.252854943E-1,2.122755051E-1
9.396042500E-2,-6.047561169E-1,-6.664534807E-1,1.440113783E-1
1.106263630E-1,-9.411135316E-1,-9.520327449E-1,2.287688553E-1
1.272923000E-1,-1.113606453E0,-1.101770997E0,1.847102344E-1
1.439582380E-1,-7.896190882E-1,-8.593340516E-1,7.880155742E-2
1.606241750E-1,1.085812151E-1,-2.493091822E-1,-5.497782957E-3
1.772901130E-1,8.733839393E-1,5.146535859E-2,-1.786779463E-1
1.939560500E-1,8.281035423E-1,-4.776962698E-1,-3.284925222E-1
2.106219880E-1,5.160280466E-1,-1.507079720E0,-3.627009690E-1
2.272879250E-1,1.039615512E0,-1.686673999E0,-2.792415619E-1
2.439538630E-1,2.810207129E0,-7.072287202E-1,-2.473238707E-1
2.606198000E-1,4.254978657E0,1.695913374E-1,-4.995346665E-1
2.772857380E-1,4.115777969E0,2.175442129E-1,-7.954986691E-1
2.939516750E-1,2.643440962E0,-2.195295244E-1,-6.937896609E-1
3.106176130E-1,2.843575478E-1,-6.982184649E-1,-4.764745235E-1
3.272835500E-1,-1.773874998E0,-1.087644696E0,-2.977202237E-1
3.439494880E-1,-2.747975111E0,-1.036561131E0,-6.238456443E-2
3.606154250E-1,-2.518595457E0,2.863428742E-2,2.729802132E-1
3.772813630E-1,-1.393077135E0,1.766849995E0,3.203985691E-1
3.939473000E-1,-3.989710510E-1,2.909854412E0,1.895207912E-1
4.106132380E-1,-3.332267404E-1,3.225594997E0,-1.319467872E-1
4.272791750E-1,-1.019227862E0,2.980027437E0,-7.296016216E-1
4.439451130E-1,-1.848858595E0,2.666501045E0,-1.581758022E0
4.606110500E-1,-2.137568474E0,2.591135740E0,-2.056094408E0
4.772769880E-1,-1.330768943E0,3.051422358E0,-1.438968301E0
4.939429250E-1,-6.030762792E-1,3.500789642E0,-6.840158105E-1
5.106088630E-1,-1.101923704E0,2.939252138E0,-8.802561760E-1
5.272748000E-1,-2.717661142E0,2.516686440E0,-1.951942086E0
5.439407380E-1,-3.393659353E0,3.163974047E0,-2.705672741E0
5.606066750E-1,-2.079612732E0,4.453051567E0,-2.329609156E0
5.772726130E-1,-5.117519498E-1,5.067428589E0,-1.738139391E0
5.939385500E-1,-9.240093231E-1,3.831267595E0,-1.449353099E0
6.106044880E-1,-3.060890675E0,1.619020700E0,-1.110246778E0
6.272704250E-1,-4.797350407E0,9.674570709E-2,-3.239873946E-1
6.439363630E-1,-4.477638721E0,7.529671788E-1,4.787652567E-2
6.606023000E-1,-2.422460556E0,2.655505657E0,-3.397171795E-1
6.772682380E-1,-7.221949100E-1,3.700618744E0,-9.432515502E-1
6.939341750E-1,-1.983783394E-1,3.052567720E0,-1.139644623E0
7.106001130E-1,-2.404516488E-1,1.468518972E0,-8.702532649E-1
7.272660500E-1,-4.295142889E-1,1.678351015E-1,1.580612548E-2
7.439319880E-1,-5.309942365E-1,-2.774853408E-1,1.091309905E0
7.605979250E-1,-6.181188226E-1,-1.775325835E-1,1.770820618E0
7.772638630E-1,-7.168498039E-1,-4.169152305E-2,1.828700066E0
7.939298000E-1,-9.495893121E-1,-1.715766490E-1,1.719431639E0
8.105957380E-1,-1.017624378E0,-5.414552689E-1,1.719966173E0
8.272616750E-1,-7.370083332E-1,-8.765909672E-1,1.789833784E0
8.439276130E-1,-3.014617562E-1,-1.053970814E0,1.985081434E0
8.605935500E-1,-6.498073786E-2,-1.173547626E0,2.103054762E0
