"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.444324400E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.110918100E-2,-1.866483688E-2,-6.701922417E-2,-5.667915344E-1
7.777511900E-2,1.570105553E-2,-1.410484314E-3,-9.147272110E-1
9.444105600E-2,7.044363022E-2,-1.581470966E-1,-7.823648453E-1
1.111069940E-1,1.158185005E-1,-8.782625198E-2,-4.706106186E-1
1.277729310E-1,1.595258713E-1,-6.537437439E-4,-3.578319550E-1
1.444388690E-1,2.526519299E-1,2.826762199E-2,-3.558101654E-1
1.611048060E-1,5.153281689E-1,7.645201683E-2,4.088306427E-2
1.777707440E-1,7.301460505E-1,1.319837570E-2,4.347448349E-1
1.944366810E-1,6.630935073E-1,2.609539032E-2,7.629261017E-1
2.111026190E-1,5.175028443E-1,-9.553194046E-3,1.107563972E0
2.277685560E-1,5.008328557E-1,-1.652719975E-1,9.132471085E-1
2.444344940E-1,1.923000813E-1,3.410434723E-2,8.658494949E-1
2.611004310E-1,1.022068262E-1,8.524370193E-2,8.778514862E-1
2.777663690E-1,1.827049255E-2,2.783513069E-2,5.392885208E-1
2.944323060E-1,1.505964994E-2,1.144821644E-1,-5.088520050E-2
3.110982440E-1,-7.682582736E-2,2.078011036E-1,-6.154203415E-1
3.277641810E-1,-6.859496236E-2,3.754260540E-1,-1.281178474E0
3.444301190E-1,3.676566780E-1,3.315913677E-1,-9.904079437E-1
3.610960560E-1,3.857453465E-1,-1.876258850E-2,-8.311910629E-1
3.777619940E-1,2.461009026E-1,5.849361420E-2,-1.457548141E-1
3.944279310E-1,3.934090137E-1,4.424357414E-2,7.815170288E-2
4.110938690E-1,9.269951582E-1,-2.350783348E-2,-9.451484680E-2
4.277598060E-1,9.014232159E-1,-1.677036285E-2,-2.598543167E-1
4.444257440E-1,5.950936079E-1,-2.087092400E-2,-4.810218811E-1
4.610916810E-1,5.058526993E-1,-1.246802807E-1,-4.452495575E-1
4.777576190E-1,2.305442095E-1,-7.782483101E-2,-1.003355980E0
4.944235560E-1,-6.685250998E-1,1.836297512E-1,-9.725165367E-1
5.110894940E-1,-9.854035974E-1,-2.586945295E-1,1.114988327E-1
5.277554310E-1,1.663804054E-1,-1.558145285E-1,-5.410289764E-2
5.444213690E-1,5.041996241E-1,2.739435434E-1,-1.933946609E-1
5.610873060E-1,1.293760538E-1,5.464661121E-1,-2.350950241E-1
5.777532440E-1,-3.330645561E-1,6.870729923E-1,-3.627185822E-1
5.944191810E-1,-9.403867126E-1,4.183028936E-1,1.101880074E0
6.110851190E-1,-2.915899754E-1,-2.273972034E-1,1.371910095E0
6.277510560E-1,-1.782417297E-2,1.329083443E-1,9.289684296E-1
6.444169940E-1,2.474999428E-2,1.769523621E-1,1.159264565E0
6.610829310E-1,6.067085266E-2,3.478457928E-1,5.515537262E-1
6.777488690E-1,2.666211128E-2,8.897950649E-1,2.232456207E-1
6.944148060E-1,1.336157322E-1,1.316960096E0,6.056127548E-1
7.110807440E-1,-6.194257736E-2,-3.465274572E-1,5.587139130E-1
7.277466810E-1,-2.780565023E-1,7.550525665E-2,-1.048927307E-1
7.444126190E-1,-1.215274334E-1,-6.729781628E-2,-7.083406448E-1
7.610785560E-1,1.615605354E-1,-1.544083357E-1,-1.392827034E0
7.777444940E-1,4.598877430E-1,3.890188932E-1,8.569841385E-1
7.944104310E-1,6.366469860E-1,1.168523908E0,3.689863205E0
8.110763690E-1,1.584675312E-1,1.874832511E0,3.652024269E0
8.277423060E-1,8.325705528E-1,-3.453306556E-1,4.547657967E0
8.444082440E-1,1.504223824E0,-1.958872557E0,3.675383568E0
8.610741810E-1,7.537629604E-1,-8.539556265E-1,2.418767929E0
8.777401190E-1,6.236791611E-2,-4.141682982E-1,1.360900879E0
8.944060560E-1,-4.097335339E-1,-1.040491462E0,1.572819710E0
9.110719940E-1,-1.888663769E-1,-1.239727736E0,1.139367104E0
9.277379310E-1,8.439588547E-2,-1.214419127E0,-1.288557053E-1
9.444038690E-1,-3.504039049E-1,-2.313077450E-2,-3.398952484E-1
9.610698060E-1,4.263849258E-1,-3.670859933E-1,8.959836960E-1
9.777357440E-1,4.278643131E-1,-8.778774738E-1,9.898719788E-1
9.944016810E-1,1.333713531E-2,-7.073826790E-1,6.008367538E-1
1.011067619E0,-1.896574497E-1,-9.337226152E-1,3.243150711E-1
1.027733556E0,-5.640567541E-1,-1.377558112E0,-4.248971939E-1
1.044399494E0,-7.574633360E-1,-8.249158263E-1,-1.612200737E0
1.061065431E0,-2.138084173E-1,-9.641048312E-1,-2.129190445E0
1.077731369E0,-7.548143864E-1,-1.008597612E0,-2.100711346E0
1.094397306E0,-1.553031683E0,-2.935544252E-1,-2.334811211E0
1.111063244E0,-1.484969854E0,-9.239770770E-1,-9.752998352E-1
1.127729181E0,-1.510071754E0,-9.736025929E-1,5.785722733E-1
1.144395119E0,-9.206129313E-1,-8.227156401E-1,1.296558380E0
1.161061056E0,-1.239534497E0,-2.817410231E-1,-2.284518719E0
1.177726994E0,-1.904420853E0,-1.124606729E0,-2.978945732E0
1.194392931E0,-1.383634329E0,-6.728210449E-1,-2.235790253E0
1.211058869E0,-1.068599939E0,-1.379104137E0,-2.317743301E-1
1.227724806E0,5.381362438E-1,-7.325575352E-1,7.062616348E-1
1.244390744E0,6.510517597E-1,-8.273903131E-1,1.578179359E0
1.261056681E0,-5.107560158E-1,-6.397579908E-1,1.380454063E0
1.277722619E0,-8.775706291E-1,-8.524650931E-1,1.571166039E0
1.294388556E0,-8.260977268E-1,-8.123914003E-1,2.023653030E0
1.311054494E0,-5.742733479E-1,-7.079576254E-1,1.442237854E0
1.327720431E0,-2.231268883E-1,-7.137410641E-1,8.684549332E-1
1.344386369E0,1.173086166E-1,-4.634881020E-1,7.995338440E-1
1.361052306E0,5.146527290E-2,-3.893582821E-1,7.796363831E-1
1.377718244E0,-1.809096336E-2,-9.225463867E-2,7.622270584E-1
1.394384181E0,-1.092708111E-1,9.530961514E-2,1.427217484E0
1.411050119E0,-5.921635628E-1,-4.047352672E-1,1.995326042E0
1.427716056E0,-4.004516602E-1,5.986070633E-2,2.402347565E0
1.444381994E0,-4.061942101E-1,7.839373350E-1,1.714673042E0
1.461047931E0,1.015350819E-1,2.082847357E-1,9.979181290E-1
1.477713869E0,7.678246498E-2,4.631009102E-1,3.438129425E-1
1.494379806E0,3.122320175E-1,2.437372208E-1,3.735752106E-1
1.511045744E0,9.599757195E-2,1.686058044E-1,-2.727527618E-1
1.527711681E0,4.672670364E-2,4.054721594E-1,-1.668224335E-1
1.544377619E0,2.145931721E-1,3.955117464E-1,-6.737546921E-1
1.561043556E0,-2.396299839E-1,5.774252415E-1,-1.179197311E0
1.577709494E0,-4.950468540E-1,8.560734987E-1,-1.566504002E0
1.594375431E0,-7.239334583E-1,7.905515432E-1,-1.203589916E0
1.611041369E0,-4.088034630E-1,7.929316759E-1,-9.584197998E-1
1.627707306E0,-8.257997036E-1,1.075960517E0,-1.047998905E0
1.644373244E0,-8.735473156E-1,1.441443920E0,-1.358746529E0
1.661039181E0,-6.661813259E-1,1.339139819E0,-7.698936462E-1
1.677705119E0,-6.474328041E-1,1.258682251E0,-5.713272095E-1
1.694371056E0,-4.163701534E-1,1.272650957E0,-8.096938133E-1
1.711036994E0,2.917194366E-1,1.275578260E0,-1.640460491E0
1.727702931E0,4.021077156E-1,1.399546504E0,-1.794579029E0
1.744368869E0,8.475685120E-2,1.420132875E0,-1.816297054E0
1.761034806E0,-1.865248680E-1,1.545303226E0,-1.926112652E0
1.777700744E0,-4.072475433E-2,1.606258154E0,-1.489404202E0
1.794366681E0,1.785025597E-1,1.335339069E0,-4.438304901E-1
1.811032619E0,4.593119621E-1,1.056325316E0,3.854770660E-1
