"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.777730600E-2,-1.087339297E-1,-3.291034102E-1,-3.184896111E-1
4.444324400E-2,1.259908639E-2,-6.039925665E-2,-3.894262910E-1
6.110918100E-2,-1.748600416E-2,5.696314201E-2,-3.109301627E-1
7.777511900E-2,-4.573849961E-2,7.712167501E-2,-1.475238502E-1
9.444105600E-2,5.001455545E-2,-3.749182448E-2,1.359174121E-2
1.111069940E-1,2.004400045E-1,-3.067304790E-1,1.749363989E-1
1.277729310E-1,2.548069656E-1,-6.100248694E-1,2.669478953E-1
1.444388690E-1,1.639408320E-1,-7.969494462E-1,3.020726442E-1
1.611048060E-1,2.977965865E-3,-8.432224989E-1,2.389244884E-1
1.777707440E-1,-1.700494885E-1,-8.140536547E-1,8.964440972E-2
1.944366810E-1,-3.100138903E-1,-7.947350740E-1,-9.697478265E-3
2.111026190E-1,-3.608683646E-1,-7.556397319E-1,-5.719221383E-2
2.277685560E-1,-4.282162189E-1,-7.069995999E-1,-1.130099874E-2
2.444344940E-1,-4.323395491E-1,-7.722094655E-1,1.069013327E-1
2.611004310E-1,-3.410152495E-1,-9.073632956E-1,1.721111536E-1
2.777663690E-1,-2.199113220E-1,-1.049694777E0,2.673296928E-1
2.944323060E-1,-1.352301836E-1,-1.144684196E0,3.615556061E-1
3.110982440E-1,-1.987601221E-1,-1.280296206E0,3.350593448E-1
3.277641810E-1,-2.893971801E-1,-1.348407626E0,2.307541668E-1
3.444301190E-1,-3.170388341E-1,-1.432936072E0,1.813504845E-1
3.610960560E-1,-2.730565667E-1,-1.465999126E0,2.374736816E-1
3.777619940E-1,-8.704823256E-2,-1.513188362E0,3.186423481E-1
3.944279310E-1,7.834340632E-2,-1.399491191E0,3.089448512E-1
4.110938690E-1,8.720094711E-2,-1.154152632E0,2.474002391E-1
4.277598060E-1,1.366809942E-2,-8.810960650E-1,1.393535286E-1
4.444257440E-1,-7.353284955E-2,-6.094139814E-1,4.825831577E-2
4.610916810E-1,-2.044106275E-1,-4.612029195E-1,1.289688200E-1
4.777576190E-1,-4.692205191E-1,-2.583194375E-1,4.308123887E-1
4.944235560E-1,-7.460185885E-1,-2.472475171E-1,8.322269320E-1
5.110894940E-1,-7.935897112E-1,-3.371210098E-1,9.706641436E-1
5.277554310E-1,-5.923097730E-1,-1.824958436E-2,8.109993339E-1
5.444213690E-1,-3.495673835E-1,3.959167302E-1,6.702713966E-1
5.610873060E-1,-2.023489624E-1,6.218603253E-1,7.466294765E-1
5.777532440E-1,-7.452550530E-2,5.807796717E-1,9.069051147E-1
5.944191810E-1,2.500727773E-1,3.657552972E-2,1.047633052E0
6.110851190E-1,6.808087826E-1,-2.539670467E-1,1.014264584E0
6.277510560E-1,9.824233055E-1,-6.604975462E-2,9.724967480E-1
6.444169940E-1,1.001054645E0,1.182023361E-1,8.343649507E-1
6.610829310E-1,6.032289863E-1,6.047561392E-2,7.348703146E-1
6.777488690E-1,2.596175298E-3,-3.907243907E-1,6.107884049E-1
6.944148060E-1,-3.019199073E-1,-1.011133909E0,4.365392327E-1
