"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.111136900E-2,-2.925524712E0,2.943770170E0,1.048893833E1
2.777730600E-2,-2.512762785E0,2.812164783E0,1.032502937E1
4.444324400E-2,-2.543570518E0,2.703889608E0,9.256933212E0
6.110918100E-2,-2.573480844E0,2.691327333E0,8.250751495E0
7.777511900E-2,-2.510669231E0,2.585743904E0,7.945965767E0
9.444105600E-2,-2.385943174E0,2.534896374E0,8.071887970E0
1.111069940E-1,-2.221735716E0,2.682952404E0,8.205587387E0
1.277729310E-1,-2.007279158E0,2.786741018E0,8.137989998E0
1.444388690E-1,-1.616351724E0,2.846262455E0,8.412566185E0
1.611048060E-1,-1.110269666E0,2.825325251E0,8.924330711E0
1.777707440E-1,-9.110672474E-1,2.738884687E0,9.363413811E0
1.944366810E-1,-8.943174481E-1,2.740679264E0,9.885947227E0
2.111026190E-1,-7.567301393E-1,2.458027124E0,9.996913910E0
2.277685560E-1,-8.482556343E-1,2.504687071E0,9.962816238E0
2.444344940E-1,-9.014959335E-1,2.609073877E0,1.008245754E1
2.611004310E-1,-7.809575200E-1,2.496611357E0,9.984650612E0
2.777663690E-1,-6.484549642E-1,2.534298182E0,9.436694145E0
2.944323060E-1,-4.453641176E-1,2.611466885E0,8.916853905E0
3.110982440E-1,-4.064807594E-1,2.725425005E0,8.094919205E0
3.277641810E-1,2.626122832E-1,2.824128866E0,8.086843491E0
3.444301190E-1,6.658028960E-1,2.411067963E0,8.258229256E0
3.610960560E-1,7.911269665E-1,2.341377020E0,8.729914665E0
3.777619940E-1,1.065703392E0,2.405983210E0,9.241379738E0
3.944279310E-1,1.747657895E0,2.327917337E0,9.006285667E0
4.110938690E-1,2.176272154E0,2.329711914E0,8.951250076E0
4.277598060E-1,2.009970903E0,2.329412937E0,8.542376518E0
4.444257440E-1,1.933101535E0,2.221137524E0,8.596813202E0
4.610916810E-1,1.928914189E0,2.120639086E0,8.283951759E0
4.777576190E-1,1.181157112E0,2.228914261E0,7.820641518E0
4.944235560E-1,5.147559643E-1,1.941177368E0,8.760422707E0
5.110894940E-1,1.470090389E0,1.543669701E0,9.016156197E0
5.277554310E-1,2.077568293E0,1.907677889E0,8.926724434E0
5.444213690E-1,1.930708766E0,2.222334146E0,8.800801277E0
5.610873060E-1,1.297508121E0,2.324028969E0,8.633603096E0
5.777532440E-1,6.478567123E-1,2.352443695E0,9.592227936E0
5.944191810E-1,9.604191780E-1,1.659721613E0,1.055085278E1
6.110851190E-1,1.558923960E0,1.834098577E0,1.013629627E1
6.277510560E-1,1.491326690E0,2.293819666E0,1.008634567E1
