"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.168522100E-2,-2.367099762E0,2.937488794E0,4.983053207E0
2.835115900E-2,-1.949851394E0,3.029612541E0,6.032305717E0
4.501709600E-2,-8.371888399E-1,2.930609465E0,6.517749786E0
6.168303400E-2,-5.204389244E-2,2.394916296E0,6.442076683E0
7.834897100E-2,-6.598208547E-1,2.055733681E0,5.871687889E0
9.501490900E-2,-1.478465319E0,2.120639086E0,4.567898273E0
1.116808460E-1,-1.712363720E0,3.042773008E0,3.130709410E0
1.283467840E-1,-1.945065737E0,3.993920088E0,2.347957134E0
1.450127210E-1,-3.093620539E0,4.475176334E0,3.136691332E0
1.616786590E-1,-4.197608948E0,5.569892883E0,8.587242126E0
1.783445960E-1,-5.077270508E0,5.817250729E0,1.450289822E1
1.950105340E-1,-2.409871578E0,6.151947021E0,1.244148159E1
2.116764710E-1,-2.787937403E0,7.501798153E0,1.054606628E1
2.283424090E-1,-1.098006487E0,5.071288586E0,1.041745281E1
2.450083460E-1,-2.371885538E0,7.016653538E0,1.151336479E1
2.616742840E-1,-4.089632988E0,9.790233612E0,1.233320618E1
2.783402210E-1,-2.770888567E0,6.023033619E0,1.698455429E1
2.950061590E-1,-1.752144337E0,2.480758905E0,1.635255051E1
3.116720960E-1,-1.692323804E0,2.038684845E0,1.894337845E1
3.283380340E-1,-1.558026671E0,1.549950838E0,1.836640930E1
3.450039710E-1,1.258923769E0,1.048953652E0,1.594277954E1
3.616699090E-1,1.874477386E0,-1.183250785E0,1.393669605E1
3.783358460E-1,2.280958176E0,-4.599304199E0,1.271516037E1
3.950017840E-1,1.766202211E0,-3.550350666E0,1.122951698E1
4.116677210E-1,3.078366280E0,-2.949453115E0,1.416670609E1
4.283336590E-1,6.293422699E0,-6.679863453E0,1.555603886E1
4.449995960E-1,7.638787270E0,-9.847362518E0,1.149990559E1
4.616655340E-1,8.928817749E0,-9.855138779E0,8.957531929E0
4.783314710E-1,3.414856911E0,5.324030519E-1,9.284450531E0
4.949974090E-1,2.318047047E0,2.457428932E0,9.686744690E0
5.116633460E-1,8.240283132E-1,4.233800411E0,1.183968639E1
5.283292840E-1,-8.494520187E-1,5.565705299E0,1.224108219E1
5.449952210E-1,-3.962514400E0,7.187740326E0,1.005972576E1
5.616611590E-1,-4.581058979E0,8.373981476E0,1.027627563E1
5.783270960E-1,-4.485345840E0,8.547461510E0,1.280100250E1
5.949930340E-1,-6.002395630E0,7.026822567E0,1.319521999E1
6.116589710E-1,-7.179664135E0,6.625127792E0,1.180439186E1
6.283249090E-1,-6.155835152E0,8.713164330E0,7.805088520E0
6.449908460E-1,-6.073283195E0,8.979366302E0,6.857231617E0
6.616567840E-1,-6.177370548E0,8.405686378E0,6.708577156E0
6.783227210E-1,-7.979166031E0,6.498009205E0,9.396913528E0
6.949886590E-1,-9.071190834E0,4.187738895E0,9.272786140E0
7.116545960E-1,-9.897013664E0,4.532903194E0,9.570991516E0
7.283205340E-1,-9.357132912E0,5.001597404E0,1.216092300E1
7.449864710E-1,-8.071290016E0,1.619940877E0,1.885185242E1
7.616524090E-1,-4.292723656E0,-1.846361756E0,2.401975250E1
7.783183460E-1,2.219342947E0,-2.618645191E0,2.291995049E1
7.949842840E-1,4.860121727E0,-3.293122053E-1,2.073799515E1
8.116502210E-1,5.215157032E0,-2.008475542E0,2.377119827E1
8.283161590E-1,5.852245808E0,-6.623631954E0,2.520509720E1
8.449820960E-1,6.476473808E0,-7.261020184E0,2.235853386E1
8.616480340E-1,5.541179180E0,-7.315756321E0,1.644168282E1
8.783139710E-1,3.284149170E0,-6.351448536E0,7.184450150E0
8.949799090E-1,2.194218397E0,-3.558127165E0,2.416152716E0
9.116458460E-1,1.807478428E0,-1.455733418E0,1.657029629E0
9.283117840E-1,1.413560033E0,-2.431406975E0,2.336890459E0
9.449777210E-1,9.909276962E-1,-3.748356581E0,2.775375128E0
9.616436590E-1,1.932802439E0,-2.417947292E0,1.524527073E0
9.783095960E-1,1.396511078E0,-7.634001732E0,-1.228714466E0
9.949755340E-1,1.781456470E0,-4.845765114E0,-4.039981842E0
1.011641471E0,3.438785315E0,-2.933899641E0,-4.613661289E0
1.028307409E0,3.844368696E0,-2.856431961E0,-4.063910007E0
1.044973346E0,4.237987995E0,-2.711965322E0,-1.486541033E-1
1.061639284E0,4.013959885E0,-4.464707851E0,3.401397467E0
1.078305221E0,5.829514027E0,-5.866901875E0,3.933202267E0
1.094971159E0,1.017846966E1,-4.395316124E0,4.834997177E0
1.111637096E0,1.426630783E1,-8.781659007E-1,1.078774166E1
1.128303034E0,1.508525085E1,-4.609174728E-1,1.161894894E1
1.144968971E0,1.604537201E1,-1.559223056E0,2.037907219E1
1.161634909E0,1.533440399E1,-3.812663794E0,2.900729179E1
1.178300846E0,1.094895840E1,-3.930809498E0,3.129931641E1
1.194966784E0,6.842874527E0,-1.327717423E0,2.686272430E1
1.211632721E0,4.058526516E0,1.375573874E0,2.041765594E1
1.228298659E0,1.804487348E0,3.323032379E0,1.465095425E1
1.244964596E0,9.152546525E-2,4.511367798E0,1.028943634E1
1.261630534E0,-1.704586983E0,4.702793598E0,8.185248375E0
1.278296471E0,-3.590131283E0,4.640281200E0,7.421040535E0
1.294962409E0,-4.057330132E0,4.610969067E0,9.192327499E0
1.311628346E0,-2.677269459E0,5.098805904E0,8.652746201E0
1.328294284E0,-1.921137452E0,5.877669811E0,5.543571949E0
1.344960221E0,-3.119343519E0,6.577271461E0,2.130509377E0
1.361626159E0,-4.832903385E0,6.648756981E0,1.338186026E0
1.378292096E0,-5.598008633E0,6.385845661E0,4.101597309E0
1.394958034E0,-5.713761330E0,5.601597786E0,6.830910206E0
1.411623971E0,-6.021538258E0,5.051547527E0,8.647063255E0
1.428289909E0,-6.471089840E0,3.472284794E0,9.655039787E0
1.444955846E0,-7.070491791E0,2.090728760E0,9.239286423E0
1.461621784E0,-8.258229256E0,9.942178130E-1,9.597910881E0
1.478287721E0,-9.709177017E0,8.823533356E-2,1.176311588E1
1.494953659E0,-9.365806580E0,-5.641079545E-1,1.475234985E1
1.511619596E0,-5.545067310E0,-1.232901812E0,1.532872105E1
1.528285534E0,3.385843933E-1,-2.850449979E-1,1.955653954E1
1.544951471E0,5.276473045E0,-1.176371455E0,2.543091965E1
1.561617409E0,7.400701523E0,-3.408575773E0,2.759373093E1
1.578283346E0,9.758230209E0,-6.987939358E0,2.916761017E1
1.594949284E0,1.374556923E1,-7.780561924E0,2.596242523E1
1.611615221E0,1.544208050E1,-6.631708145E0,1.953410721E1
1.628281159E0,1.426660633E1,-4.401298046E0,1.206132126E1
1.644947096E0,1.356610775E1,-3.052942514E0,8.472985268E0
1.661613034E0,1.169222832E1,-2.656332254E0,7.775177956E0
1.678278971E0,8.038987160E0,-2.068894386E0,7.418348312E0
1.694944909E0,4.921437740E0,-9.442676306E-1,6.242874146E0
