"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.501709600E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.168303400E-2,5.556523800E-1,-1.088840961E-1,9.891605377E-2
7.834897100E-2,5.980816483E-1,-4.000256062E-1,-7.152414322E-2
9.501490900E-2,-1.328234076E-1,-4.632596970E-1,-7.000389099E-1
1.116808460E-1,-5.946967602E-1,-4.916191101E-2,-1.675328732E0
1.283467840E-1,-4.852423668E-1,1.015382290E0,-2.585005283E0
1.450127210E-1,-9.905555248E-1,1.603132963E0,-2.524569511E0
1.616786590E-1,-1.690356851E0,2.257987738E0,-1.033510685E0
1.783445960E-1,-2.986341953E0,3.028531790E0,6.117581367E0
1.950105340E-1,-2.193132639E0,2.643839598E0,7.174585819E0
2.116764710E-1,-1.931012869E-1,3.219599247E0,4.708783150E0
2.283424090E-1,-7.669759989E-1,3.371342897E0,2.757209301E0
2.450083460E-1,3.250471354E-1,1.462527990E0,2.642901897E0
2.616742840E-1,-2.000004768E0,4.619463921E0,3.148741722E0
2.783402210E-1,-2.526439667E0,5.286460400E0,5.250520706E0
2.950061590E-1,-1.058570743E0,7.093539238E-1,8.141711235E0
3.116720960E-1,-5.717333555E-1,-8.618996143E-1,6.489018440E0
3.283380340E-1,-1.094222307E0,-8.088308573E-1,8.697442055E0
3.450039710E-1,-4.142541289E-1,-1.010990024E0,6.486743927E0
3.616699090E-1,2.294710159E0,-1.133083344E0,3.698962212E0
3.783358460E-1,1.903220415E0,-5.046523571E0,2.655153275E0
3.950017840E-1,2.023933887E0,-5.578177452E0,-3.044099808E-1
4.116677210E-1,1.691070080E0,-4.762975693E0,8.110485077E-1
4.283336590E-1,3.440034151E0,-3.808946848E0,3.095855713E0
4.449995960E-1,5.740318775E0,-8.923230171E0,2.979892731E0
4.616655340E-1,6.910035610E0,-1.128104591E1,-1.559806824E0
4.783314710E-1,5.033888817E0,-6.809405804E0,-2.470467567E0
4.949974090E-1,4.097135067E-1,1.742911816E0,-2.188413620E0
5.116633460E-1,-8.468850851E-1,2.873220921E0,-1.035765648E0
5.283292840E-1,-2.416187763E0,4.532421112E0,1.101665497E0
5.449952210E-1,-4.871472359E0,5.885455608E0,3.418083191E-1
5.616611590E-1,-7.486859322E0,7.183233738E0,-1.439833641E0
5.783270960E-1,-7.115614414E0,8.502655983E0,1.307497025E-1
5.949930340E-1,-7.282462597E0,8.084374428E0,1.820729256E0
6.116589710E-1,-8.601586342E0,6.469603539E0,1.808772087E0
6.283249090E-1,-8.892850876E0,6.985182285E0,-8.039903641E-1
6.449908460E-1,-7.523355484E0,8.920710564E0,-3.698709011E0
6.616567840E-1,-6.508730888E0,7.772047520E0,-4.917920113E0
6.783227210E-1,-7.410498142E0,7.390574932E0,-3.199593544E0
6.949886590E-1,-7.665443420E0,4.325043201E0,-1.529860497E0
7.116545960E-1,-8.153422356E0,2.482467175E0,-1.472796440E0
7.283205340E-1,-8.038539886E0,2.975939751E0,-9.245500565E-1
7.449864710E-1,-7.750997543E0,1.993964672E0,3.630579948E0
7.616524090E-1,-5.624621868E0,-2.990006208E0,1.011387634E1
7.783183460E-1,-1.620124340E0,-6.056221962E0,1.320684242E1
7.949842840E-1,4.152162552E0,-6.372626305E0,1.067192173E1
8.116502210E-1,4.965686321E0,-4.563679218E0,1.037372398E1
8.283161590E-1,5.266551018E0,-8.019849777E0,1.327798176E1
8.449820960E-1,5.223835945E0,-1.188091850E1,1.325826454E1
8.616480340E-1,5.033307076E0,-1.127794456E1,9.311278343E0
8.783139710E-1,3.177344322E0,-1.185133266E1,1.842032433E0
8.949799090E-1,9.865981340E-1,-9.871172905E0,-6.432948589E0
9.116458460E-1,1.656854153E-2,-6.641085625E0,-9.176558495E0
9.283117840E-1,-1.944053173E-1,-5.295303822E0,-9.268555641E0
9.449777210E-1,-7.341105938E-1,-6.667765617E0,-8.231697083E0
9.616436590E-1,-1.010711193E0,-5.703808784E0,-8.258413315E0
9.783095960E-1,1.400599480E-1,-7.944636822E0,-9.879828453E0
9.949755340E-1,-9.536021948E-1,-1.009174156E1,-1.278327370E1
1.011641471E0,1.562125683E-1,-6.699734688E0,-1.444219971E1
1.028307409E0,1.164101601E0,-5.570754528E0,-1.451142311E1
1.044973346E0,1.327350855E0,-5.597842216E0,-1.245684147E1
1.061639284E0,1.271478653E0,-5.695453167E0,-8.043045998E0
1.078305221E0,1.192060232E0,-7.900110245E0,-5.410783768E0
1.094971159E0,3.302853107E0,-8.145018578E0,-4.641794682E0
1.111637096E0,8.368784904E0,-5.974641800E0,-2.552743912E0
1.128303034E0,1.027274704E1,-2.552011013E0,2.456315994E0
1.144968971E0,1.076918602E1,-2.608363867E0,5.052126884E0
1.161634909E0,1.139436817E1,-3.700603008E0,1.440828419E1
1.178300846E0,8.971735001E0,-5.288154602E0,2.136127472E1
1.194966784E0,4.509536743E0,-3.935678959E0,2.051416016E1
1.211632721E0,9.594388008E-1,-1.072127700E0,1.463156319E1
1.228298659E0,-1.335257530E0,1.532161713E0,8.072342873E0
1.244964596E0,-3.258914471E0,3.144024611E0,2.573946953E0
1.261630534E0,-4.785429478E0,4.022655964E0,-1.068873405E0
1.278296471E0,-6.663035393E0,3.958298206E0,-2.559345722E0
1.294962409E0,-8.143140793E0,3.874836445E0,-2.546669483E0
1.311628346E0,-8.045269012E0,3.725264549E0,-6.884584427E-1
1.328294284E0,-6.578945160E0,3.972898722E0,-2.337022305E0
1.344960221E0,-6.522203445E0,4.284605980E0,-5.519620419E0
1.361626159E0,-8.185981750E0,4.509822369E0,-8.305823326E0
1.378292096E0,-9.412615776E0,4.062071800E0,-7.460439682E0
1.394958034E0,-9.955361366E0,3.407106638E0,-4.261213779E0
1.411623971E0,-9.916497231E0,2.227248192E0,-1.639335155E0
1.428289909E0,-1.037824440E1,9.319710732E-1,1.415824890E-1
1.444955846E0,-1.080209732E1,-1.328966618E0,9.776840210E-1
1.461621784E0,-1.155602264E1,-3.134871960E0,9.504165649E-1
1.478287721E0,-1.290026474E1,-4.646007538E0,2.223520279E0
1.494953659E0,-1.395624256E1,-6.025589943E0,5.399992943E0
1.511619596E0,-1.250091267E1,-6.946131706E0,8.030188560E0
1.528285534E0,-7.675098419E0,-7.547211170E0,9.024799347E0
1.544951471E0,-2.238726616E0,-6.941990852E0,1.554589081E1
1.561617409E0,1.473080158E0,-8.395714760E0,1.990994453E1
1.578283346E0,3.111070633E0,-1.132468224E1,2.201601601E1
1.594949284E0,5.777259827E0,-1.416484833E1,2.217828941E1
1.611615221E0,9.666140556E0,-1.426059437E1,1.785171890E1
1.628281159E0,9.482305527E0,-1.270212269E1,1.086067677E1
1.644947096E0,8.240900040E0,-1.056641293E1,4.589185715E0
1.661613034E0,7.455962181E0,-9.562433243E0,2.133984089E0
1.678278971E0,5.097649574E0,-9.098455429E0,1.489631176E0
1.694944909E0,1.712336063E0,-8.084429741E0,3.782696724E-1
1.711610846E0,-4.248771667E-1,-6.789237499E0,-1.152629375E0
1.728276784E0,-1.287667513E0,-5.632816315E0,-2.735405445E0
