"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.835115900E-2,-1.220584154E0,-8.751401305E-1,-4.305069447E-1
4.501709600E-2,-1.031674266E0,-1.152396441E0,-4.708240330E-1
6.168303400E-2,-5.771908760E-1,-7.682388425E-1,-5.975021124E-1
7.834897100E-2,-1.569922417E-1,-1.216384470E-1,-6.612611413E-1
9.501490900E-2,-1.371391416E-1,3.180314898E-1,-6.248382926E-1
1.116808460E-1,-5.948295593E-1,3.311650753E-1,-7.199041247E-1
1.283467840E-1,-1.352836370E0,5.940660089E-2,-1.081612468E0
1.450127210E-1,-2.114890337E0,-4.198931754E-1,-1.476460218E0
1.616786590E-1,-2.436968565E0,-7.121156454E-1,-1.368108034E0
1.783445960E-1,-1.484325051E0,-1.475085735E0,-7.454841137E-1
1.950105340E-1,-7.918334752E-2,-1.126434684E0,-3.016908467E-1
2.116764710E-1,4.772381112E-2,-9.353867173E-1,-1.276707351E-1
2.283424090E-1,-7.547997832E-1,-1.788306594E0,-7.246383280E-2
2.450083460E-1,-1.208672285E0,-3.367162943E0,-4.207331315E-2
2.616742840E-1,-1.241582632E0,-2.328082085E0,-7.628174126E-2
2.783402210E-1,-1.660712242E0,-9.987639189E-1,-7.400626540E-1
2.950061590E-1,-2.242484570E0,-1.788993835E0,-1.371620536E0
3.116720960E-1,-2.509203434E0,-1.653763652E0,-1.521893263E0
3.283380340E-1,-2.209727049E0,-2.365421057E0,-1.195309639E0
3.450039710E-1,-1.518762589E0,-1.765322804E0,-8.756746650E-1
3.616699090E-1,-5.739074349E-1,-8.843795061E-1,-2.512181364E-2
3.783358460E-1,-4.021017551E-1,-8.471167088E-1,8.636100590E-2
3.950017840E-1,-7.139481902E-1,-2.541961074E-1,-5.524508357E-1
4.116677210E-1,-1.040455461E0,-3.702604175E-1,-8.842267394E-1
4.283336590E-1,-1.941786408E-1,-8.687260747E-1,-5.778780580E-1
4.449995960E-1,9.584468603E-1,-1.502116442E0,-2.693150043E-1
4.616655340E-1,1.333823204E0,-1.494633436E0,-4.837285578E-1
4.783314710E-1,2.147953212E-1,-1.456683397E0,-6.433933377E-1
4.949974090E-1,-1.140179157E0,-1.446298718E0,-5.647444725E-1
5.116633460E-1,-1.133154154E0,-1.311984777E0,-6.165152788E-1
5.283292840E-1,-4.017963111E-1,-1.701182008E0,-5.918515921E-1
5.449952210E-1,-4.546361268E-1,-1.502116442E0,-9.195805788E-1
5.616611590E-1,-1.686903119E0,-7.774781585E-1,-1.416137218E0
5.783270960E-1,-2.407570839E0,-2.591593862E-1,-1.326951027E0
5.949930340E-1,-2.150167704E0,4.106538594E-1,-9.218713045E-1
6.116589710E-1,-1.062981129E0,5.901717544E-1,-2.808450758E-1
6.283249090E-1,-2.792415619E-1,3.123809695E-1,4.203513265E-1
6.449908460E-1,-1.762344837E-1,6.436223984E-1,7.177661061E-1
6.616567840E-1,3.535379842E-2,1.467144489E0,4.476875365E-1
6.783227210E-1,3.546833694E-1,2.551200390E0,2.551124096E-1
6.949886590E-1,9.962440729E-1,3.599368095E0,8.754456043E-1
7.116545960E-1,1.492877126E0,3.564548731E0,1.582368851E0
7.283205340E-1,1.553887248E0,1.322369576E0,1.777540207E0
7.449864710E-1,2.297004223E0,-1.263192058E0,1.957516193E0
7.616524090E-1,3.520490170E0,-2.630689144E0,2.504316568E0
7.783183460E-1,4.375242710E0,-1.881158113E0,2.842812061E0
7.949842840E-1,3.356396437E0,-4.946477413E-1,2.133903503E0
8.116502210E-1,1.589241028E0,-2.848920524E-1,1.362075686E0
8.283161590E-1,9.225585461E-1,-1.056643367E0,8.452841640E-1
8.449820960E-1,1.121013284E0,-1.911319494E0,5.750528574E-1
8.616480340E-1,1.398193121E0,-2.216370106E0,7.005855441E-1
8.783139710E-1,1.293048024E0,-1.322293162E0,8.930079341E-1
8.949799090E-1,6.619483232E-1,-1.463021189E-1,9.861648083E-1
9.116458460E-1,-2.813032269E-1,-3.642281145E-2,6.910407543E-1
9.283117840E-1,-9.345467687E-1,-2.244928032E-1,2.506836355E-1
9.449777210E-1,-1.046945930E0,-1.715002805E-1,1.416442692E-1
9.616436590E-1,-5.875755548E-1,1.306487024E-1,9.669225812E-1
9.783095960E-1,1.359174121E-2,2.223547846E-1,1.321224213E0
9.949755340E-1,2.427423894E-1,-1.752418280E-1,1.089324594E0
1.011641471E0,3.512472510E-1,-7.302888632E-1,9.740238786E-1
1.028307409E0,4.902189970E-1,-1.013424635E0,5.821541548E-1
1.044973346E0,4.111883640E-1,-9.213368297E-1,4.902189970E-2
1.061639284E0,6.711876392E-2,-1.357494235E0,-4.843394160E-1
1.078305221E0,2.266308367E-1,-2.106261730E0,-7.960331440E-1
1.094971159E0,5.213730931E-1,-2.070755243E0,-9.292780161E-1
1.111637096E0,-1.901316643E-1,-1.394986033E0,-2.961930633E-1
1.128303034E0,-1.328859925E0,-1.651854753E0,-2.061668597E-2
1.144968971E0,-3.160003424E0,-1.448054910E0,-1.366809964E0
1.161634909E0,-4.104247570E0,-1.464548349E0,-2.346102476E0
1.178300846E0,-3.378082275E0,-6.000219584E-1,-2.255160093E0
1.194966784E0,-2.098625898E0,6.369792223E-1,-1.585804939E0
1.211632721E0,-1.081383348E0,1.216460824E0,-9.679915905E-1
1.228298659E0,-4.996110201E-1,1.073671222E0,-6.036871076E-1
1.244964596E0,-3.987419903E-1,5.967385173E-1,-5.411498547E-1
