"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.334314800E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.000908500E-2,2.259078622E-1,-5.543565750E-2,1.981067657E-1
6.667502300E-2,-9.614139795E-2,1.403427124E-2,1.903848648E-1
8.334096000E-2,-5.790681839E-1,1.156892776E-1,2.842140198E-2
1.000068980E-1,-7.664588690E-1,1.415414810E-1,-3.514537811E-1
1.166728350E-1,-4.737830162E-1,-2.024314404E-1,-7.931222916E-1
1.333387730E-1,-3.466496468E-1,1.016786098E-1,-5.064096451E-1
1.500047100E-1,-3.215888739E-1,5.493364334E-1,-1.897935867E-1
1.666706480E-1,-3.448966742E-1,6.041140556E-1,1.996603012E-1
1.833365850E-1,1.320499182E-1,-7.345747948E-2,-1.887083054E-1
2.000025230E-1,5.080936551E-1,-1.017680764E0,-4.397535324E-1
2.166684600E-1,1.251869202E-1,-2.158918381E-1,2.993698120E-1
2.333343980E-1,-5.789035559E-1,7.378368378E-1,8.287973404E-1
2.500003350E-1,-7.144424319E-1,4.576957226E-1,8.720865250E-1
2.666662730E-1,-3.142126799E-1,-1.741034985E-1,2.094697952E-1
2.833322100E-1,4.031325877E-2,-8.885300159E-1,-9.979181290E-1
2.999981480E-1,-3.979425728E-1,-5.524497032E-1,-1.081398964E0
3.166640850E-1,-6.319327950E-1,1.388063431E-1,-1.074579239E0
3.333300230E-1,-2.938055992E-1,3.538622856E-1,-3.736181259E-1
3.499959600E-1,4.312477708E-1,1.252791882E-1,-1.373224258E-1
3.666618980E-1,7.384003401E-1,9.865951538E-2,4.251918793E-1
3.833278350E-1,3.725414276E-1,3.204536438E-2,-4.010257721E-1
3.999937730E-1,3.584948778E-1,3.002631664E-2,-7.358589172E-1
4.166597100E-1,6.059228182E-1,-3.425133228E-1,-4.536399841E-1
4.333256480E-1,4.735572338E-1,-1.952292919E-1,-5.506935120E-1
4.499915850E-1,-2.106373310E-1,2.057514191E-1,-1.372230530E0
