"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.223252300E-2,-5.173261166E-1,-5.912407637E-1,1.301905513E-1
3.889846000E-2,-5.526035428E-1,-4.557051361E-1,7.124210149E-2
5.556439800E-2,-3.756818473E-1,-1.514181048E-1,-3.810269013E-2
7.223033500E-2,-1.190422773E-1,1.685223281E-1,-1.553887278E-1
8.889627300E-2,-9.926552884E-4,1.943313628E-1,-1.680641770E-1
1.055622100E-1,-9.178243577E-2,6.727148592E-2,-1.374445707E-1
1.222281480E-1,-3.651444316E-1,-7.620538026E-2,-1.840230078E-2
1.388940850E-1,-6.549233794E-1,-3.550651670E-1,1.092684343E-1
1.555600230E-1,-8.019127250E-1,-6.548470259E-1,1.350011230E-1
1.722259600E-1,-7.853430510E-1,-8.051197529E-1,1.171333194E-1
1.888918980E-1,-6.914989352E-1,-6.279689670E-1,9.628756344E-2
2.055578350E-1,-6.320159435E-1,-4.893026948E-1,2.105192691E-1
2.222237730E-1,-4.936550856E-1,-7.493020296E-1,2.900844216E-1
2.388897100E-1,-1.543960720E-1,-1.168813348E0,2.953531146E-1
2.555556480E-1,1.217148080E-1,-1.571678758E0,2.985601723E-1
2.722215850E-1,2.321286201E-1,-1.891466379E0,2.574031353E-1
2.888875230E-1,2.382372618E-1,-1.769522548E0,2.195295244E-1
3.055534600E-1,7.040216774E-2,-1.623831272E0,3.180314898E-1
3.222193980E-1,-2.152534723E-1,-1.556865215E0,4.211149216E-1
3.388853350E-1,-5.521454215E-1,-1.126892805E0,4.851029813E-1
3.555512730E-1,-7.709113359E-1,-9.056833982E-1,3.652971387E-1
3.722172100E-1,-1.175838351E0,-1.054658055E0,1.389717311E-1
3.888831480E-1,-1.481041670E0,-1.479743600E0,6.620246917E-2
4.055490850E-1,-1.587026715E0,-1.667737246E0,7.521272451E-2
4.222150230E-1,-1.524489403E0,-1.695149779E0,1.622609496E-1
4.388809600E-1,-1.307327032E0,-1.270598769E0,1.792124510E-1
4.555468980E-1,-9.627228975E-1,-1.715766490E-1,3.291797638E-1
4.722128350E-1,-7.096721530E-1,1.784488708E-1,7.058542371E-1
4.888787730E-1,-6.315578222E-1,1.331685185E-1,7.981712222E-1
5.055447100E-1,-6.200277805E-1,2.929096520E-1,6.924915910E-1
5.222106480E-1,-6.838631034E-1,-3.970621154E-3,7.977130413E-1
5.388765850E-1,-6.676751971E-1,-2.384663373E-1,1.123685718E0
5.555425230E-1,-5.321395993E-1,2.243400961E-1,1.432019711E0
5.722084600E-1,-3.594939113E-1,8.293253183E-1,1.424154878E0
5.888743980E-1,-9.376774728E-2,1.360319495E0,1.239215612E0
6.055403350E-1,2.539670467E-1,1.579009056E0,7.943533063E-1
6.222062730E-1,4.813614488E-1,9.824233055E-1,-5.039634556E-2
6.388722100E-1,5.606211424E-1,-1.470656991E-1,-4.729620516E-1
6.555381480E-1,3.704131246E-1,-1.020831347E0,-5.615374446E-1
6.722040850E-1,9.491311759E-2,-1.271591425E0,-7.950404882E-1
6.888700230E-1,-5.345067009E-3,-1.047327638E0,-8.769727349E-1
7.055359600E-1,-1.808159798E-1,-1.145753264E0,-7.708349824E-1
7.222018980E-1,-2.372446060E-1,-1.116202712E0,-5.609265566E-1
7.388678350E-1,-1.818849891E-1,-1.334510446E0,-8.139773458E-2
7.555337730E-1,-9.766200930E-2,-1.327332854E0,-2.750418782E-1
7.721997100E-1,1.240055487E-1,-1.434386849E0,-5.665770769E-1
7.888656480E-1,3.114646673E-1,-1.504712701E0,-6.757691503E-1
8.055315850E-1,2.410625070E-1,-1.098563910E0,-7.077631950E-1
8.221975230E-1,-1.284343153E-1,1.550832987E-1,-4.010327160E-1
8.388634600E-1,8.185587823E-2,5.936078429E-1,1.443168074E-1
8.555293980E-1,4.189005196E-1,4.963276386E-1,4.426479042E-1
8.721953350E-1,7.187587619E-1,2.503781915E-1,3.538434207E-1
8.888612730E-1,9.304997921E-1,-2.809977904E-2,2.132681608E-1
9.055272100E-1,9.741765857E-1,-3.366628587E-1,1.101083755E-1
9.221931480E-1,9.582940936E-1,-4.607447684E-1,2.771798894E-2
9.388590850E-1,9.296598434E-1,-3.224602342E-1,-2.901607752E-2
9.555250230E-1,7.208204269E-1,-4.415025115E-1,-1.265253723E-1
9.721909600E-1,4.371501207E-1,-7.749583125E-1,-2.710712552E-1
9.888568980E-1,3.816377819E-1,-1.064126492E0,-3.545306325E-1
1.005522835E0,3.860665262E-1,-1.053818107E0,-3.501782417E-1
1.022188773E0,3.287216127E-1,-8.648318052E-1,-2.812268734E-1
1.038854710E0,2.925278842E-1,-5.522981286E-1,-9.796743840E-2
1.055520648E0,3.145190179E-1,-4.380663931E-1,6.108647678E-3
1.072186585E0,4.747183025E-1,-3.584249020E-1,-1.007926930E-2
1.088852523E0,5.970439911E-1,-8.979712427E-2,-6.856957078E-2
1.105518460E0,5.088503361E-1,1.971566081E-1,-8.239039034E-2
1.122184398E0,1.695149690E-1,4.857902229E-1,1.634063199E-2
1.138850335E0,-1.853974611E-1,5.955168009E-1,2.423606068E-1
1.155516273E0,-2.796997130E-1,6.165152788E-1,5.496255755E-1
1.172182210E0,-2.439641207E-1,7.240274549E-1,6.957749724E-1
1.188848148E0,-3.827067912E-1,7.004328370E-1,5.968912244E-1
1.205514085E0,-5.111411214E-1,4.389063418E-1,5.632173419E-1
1.222180023E0,-4.778489769E-1,3.087157905E-1,5.828413367E-1
1.238845960E0,-4.661661983E-1,2.870301008E-1,5.283980370E-1
1.255511898E0,-6.113229394E-1,4.476111531E-1,5.088503361E-1
1.272177835E0,-8.220712543E-1,5.836812854E-1,5.613847375E-1
1.288843773E0,-9.067524076E-1,3.662897944E-1,5.629118681E-1
1.305509710E0,-7.545707226E-1,1.364519149E-1,3.728565872E-1
1.322175648E0,-3.742310405E-1,2.099084109E-1,9.880737960E-2
1.338841585E0,7.032580674E-2,5.661953092E-1,3.107774630E-2
1.355507523E0,2.949713171E-1,6.397281289E-1,9.850194678E-3
1.372173460E0,3.207803667E-1,3.652971387E-1,-3.573558852E-2
1.388839398E0,3.287216127E-1,8.590286225E-2,1.410334110E-1
1.405505335E0,3.650680780E-1,1.595884189E-2,3.810268939E-1
1.422171273E0,3.862956166E-1,-2.622137070E-1,3.714821339E-1
1.438837210E0,5.076286197E-1,-4.357756674E-1,1.450040340E-1
1.455503148E0,7.060069442E-1,-2.546542585E-1,1.703549176E-1
1.472169085E0,6.230056882E-1,-4.657844082E-2,2.442695498E-1
1.488835023E0,3.025307953E-1,8.956804872E-2,2.060141414E-1
1.505500960E0,-1.672242396E-2,1.266780794E-1,1.078176349E-1
1.522166898E0,-2.720639110E-1,3.058141768E-1,-6.436987966E-2
1.538832835E0,-5.116755962E-1,2.318995446E-1,-2.990946770E-1
1.555498773E0,-1.066722646E-1,9.101885557E-2,8.139773458E-2
1.572164710E0,4.499019086E-1,1.318704337E-1,1.258381456E-1
1.588830648E0,6.254491806E-1,-1.992946304E-2,-3.084867075E-2
1.605496585E0,3.969857395E-1,-2.167806327E-1,-1.383608729E-1
1.622162523E0,-4.520399496E-2,-5.946004987E-1,-5.697077513E-1
1.638828460E0,-2.061668551E-3,-9.398918152E-1,-7.662535310E-1
1.655494398E0,6.821069121E-1,-9.447787404E-1,-4.672352076E-1
1.672160335E0,1.241353631E0,-6.573668718E-1,-2.854265571E-1
1.688826273E0,1.004719853E0,-3.594939113E-1,-3.258199990E-1
1.705492210E0,5.003746152E-1,-2.845866382E-1,-4.126391709E-1
1.722158148E0,1.782197952E-1,-3.879754841E-1,-2.877936661E-1
1.738824085E0,2.027307451E-1,-6.146063209E-1,-2.277761996E-1
1.755490023E0,6.653081179E-1,-6.237692833E-1,-3.077994883E-1
1.772155960E0,1.368489861E0,-1.001360059E0,-3.759109080E-1
1.788821898E0,1.917962670E0,-1.897193313E0,-5.282453299E-1
1.805487835E0,2.112217665E0,-2.067624569E0,-9.049961567E-1
1.822153773E0,1.922238708E0,-1.226311088E0,-1.384143233E0
1.838819710E0,1.680336237E0,-7.299833894E-1,-1.472489595E0
1.855485648E0,1.216537237E0,-3.940077722E-1,-1.015639067E0
1.872151585E0,6.834813356E-1,-8.513928205E-2,-3.502545953E-1
1.888817523E0,2.157879770E-1,3.676642478E-1,-1.909715980E-1
1.905483460E0,-2.422842383E-1,7.531962991E-1,-1.472184062E-1
1.922149398E0,-6.852375865E-1,1.237993836E0,-7.192932814E-2
1.938815335E0,-9.372956753E-1,1.448436737E0,5.054906011E-2
1.955481273E0,-1.295796871E0,1.706221700E0,7.040216774E-2
1.972147210E0,-1.986532211E0,2.278831005E0,-1.647044122E-1
1.988813148E0,-1.938579321E0,4.855611324E-1,-1.208748668E-1
2.005479085E0,-8.263473511E-1,5.413789153E-1,2.473238707E-1
2.022145023E0,2.145662606E-1,1.041142702E0,2.496909797E-1
2.038810960E0,5.754346251E-1,6.325504780E-1,5.726857111E-3
2.055476898E0,1.870773435E-1,1.924224049E-1,-3.643044829E-1
2.072142835E0,-3.962221742E-1,2.343430072E-1,-3.766745031E-1
2.088808773E0,-7.954986691E-1,4.165334105E-1,-1.295033395E-1
2.105474710E0,-5.801688433E-1,4.647153914E-1,7.330377586E-3
2.122140648E0,-1.082757786E-1,6.428588033E-1,2.641990222E-2
2.138806585E0,2.902371287E-1,5.453495383E-1,1.291215420E-1
2.155472523E0,3.299433291E-1,4.466948807E-1,1.050687432E-1
2.172138460E0,2.817613818E-2,4.989238083E-1,5.864302069E-2
2.188804398E0,-1.763872057E-1,3.987419903E-1,5.566505343E-2
2.205470335E0,-1.108719558E-1,2.696204484E-1,1.656970754E-2
2.222136273E0,-2.290742937E-3,6.436987966E-2,7.254019380E-3
2.238802210E0,3.474293277E-2,-1.748600416E-2,-9.689842910E-2
2.255468148E0,7.574722916E-2,-7.635809598E-4,-2.026543915E-1
2.272134085E0,-3.970621154E-2,8.315397054E-2,-2.602283955E-1
2.288800023E0,-2.698495090E-1,1.516471803E-1,-2.063195854E-1
2.305465960E0,-5.384773016E-1,-7.254019380E-3,-1.744782478E-1
2.322131898E0,-7.693078518E-1,-2.354883701E-1,-2.393826395E-1
2.338797835E0,-8.947641850E-1,-4.464657903E-1,-2.612210512E-1
2.355463773E0,-9.140827656E-1,-6.945532560E-1,-1.972329617E-1
2.372129710E0,-7.786235213E-1,-5.533671379E-1,-1.771507785E-2
2.388795648E0,-7.519745231E-1,-2.812268734E-1,2.063959390E-1
2.405461585E0,-7.652608752E-1,5.001455545E-2,1.618028134E-1
2.422127523E0,-6.470585465E-1,2.209039778E-1,7.696896046E-2
2.438793460E0,-9.185878932E-2,4.944950342E-1,1.006399691E-1
2.455459398E0,3.529271185E-1,5.265654325E-1,5.230529606E-2
2.472125335E0,4.109592736E-1,-1.855501719E-2,-6.230820715E-2
2.488791273E0,3.769799173E-1,-4.270708263E-1,-8.582650125E-2
2.505457210E0,2.791652083E-1,-7.279980779E-1,-1.851683855E-1
2.522123148E0,1.385899484E-1,-8.962913752E-1,-3.190241456E-1
2.538789085E0,-3.436114406E-3,-9.350812435E-1,-2.578612864E-1
2.555455023E0,-9.346231073E-2,-8.942296505E-1,-1.756236255E-1
2.572120960E0,-1.894444376E-1,-8.979712129E-1,-2.285397798E-1
2.588786898E0,-3.064250350E-1,-6.745474339E-1,-1.850920320E-1
2.605452835E0,-3.623955250E-1,-2.872591615E-1,-1.143844277E-1
2.622118773E0,-3.555232882E-1,9.842558950E-2,-2.000582218E-2
2.638784710E0,-3.382663727E-1,3.863719702E-1,1.275180187E-2
2.655450648E0,-3.685805500E-1,4.478402436E-1,1.473711245E-2
2.672116585E0,-4.906007648E-1,3.533089161E-1,-2.199113183E-2
2.688782523E0,-5.452731848E-1,1.961639524E-1,-1.214857325E-1
2.705448460E0,-5.249619484E-1,1.563813835E-1,-1.369864196E-1
2.722114398E0,-3.512472510E-1,7.918334752E-2,-1.671478748E-1
2.738780335E0,-1.700494885E-1,-1.908952445E-1,-1.514944583E-1
