"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.566585000E-3,-1.949851394E0,3.693022728E0,8.188837051E0
2.223252300E-2,-1.511067510E0,3.638286829E0,8.880661964E0
3.889846000E-2,-9.056833982E-1,3.425325632E0,9.508479118E0
5.556439800E-2,-6.840481758E-1,3.314956665E0,9.802198410E0
7.223033500E-2,-1.279262781E0,3.386741400E0,9.819545746E0
8.889627300E-2,-1.948355794E0,3.584448338E0,9.629615784E0
1.055622100E-1,-2.132603168E0,3.401995659E0,8.937491417E0
1.222281480E-1,-1.918146491E0,3.118745327E0,8.668598175E0
1.388940850E-1,-1.804487348E0,3.517449379E0,8.985647202E0
1.555600230E-1,-1.770688772E0,3.812065601E0,9.391530037E0
1.722259600E-1,-1.588535190E0,3.645166159E0,9.732506752E0
1.888918980E-1,-8.186444640E-1,2.492722988E0,9.086744308E0
2.055578350E-1,-6.616154313E-1,1.835893154E0,9.302396774E0
2.222237730E-1,-9.864411354E-1,2.977867842E0,1.019970608E1
2.388897100E-1,-1.512862086E0,3.509373426E0,1.057178974E1
2.555556480E-1,-1.188335538E0,3.095415115E0,1.059541893E1
2.722215850E-1,-3.810569942E-1,2.378764868E0,9.500103951E0
2.888875230E-1,-3.260220960E-2,1.895414591E0,8.584251404E0
3.055534600E-1,-1.866401732E-1,2.509771824E0,8.591130257E0
3.222193980E-1,-1.552343667E-1,3.046063185E0,8.380263329E0
3.388853350E-1,7.716853023E-1,2.983550787E0,9.727721214E0
3.555512730E-1,1.464108348E0,2.731107950E0,9.755537987E0
3.722172100E-1,1.796112537E0,2.409572363E0,9.573683739E0
3.888831480E-1,1.645065546E0,2.208874464E0,9.053544044E0
4.055490850E-1,2.138884306E0,1.868495345E0,8.919545174E0
4.222150230E-1,2.600699186E0,1.200000525E0,9.250951767E0
4.388809600E-1,2.470589399E0,1.439880967E0,8.531310081E0
4.555468980E-1,1.759023786E0,1.306481123E0,8.565707207E0
4.722128350E-1,2.425424814E0,6.667001843E-1,9.428917885E0
4.888787730E-1,2.772982359E0,1.077368379E0,9.654740334E0
5.055447100E-1,2.799602509E0,1.421037555E0,9.981360435E0
5.222106480E-1,2.174477577E0,1.525723577E0,1.078983593E1
5.388765850E-1,1.675574064E0,1.523928881E0,9.608079910E0
5.555425230E-1,2.411067963E0,9.281160831E-1,8.485248566E0
5.722084600E-1,3.080160856E0,4.501497746E-1,8.149355888E0
5.888743980E-1,2.539382935E0,-2.856431901E-1,8.469096184E0
6.055403350E-1,1.629213095E0,-2.685943365E0,1.048385334E1
6.222062730E-1,1.944168359E-1,-1.972284079E0,1.136710358E1
6.388722100E-1,-3.888336942E-2,-1.764706671E-1,1.071834946E1
6.555381480E-1,1.301396370E0,-2.030908167E-1,9.710971832E0
6.722040850E-1,1.639382601E0,-4.785645287E-3,9.364909172E0
6.888700230E-1,1.432403445E0,4.307080805E-2,9.543772697E0
7.055359600E-1,1.690529227E0,1.319043487E-1,9.847362518E0
7.222018980E-1,2.030908108E0,6.095715761E-1,1.037767220E1
7.388678350E-1,3.024527788E0,1.355234981E0,1.065464115E1
7.555337730E-1,3.734897137E0,-9.990034252E-2,1.088824081E1
7.721997100E-1,3.033500910E0,6.296114326E-1,1.040638542E1
7.888656480E-1,2.801098108E0,1.806581169E-1,9.634401321E0
8.055315850E-1,3.122035265E0,-4.004986882E-1,8.022834778E0
8.221975230E-1,2.892025232E0,-7.061817646E-1,9.233603477E0
8.388634600E-1,2.385046005E0,3.589234054E-1,9.877870560E0
8.555293980E-1,2.613261461E0,3.619144261E-1,1.007737255E1
8.721953350E-1,3.221935749E0,7.815557122E-1,1.021017456E1
8.888612730E-1,2.972783089E0,1.310369492E0,9.637691498E0
9.055272100E-1,2.829811811E0,1.194317579E0,9.129216194E0
9.221931480E-1,3.229413271E0,1.308275819E0,8.879166603E0
9.388590850E-1,3.155235767E0,1.632204175E0,8.867501259E0
9.555250230E-1,3.394817114E0,1.802991867E0,8.985647202E0
9.721909600E-1,3.612264872E0,1.844567180E0,9.353842735E0
9.888568980E-1,3.677170277E0,2.140080690E0,9.235696793E0
1.005522835E0,3.744767427E0,1.768894196E0,9.050253868E0
1.022188773E0,3.567997694E0,1.820638895E0,8.380861282E0
1.038854710E0,3.600599766E0,2.059023857E0,8.894122124E0
1.055520648E0,4.103092670E0,2.012363911E0,9.248857498E0
1.072186585E0,4.337290287E0,2.231905222E0,9.487542152E0
1.088852523E0,4.707280159E0,1.980359793E0,8.853444099E0
1.105518460E0,4.370789528E0,2.168196440E0,8.143672943E0
1.122184398E0,3.766901016E0,2.733201742E0,7.684549809E0
1.138850335E0,3.214458227E0,2.346162558E0,8.462516785E0
1.155516273E0,3.511766434E0,2.668894529E0,8.922237396E0
1.172182210E0,3.998406649E0,2.431406975E0,8.465507507E0
1.188848148E0,3.966701746E0,1.587338686E0,8.649156570E0
1.205514085E0,3.538984776E0,1.654636860E0,9.231808662E0
1.222180023E0,3.665505171E0,1.951945066E0,8.896215439E0
1.238845960E0,4.147060871E0,1.776670814E0,8.358727455E0
1.255511898E0,3.826422453E0,1.357029557E0,7.896314621E0
1.272177835E0,3.414258718E0,1.052542806E0,8.931210518E0
1.288843773E0,3.652942896E0,6.930212379E-1,9.580862045E0
1.305509710E0,4.230510235E0,4.181457460E-1,9.765707016E0
1.322175648E0,4.296313286E0,6.798607111E-1,9.375079155E0
1.338841585E0,3.876372576E0,6.236293912E-1,9.450154305E0
1.355507523E0,3.478864908E0,6.296114326E-1,9.717252731E0
1.372173460E0,2.670390129E0,8.078767657E-1,9.425029755E0
1.388839398E0,2.557030201E0,1.153938770E0,9.258728027E0
1.405505335E0,2.755933523E0,1.266401410E0,9.237491608E0
1.422171273E0,3.273381472E0,3.831507266E-1,9.841979027E0
1.438837210E0,3.357130051E0,8.488538265E-1,9.703494072E0
1.455503148E0,3.236292601E0,1.117149115E0,9.164211273E0
1.472169085E0,3.445066452E0,1.528415442E0,8.753543854E0
1.488835023E0,3.736990690E0,1.855334878E0,8.300103188E0
1.505500960E0,3.606881142E0,2.078764677E0,8.520841599E0
1.522166898E0,4.472783566E0,-8.330013752E-1,7.511070251E0
1.538832835E0,2.440380096E0,1.201795220E0,1.069442177E1
1.555498773E0,2.441875458E0,2.362314224E0,1.104108143E1
1.572164710E0,3.959523201E0,6.059823632E-1,1.092203903E1
1.588830648E0,3.561417341E0,1.408475280E0,9.485149384E0
1.605496585E0,4.168895245E0,1.031605721E0,8.019844055E0
1.622162523E0,4.577469826E0,-1.983051747E-1,8.864211082E0
1.638828460E0,1.891227245E0,1.968993902E0,9.828818321E0
1.655494398E0,2.933899641E0,3.314657450E0,1.081466103E1
1.672160335E0,4.307978153E0,2.230110645E0,9.000003815E0
1.688826273E0,4.168895245E0,1.396810174E0,8.227720261E0
1.705492210E0,3.359822035E0,2.524128675E0,7.668099403E0
1.722158148E0,2.782553673E0,2.854039192E0,8.432905197E0
1.738824085E0,3.317349434E0,2.263610125E0,9.500701904E0
1.755490023E0,3.747459412E0,1.693520188E0,1.091695404E1
1.772155960E0,3.883252144E0,1.160519004E0,1.220489120E1
1.788821898E0,3.701098442E0,-1.426720470E-1,1.199880886E1
1.805487835E0,3.448356628E0,1.898704767E0,6.842575550E0
1.822153773E0,4.048655987E0,3.076272726E0,5.159224510E0
1.838819710E0,4.941477776E0,3.666701555E0,5.722435474E0
1.855485648E0,5.659025669E0,4.581357956E0,6.826424122E0
1.872151585E0,5.353940487E0,4.692325115E0,6.914958477E0
1.888817523E0,4.849354267E0,4.810171604E0,5.680561066E0
1.905483460E0,4.181158543E0,5.271089077E0,4.814658165E0
1.922149398E0,4.124628067E0,5.322834015E0,5.782256126E0
1.938815335E0,4.032504559E0,5.107480049E0,7.156932354E0
1.955481273E0,4.235894203E0,3.110669374E0,5.010570526E0
1.972147210E0,4.328915119E0,1.136590719E0,7.632505894E0
1.988813148E0,7.486543655E-1,4.325924397E0,1.610997772E1
