"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.371062500E-2,-1.631314397E0,-1.043967962E0,5.936078429E-1
4.037656300E-2,-1.421406031E0,-9.345467687E-1,5.468003154E-1
5.704250000E-2,-1.232267022E0,-7.300597429E-1,3.627773225E-1
7.370843800E-2,-1.170569658E0,-5.480220914E-1,5.986474827E-2
9.037437500E-2,-1.264108300E0,-2.436586916E-1,-1.487455666E-1
1.070403130E-1,-1.407966971E0,-6.864593178E-2,-1.998291463E-1
1.237062500E-1,-1.527772784E0,1.250745654E-1,-2.380081862E-1
1.403721880E-1,-1.538691998E0,1.903607398E-1,-1.699731201E-1
1.570381250E-1,-1.200654745E0,1.735619605E-1,-1.893680729E-2
1.737040630E-1,-5.517635942E-1,1.239291951E-1,6.169734150E-2
1.903700000E-1,1.203403622E-1,1.859319657E-1,-1.155297980E-1
2.070359380E-1,5.190823674E-1,2.860374451E-1,-4.582249522E-1
2.237018750E-1,5.914698243E-1,8.422297984E-2,-6.666825414E-1
2.403678130E-1,5.398517251E-1,-3.388008773E-1,-5.519163013E-1
2.570337500E-1,6.572905183E-1,-8.128319383E-1,-2.012799382E-1
2.736996880E-1,9.472221732E-1,-1.056643367E0,3.634645417E-2
2.903656250E-1,1.142546177E0,-8.265764117E-1,-5.100720748E-2
3.070315630E-1,9.465349913E-1,-4.844921231E-1,-4.676169753E-1
3.236975000E-1,2.665661275E-1,-7.377719283E-1,-9.159153700E-1
3.403634380E-1,-6.078867912E-1,-1.403843641E0,-1.102916360E0
3.570293750E-1,-1.050076604E0,-1.543655276E0,-1.024267554E0
3.736953130E-1,-1.010064960E0,-1.012279272E0,-8.956804872E-1
3.903612500E-1,-9.179770350E-1,-1.649334878E-1,-8.499419689E-1
4.070271880E-1,-1.063591957E0,5.442041755E-1,-8.365029693E-1
4.236931250E-1,-1.400254846E0,9.210313559E-1,-9.180533886E-1
4.403590630E-1,-1.724013090E0,8.552106619E-1,-1.154534459E0
4.570250000E-1,-1.749058604E0,2.923751473E-1,-1.404454470E0
4.736909380E-1,-1.441182733E0,-3.171151876E-1,-1.614362955E0
4.903568750E-1,-9.275218248E-1,-3.780489266E-1,-1.868177176E0
5.070228130E-1,-4.508182108E-1,-2.993237376E-1,-1.884365082E0
5.236887500E-1,-1.455385387E-1,5.780307949E-2,-1.615202785E0
5.403546880E-1,-6.803506613E-2,2.187659442E-1,-1.344589710E0
5.570206250E-1,-1.434768587E-1,-9.605848789E-2,-1.348025799E0
5.736865630E-1,-2.919933498E-1,-2.641990185E-1,-1.535485029E0
5.903525000E-1,-5.139663815E-1,-3.749946058E-1,-1.360090375E0
6.070184380E-1,-3.966039717E-1,-3.469711840E-1,-5.807796717E-1
6.236843750E-1,-3.130681813E-2,-8.058069944E-1,2.962694131E-2
6.403503130E-1,-2.034943253E-1,-2.764163017E-1,5.915461779E-1
6.570162500E-1,-6.687442064E-1,-1.614973694E-1,1.315420985E0
6.736821880E-1,-1.012050271E0,1.318704337E-1,1.485165000E0
6.903481250E-1,-4.385245442E-1,5.984947681E-1,1.367344499E0
7.070140630E-1,5.118283033E-1,8.443678617E-1,1.530445337E0
