"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.482125000E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.148718800E-2,1.332626045E-1,1.198973656E-1,-4.318647385E-1
6.815312500E-2,8.964505792E-2,-4.556727409E-1,-1.524411201E0
8.481906300E-2,1.020348743E-1,-9.167895317E-1,-2.786405563E0
1.014850000E-1,2.643871009E-1,-1.145184517E0,-3.153077126E0
1.181509380E-1,9.575496316E-1,-1.592404842E0,-3.411448002E0
1.348168750E-1,6.769397855E-1,-9.171414375E-1,-2.921063900E0
1.514828130E-1,5.097639561E-1,-2.102496624E-1,-2.471891403E0
1.681487500E-1,1.194151282E0,-4.391698837E-1,-1.887373447E0
1.848146880E-1,1.923047781E0,-1.000247955E0,-1.787376881E0
2.014806250E-1,2.168078184E0,-1.522793293E0,-1.971774578E0
2.181465630E-1,1.760547876E0,-1.933584571E0,-1.693284988E0
2.348125000E-1,1.066936970E0,-1.899510980E0,-8.945312500E-1
2.514784380E-1,1.673404217E0,-1.655355811E0,6.475734711E-1
2.681443750E-1,3.197009087E0,-1.715131164E0,2.089617729E0
2.848103130E-1,4.096672535E0,-1.961164355E0,3.091021538E0
3.014762500E-1,3.102349758E0,-1.596588850E0,3.761042595E0
3.181421880E-1,6.167361736E-1,-7.910845280E-1,4.012965202E0
3.348081250E-1,-2.170511484E0,3.955535889E-1,4.674905777E0
3.514740630E-1,-3.012325764E0,7.246880531E-1,4.881068230E0
3.681400000E-1,-2.337384939E0,1.173596382E-1,3.599951744E0
3.848059380E-1,-2.370540380E0,-1.476979256E-1,5.937614441E-1
4.014718750E-1,-3.082134962E0,5.006954670E-1,-2.633088589E0
4.181378130E-1,-3.399887085E0,1.175554991E0,-5.296312809E0
4.348037500E-1,-3.275077820E0,1.500092268E0,-6.601147652E0
4.514696880E-1,-2.579112530E0,1.356984615E0,-5.967811584E0
4.681356250E-1,-1.941772223E0,4.662892818E-1,-5.767610550E0
4.848015630E-1,-1.349330664E0,-4.069286585E-1,-5.911838531E0
5.014675000E-1,-2.012450218E0,-8.602566719E-1,-5.094424725E0
5.181334380E-1,-2.927179337E0,-4.184564352E-1,-4.997852325E0
5.347993750E-1,-3.981392622E0,-3.192723989E-1,-4.361952305E0
5.514653130E-1,-4.266911030E0,-3.163522482E-1,-3.524959087E0
5.681312500E-1,-4.374479771E0,-3.251156807E-1,-3.316591740E0
5.847971880E-1,-4.823345184E0,-3.962411880E-1,-8.240203857E-1
6.014631250E-1,-6.538420200E0,7.959468365E-1,2.854454041E0
6.181290630E-1,-4.718983173E0,-8.192013502E-1,8.009077072E0
6.347950000E-1,-1.823837876E0,-2.059966326E0,8.380644798E0
6.514609380E-1,2.451353312E0,-3.439868212E0,1.094281101E1
6.681268750E-1,4.077744484E0,-5.006975651E0,1.333174229E1
6.847928130E-1,3.439547300E0,-5.092307091E0,1.560503483E1
7.014587500E-1,2.224273682E0,-4.970587254E0,1.364066029E1
7.181246880E-1,2.812342167E0,-4.909401894E0,8.500047684E0
7.347906250E-1,3.577004194E0,-4.881936073E0,4.207793236E0
7.514565630E-1,4.028479099E0,-3.991618156E0,1.050724030E0
7.681225000E-1,3.969608545E0,-2.661317825E0,-9.592590332E-1
7.847884380E-1,3.555496216E0,-1.705559731E0,-1.785591125E0
8.014543750E-1,2.762163401E0,-1.560920835E0,-2.564080238E0
8.181203130E-1,2.029046535E0,-2.029460907E0,-3.492214680E0
8.347862500E-1,1.631047606E0,-2.369684219E0,-4.233863354E0
8.514521880E-1,1.431442022E0,-2.427439690E0,-4.341302395E0
8.681181250E-1,1.278730035E0,-2.244151592E0,-5.031688690E0
8.847840630E-1,9.654943347E-1,-1.997643590E0,-5.542679310E0
9.014500000E-1,5.599934459E-1,-1.661860704E0,-5.626236439E0
9.181159380E-1,5.917757750E-1,-1.413287759E0,-5.368690014E0
9.347818750E-1,1.324331641E0,-1.946138024E0,-4.985524178E0
9.514478130E-1,2.167360544E0,-3.139841318E0,-4.825842857E0
9.681137500E-1,2.214500427E0,-3.853320122E0,-4.488074780E0
9.847796880E-1,1.126294732E0,-3.566181421E0,-3.258511066E0
1.001445625E0,-1.212596893E-2,-2.440407753E0,-1.252504349E0
1.018111563E0,2.342645228E-1,-1.738077402E0,3.073492050E-1
1.034777500E0,5.007416010E-1,-1.949277878E0,2.538158417E0
1.051443438E0,7.240591645E-1,-2.541982651E0,4.468785286E0
1.068109375E0,1.044029951E0,-2.796897411E0,5.234112740E0
1.084775313E0,8.579733968E-1,-2.645498514E0,5.931934357E0
1.101441250E0,2.177619934E-2,-1.933988571E0,6.206297874E0
1.118107188E0,-7.998795509E-1,-8.169810772E-1,4.518566132E0
1.134773125E0,-9.826744199E-1,2.436881065E-1,4.074672699E0
1.151439063E0,-8.540632725E-1,1.602499485E0,3.958625793E-1
1.168105000E0,1.088242531E-1,1.425037384E0,8.334169388E-1
1.184770938E0,1.326508760E0,6.984555721E-1,-1.111671448E0
1.201436875E0,2.011496305E0,-1.489888072E0,-3.609255791E0
1.218102813E0,3.535347462E0,-4.019469261E0,-4.099928379E0
1.234768750E0,3.932602882E0,-5.727044106E0,-3.892406940E0
1.251434688E0,1.780407190E0,-4.504869938E0,-5.228967667E-1
1.268100625E0,-2.288207054E0,2.653478384E-1,5.520496368E-1
1.284766563E0,-2.712761164E0,9.498018026E-1,4.615983963E-1
1.301432500E0,-1.681307316E0,-1.016775250E0,-8.487577438E-1
1.318098438E0,-8.087115288E-1,-9.024313688E-1,-2.193387508E0
1.334764375E0,-2.933135033E-1,-2.762541771E-1,-3.566450596E0
1.351430313E0,-1.733298302E-1,5.544748306E-1,-2.730787754E0
1.368096250E0,-1.995334864E0,2.600336075E-1,8.993940353E-1
1.384762188E0,-4.900443077E0,-1.228476048E0,-4.081077576E-1
1.401428125E0,-2.374448538E0,7.456240654E-1,-4.056170940E0
1.418094063E0,1.787911654E-1,-1.704905033E-1,-2.547926426E0
1.434760000E0,-4.997301102E-2,3.856010437E-1,-2.160488605E0
1.451425938E0,-8.265626431E-1,1.446091175E0,-6.226172447E-1
1.468091875E0,-1.598548889E0,1.415536880E0,1.250542641E0
1.484757813E0,-1.768481016E0,1.007738113E0,2.804341316E0
1.501423750E0,-1.288683414E0,1.231925011E0,2.553906441E0
1.518089688E0,-1.139818668E0,3.691864014E-1,1.670195580E0
1.534755625E0,-1.713073850E0,-7.681112289E-1,2.724704742E-1
1.551421563E0,-2.562615156E0,-8.243179321E-1,-4.981327057E-2
1.568087500E0,-2.145811081E0,-9.982366562E-1,1.734361649E-1
1.584753438E0,-7.450027466E-1,-1.051206112E0,2.309770584E-1
1.601419375E0,7.882478237E-1,-4.681186676E-1,4.620733261E-1
1.618085313E0,1.285695434E0,-1.790418625E-1,4.376516342E-1
1.634751250E0,5.808286071E-1,-1.729431152E-1,2.563199997E-1
1.651417188E0,-1.088625193E-1,-3.927392960E-1,3.439846039E-1
1.668083125E0,-3.403234482E-2,-8.495948315E-1,4.956750870E-1
1.684749063E0,-8.918166161E-2,-6.441538334E-1,-8.596982956E-1
1.701415000E0,-5.466344357E-1,-4.654307365E-1,-2.082248211E0
1.718080938E0,2.452871799E-1,-4.081888199E-1,-1.847676277E0
1.734746875E0,1.034604907E0,-4.369561672E-1,-1.056044579E0
1.751412813E0,1.449270368E0,-6.542909145E-1,-9.237670898E-1
1.768078750E0,3.805161417E-1,-1.687257290E0,-1.395293713E0
1.784744688E0,-7.150722742E-1,-2.855654240E0,-1.043525696E0
1.801410625E0,-1.185162306E0,-3.261840820E0,-1.518780708E0
1.818076563E0,-5.296208262E-1,-3.257080078E0,-4.231290817E-1
1.834742500E0,1.293714046E-1,-2.309651136E0,-2.136516571E-2
1.851408438E0,2.903557420E-1,-1.841255903E0,3.007717133E-1
1.868074375E0,-7.270591259E-1,-1.560302019E0,8.654327393E-1
1.884740313E0,-1.578666687E0,-3.253518105E0,1.277266502E0
1.901406250E0,-9.623588324E-1,-4.376338005E0,-5.944118500E-1
1.918072188E0,-1.999962330E-2,-2.362477541E0,-2.598613262E0
1.934738125E0,5.004956722E-1,-1.060232639E0,-2.352615356E0
1.951404063E0,-2.247300625E0,1.145664692E0,2.595448494E-1
1.968070000E0,-1.515795708E0,2.841629982E-1,3.681538582E0
1.984735938E0,2.762622833E-1,-6.525793076E-1,5.361974716E0
2.001401875E0,2.138636112E0,4.504370689E-1,4.698927879E0
2.018067813E0,3.221442223E0,1.786602974E0,3.127126694E0
2.034733750E0,3.881673098E0,2.765209198E0,3.124179840E-1
2.051399688E0,3.685184956E0,3.394551754E0,-6.818609238E-1
2.068065625E0,3.115400791E0,2.742914677E0,8.500194550E-1
2.084731563E0,2.438646317E0,2.302649498E0,1.570538521E0
2.101397500E0,2.133207321E0,1.870284081E0,1.927298546E0
2.118063438E0,2.198152542E0,1.546691895E0,1.218955040E0
2.134729375E0,2.284559250E0,1.531611919E0,-3.164911270E-1
2.151395313E0,2.058307409E0,1.525670528E0,-1.125388622E0
2.168061250E0,1.562848568E0,1.065950394E0,-1.269868374E0
2.184727188E0,1.210572839E0,-5.130910873E-1,-2.866779804E0
2.201393125E0,1.028492093E0,-4.937896729E-1,-4.944972992E-1
2.218059063E0,1.153474569E0,-2.938175201E-2,3.506669998E-1
2.234725000E0,1.108070970E0,-5.352783203E-2,-1.014483929E0
2.251390938E0,2.280038595E-1,-1.593160629E-1,-2.592065334E0
2.268056875E0,-3.801691532E-2,-6.192855835E-1,-2.183065414E0
2.284722813E0,3.475856781E-1,-8.626418114E-1,-1.506119251E0
2.301388750E0,6.787453890E-1,-1.438294411E0,-7.795376778E-1
2.318054688E0,7.853465676E-1,-1.110020161E0,-1.062971592E0
2.334720625E0,9.294144511E-1,-1.869883537E-1,-2.154714584E0
2.351386563E0,7.787439227E-1,4.443659782E-1,-2.454861164E0
2.368052500E0,7.513704896E-1,8.319535255E-1,-1.794494152E0
2.384718438E0,7.554166317E-1,1.306426048E0,-8.362503052E-1
2.401384375E0,3.778052926E-1,1.069371223E0,2.226171494E-1
2.418050313E0,1.929696798E-1,1.354183197E0,4.342308044E-1
2.434716250E0,6.068484187E-1,1.610199451E0,-8.712530136E-2
2.451382188E0,8.118050098E-1,2.529964924E0,-1.180786133E0
2.468048125E0,9.314701557E-1,3.133264065E0,-1.563759327E0
2.484714063E0,1.152396083E0,2.713272572E0,-1.007114887E0
2.501380000E0,7.258118391E-1,1.258744240E0,8.266930580E-1
2.518045938E0,7.999730110E-2,-1.409626007E-1,2.684013844E0
2.534711875E0,-6.106613874E-1,-6.147894859E-1,2.962932110E0
2.551377813E0,-9.150567055E-1,-2.770333290E-1,1.607858181E0
2.568043750E0,-1.394553304E0,2.582826614E-1,-3.215532303E-1
2.584709688E0,-1.693940043E0,4.622755051E-1,-2.089082718E0
2.601375625E0,-1.673646212E0,3.933377266E-1,-2.840548038E0
2.618041563E0,-1.454694986E0,1.197814941E-3,-2.551607609E0
2.634707500E0,-1.002318144E0,-1.864533424E-1,-1.913418293E0
2.651373438E0,-6.338424683E-1,-2.669668198E-1,-9.115586281E-1
2.668039375E0,-3.935289979E-1,-2.462158203E-1,7.681369781E-3
2.684705313E0,-3.622317314E-1,-1.411628723E-1,9.675836563E-2
2.701371250E0,-1.893371940E-1,-3.824973106E-1,1.204624176E-1
2.718037188E0,-2.275677919E-1,-1.046089649E0,-4.459667206E-1
2.734703125E0,-6.449107528E-1,-1.366687298E0,-1.770445347E0
2.751369063E0,-1.525343895E0,-1.378983498E0,-2.632005215E0
2.768035000E0,-1.686546445E0,-8.964266777E-1,-3.239357948E0
2.784700938E0,-1.656551361E0,-7.756476402E-1,-3.077256203E0
2.801366875E0,-1.575256109E0,-8.944511414E-1,-2.428217888E0
2.818032813E0,-1.373642206E0,-1.027670383E0,-2.313704014E0
2.834698750E0,-9.639672041E-1,-1.217461586E0,-2.499836922E0
2.851364688E0,-3.360139132E-1,-3.845920563E-1,-2.676906586E0
2.868030625E0,-1.515236259E0,4.440851212E-1,-4.067459106E0
2.884696563E0,-2.093037844E0,-5.549159050E-1,-3.457161903E0
2.901362500E0,-2.936453104E0,-9.395265579E-2,-9.173798561E-1
2.918028438E0,-3.158525229E0,9.259247780E-1,3.884444237E-1
2.934694375E0,-2.999505043E0,1.433839321E0,2.457470894E0
2.951360313E0,-1.968497753E0,1.610547066E0,3.543089867E0
2.968026250E0,-9.859258533E-1,1.563869476E0,3.154541969E0
2.984692188E0,-7.652442455E-1,1.486343861E0,1.484010696E0
3.001358125E0,-1.689441442E0,1.295597076E0,9.575119019E-1
3.018024063E0,-9.532124400E-1,1.698616505E0,4.373044968E-1
3.034690000E0,9.662150145E-1,2.117902756E0,1.887757301E0
3.051355938E0,3.585513830E-1,6.598744392E-1,1.526124954E0
3.068021875E0,1.021703482E-1,1.250829220E0,1.886003494E0
3.084687813E0,2.161492258E-1,3.420581818E-1,2.795669556E0
3.101353750E0,7.559634447E-1,1.615824699E-1,3.397962570E0
3.118019688E0,1.537580013E0,-2.937679291E-1,3.544758797E0
3.134685625E0,2.145354509E0,-4.475259781E-1,4.041986465E0
3.151351563E0,1.630926132E0,-5.574407578E-1,4.622373581E0
3.168017500E0,6.291201115E-1,-5.409955978E-1,4.342033386E0
3.184683438E0,-1.577638388E-1,-8.824062347E-1,2.188909531E0
3.201349375E0,2.280260324E-1,-1.180920601E0,1.143798828E-1
3.218015313E0,1.744361401E0,-9.548301697E-1,-7.887325287E-1
3.234681250E0,2.641688824E0,-4.760646820E-1,-1.292955875E0
3.251347188E0,2.343941927E0,-3.153963089E-1,-2.265366554E0
3.268013125E0,1.046598434E0,-2.511196136E-1,-7.989258766E-1
3.284679063E0,4.478550553E-1,-3.706407547E-2,-1.309652328E-1
3.301345000E0,5.104763508E-1,-5.620508194E-1,-1.023220539E0
3.318010938E0,9.539849758E-1,-7.986688614E-1,-1.290168285E0
3.334676875E0,1.706726909E0,-9.409699440E-1,-1.601514339E0
3.351342813E0,2.097968340E0,-1.118677616E0,-3.527447224E0
3.368008750E0,1.728067517E0,-1.315973759E0,-2.607739925E0
3.384674688E0,1.379411221E0,-1.046560287E0,-2.435814381E0
3.401340625E0,1.042275310E0,-1.014008999E0,-2.852095604E0
3.418006563E0,5.751219988E-1,-9.552464485E-1,-3.157071590E0
3.434672500E0,3.575140834E-1,-9.585223198E-1,-3.059176445E0
3.451338438E0,2.531981468E-2,-5.930428505E-1,-2.534024239E0
3.468004375E0,2.696686983E-2,-2.023873329E-1,-2.273631573E0
3.484670313E0,-6.404983997E-2,7.519769669E-2,-2.151778221E0
3.501336250E0,-3.635483980E-1,4.312229156E-1,-1.793827534E0
3.518002188E0,-9.898329973E-1,5.952816010E-1,-1.553309917E0
3.534668125E0,-1.630311012E0,7.759718895E-1,-7.948408127E-1
3.551334063E0,-2.002358437E0,1.137093067E0,-3.442130089E-1
3.568000000E0,-1.683604002E0,1.384159565E0,-7.072043419E-1
3.584665938E0,-1.318283081E0,1.766570568E0,-7.169361115E-1
3.601331875E0,-1.498038054E0,2.102853775E0,-6.511116028E-2
3.617997813E0,-1.984118819E0,2.432515621E0,8.788843155E-1
3.634663750E0,-2.253985405E0,2.821299553E0,1.410898685E0
