"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.466995000E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.133588800E-2,-2.176604271E-1,2.466821671E-2,-8.271503448E-2
1.080018250E-1,-9.181690216E-2,3.123760223E-2,2.036623955E-1
1.246677630E-1,1.798176765E-1,-7.355165482E-2,3.890914917E-1
1.413337000E-1,3.962945938E-1,-2.203593254E-1,3.754076958E-1
1.579996380E-1,3.320174217E-1,-2.167718410E-1,8.193111420E-1
1.746655750E-1,-8.145332336E-3,-1.082220078E-1,4.831390381E-1
1.913315130E-1,-2.851581573E-1,-2.960777283E-2,1.508998871E-1
2.079974500E-1,-2.829074860E-1,1.476507187E-1,2.799425125E-1
2.246633880E-1,1.360917091E-1,-1.735687256E-2,4.942312241E-1
2.413293250E-1,1.488394737E-1,-9.383106232E-2,3.659539223E-1
2.579952630E-1,-7.997655869E-2,-1.728248596E-2,1.097798347E-1
2.746612000E-1,-2.451772690E-1,-1.014466286E-1,-8.088111877E-3
2.913271380E-1,-7.572603226E-2,-1.089057922E-1,1.244640350E-2
3.079930750E-1,-1.748085022E-3,-4.404783249E-2,1.238493919E-1
3.246590130E-1,4.179430008E-2,-9.689712524E-2,1.572289467E-1
3.413249500E-1,7.772970200E-2,-2.414035797E-2,2.034783363E-1
3.579908880E-1,1.987504959E-2,-1.266765594E-2,1.317815781E-1
3.746568250E-1,-1.278214455E-1,2.298593521E-2,9.379768372E-2
3.913227630E-1,2.513504028E-2,-8.915376663E-2,-1.906476021E-1
4.079887000E-1,1.226730347E-1,4.445409775E-2,-4.247364998E-1
4.246546380E-1,-6.720018387E-2,1.509952545E-1,-4.708428383E-1
4.413205750E-1,-2.085223198E-1,1.458849907E-1,-5.699539185E-1
4.579865130E-1,-1.704382896E-1,1.296439171E-1,-6.743884087E-1
4.746524500E-1,-7.518482208E-2,1.482858658E-1,-7.567868233E-1
4.913183880E-1,-3.333258629E-2,8.955812454E-2,-6.356945038E-1
5.079843250E-1,-1.592645645E-1,-1.006126404E-1,-5.653204918E-1
5.246502630E-1,-4.291074276E-1,-2.989981174E-1,-6.465115547E-1
5.413162000E-1,-1.138744354E-1,-8.240604401E-2,-7.812457085E-1
5.579821380E-1,9.374911785E-1,2.328000069E-1,-2.090236187E0
5.746480750E-1,-7.375354767E-1,3.640763760E-1,-3.496357918E0
5.913140130E-1,5.723831654E-1,4.553365707E-1,-3.091729641E0
6.079799500E-1,6.487045288E-1,-2.396543026E-1,-1.340200424E0
6.246458880E-1,8.477874994E-1,-8.212392330E-1,3.027677536E-1
6.413118250E-1,1.145596504E0,-6.144355536E-1,1.467017174E0
6.579777630E-1,1.274785399E0,-6.416169405E-1,5.406408310E-1
6.746437000E-1,8.915668726E-1,-3.115202785E-1,1.538571358E0
6.913096380E-1,2.261859328E-1,-3.861588240E-2,3.294086456E0
7.079755750E-1,-1.425946653E-1,1.026502550E-1,2.838296890E0
7.246415130E-1,1.407839298E0,8.387702703E-1,7.381744385E-1
7.413074500E-1,1.927272320E0,5.927343369E-1,1.690610886E0
7.579733880E-1,2.318434238E0,-3.084695041E-1,7.839307785E-1
7.746393250E-1,2.375674248E0,-2.076713800E0,1.636095047E-1
7.913052630E-1,2.443475723E0,-2.666753054E0,6.757736206E-3
8.079712000E-1,1.222981215E-1,-1.207889795E0,5.432720184E-1
8.246371380E-1,-1.726994514E0,6.255368590E-1,1.569830894E0
8.413030750E-1,-2.336461782E0,2.787218690E-1,2.721946716E0
8.579690130E-1,-1.563960433E0,-5.195787549E-1,1.661101341E0
8.746349500E-1,-3.665578067E-1,-1.136093855E0,9.058952332E-3
8.913008880E-1,2.500675321E-1,-8.285211325E-1,-3.532133102E-1
9.079668250E-1,-1.328135133E-1,9.246311188E-1,-2.450551987E-1
9.246327630E-1,-3.535514176E-1,8.992283344E-1,-1.110839844E-1
9.412987000E-1,-4.302674532E-1,-3.563795090E-1,-1.112556458E-2
9.579646380E-1,-9.277250767E-1,-4.087897539E-1,2.641162872E-1
9.746305750E-1,-9.195257425E-1,1.153056622E-1,1.006955147E0
9.912965130E-1,-2.084631920E-1,1.736629009E-2,1.258547783E0
1.007962450E0,1.382182837E-1,-9.718465805E-2,1.200962067E-2
1.024628388E0,-8.018672466E-3,-1.050791740E-1,-1.319615364E0
1.041294325E0,-6.927928925E-1,5.622704029E-1,-1.554646492E0
1.057960263E0,-3.138163686E-1,3.548130989E-1,-9.855937958E-1
1.074626200E0,5.893182755E-2,-1.125071049E-1,-1.936712265E-1
1.091292138E0,3.658190966E-1,2.213692665E-2,3.779315948E-1
1.107958075E0,-6.278292537E-1,-8.610507250E-1,-4.817295074E-2
1.124624013E0,-2.571650147E-1,-6.609876156E-1,-2.827892303E-1
1.141289950E0,7.084107399E-2,4.383180141E-1,9.177465439E-1
1.157955888E0,8.382940292E-2,3.508367538E-1,1.275174141E0
1.174621825E0,3.249621391E-2,2.045331001E-1,6.990556717E-1
1.191287763E0,3.870948553E-1,-2.361388206E-1,4.514217377E-1
1.207953700E0,-1.129873991E-1,6.972765923E-2,2.622604370E-3
1.224619638E0,-7.495927811E-2,-5.981943607E-1,-1.025655746E0
1.241285575E0,-4.096235037E-1,-4.167366028E-2,-2.650861740E-1
1.257951513E0,-2.909643650E-1,2.130882740E-1,7.714195251E-1
1.274617450E0,6.521630287E-2,1.436080933E-1,1.247527122E0
1.291283388E0,1.114854813E-1,-8.650445938E-2,5.438070297E-1
1.307949325E0,-1.060788631E-1,-2.355289459E-2,-1.163691998E0
1.324615263E0,-8.471972942E-1,-1.498351097E-1,-1.321105480E0
1.341281200E0,4.646706581E-2,-1.221795082E0,1.915720940E0
1.357947138E0,-8.223236799E-1,-1.126622677E0,3.179370880E0
1.374613075E0,-6.920791864E-1,-2.002132893E0,1.334991455E-1
1.391279013E0,-1.015925884E0,7.742271423E-1,1.191920280E0
1.407944950E0,-6.581678391E-1,1.284340620E0,8.488082886E-1
1.424610888E0,-4.669477940E-1,8.786897659E-1,-1.319849968E0
1.441276825E0,-2.796068192E-1,7.686257362E-2,-1.337721825E0
1.457942763E0,1.769428253E-1,2.368292809E-1,-1.359976292E0
1.474608700E0,9.108872414E-1,2.109827995E-1,-1.445528030E0
1.491274638E0,1.347606897E0,3.979091644E-1,-1.245346546E0
1.507940575E0,8.010001183E-1,1.060789585E0,-2.291282654E0
1.524606513E0,7.188723087E-1,3.084616661E-1,-1.626904964E0
1.541272450E0,-1.880691051E-1,-5.320091248E-1,-8.693194389E-1
1.557938388E0,-2.066640854E-1,-5.722193718E-1,-8.282370567E-1
1.574604325E0,5.797362328E-2,4.822511673E-1,-1.325376034E0
1.591270263E0,3.401603699E-1,4.251699448E-1,5.575799942E-1
1.607936200E0,4.904773235E-1,5.378675461E-2,5.253887177E-1
1.624602138E0,-3.185423613E-1,-6.436781883E-1,-1.157166004E0
1.641268075E0,-9.803494215E-1,-7.669677734E-1,-8.692946434E-1
1.657934013E0,-1.906485558E-1,-2.739243507E-1,-6.740665436E-2
1.674599950E0,2.957301140E-1,-2.999696732E-1,3.528671265E-1
1.691265888E0,3.185343742E-1,-1.549296379E-1,1.864795685E-1
1.707931825E0,9.842958450E-1,2.832412720E-1,-1.000728607E-1
1.724597763E0,1.123139858E-1,-3.156738281E-1,-9.370613098E-2
1.741263700E0,1.701815128E-1,1.042652130E-2,3.099699020E-1
1.757929638E0,2.833430767E-1,3.247785568E-2,3.770399094E-1
1.774595575E0,2.096607685E-1,-1.930437088E-1,4.918794632E-1
1.791261513E0,6.089522839E-1,1.799983978E-1,5.563602448E-1
1.807927450E0,3.850283623E-1,-7.997512817E-3,-3.004059792E-1
1.824593388E0,8.327429295E-1,4.742903709E-1,-1.616342068E0
1.841259325E0,7.885499001E-1,4.537286758E-1,-3.395483494E0
1.857925263E0,2.996205091E-1,5.752563477E-2,-3.816082478E0
1.874591200E0,3.552030325E-1,-5.394144058E-1,-1.778101921E0
1.891257138E0,-2.231286764E-1,-2.723484039E-1,1.190262794E0
1.907923075E0,-7.452476621E-1,-6.418011189E-1,1.770211220E0
1.924589013E0,-8.922660351E-1,-9.001500607E-1,4.807233810E-1
1.941254950E0,-1.100843191E0,-5.797338486E-2,4.742622375E-3
1.957920888E0,-8.124362826E-1,1.277074814E-1,2.569494247E-1
1.974586825E0,-6.224250793E-2,-1.412146091E-1,3.630962372E-1
1.991252763E0,7.176802158E-1,1.257085800E-2,5.096187592E-1
2.007918700E0,1.502102852E0,-9.848737717E-2,9.358692169E-2
2.024584638E0,1.814305782E0,-7.482600212E-2,-1.489858627E-1
2.041250575E0,4.548239708E-1,8.597040176E-2,-2.162246704E-1
2.057916513E0,1.897587180E-1,5.912480354E-1,2.233448029E-1
2.074582450E0,-1.005648613E0,8.585124016E-1,5.116224289E-1
2.091248388E0,-1.328308582E0,7.491316795E-1,4.931106567E-1
2.107914325E0,-1.005929947E0,1.577899456E-1,9.287109375E-1
2.124580263E0,-2.356709242E-1,-1.305718422E-1,8.526201248E-1
2.141246200E0,4.264065027E-1,-4.677891731E-2,1.437759399E-1
2.157912138E0,5.832440853E-1,1.212511063E-1,-3.054265976E-1
2.174578075E0,4.559434652E-1,9.967494011E-2,-1.976022720E-1
2.191244013E0,2.075817585E-1,4.205584526E-2,1.144247055E-1
2.207909950E0,7.071709633E-2,-1.196148396E-1,6.129188538E-1
2.224575888E0,1.267050505E-1,-2.146489620E-1,8.324670792E-1
2.241241825E0,-5.947589874E-2,-1.629672050E-1,1.045593262E0
2.257907763E0,-2.711296082E-1,-1.611514091E-1,1.025382996E0
2.274573700E0,-1.148247719E-1,-1.742169857E-1,7.403554916E-1
2.291239638E0,5.905056000E-2,-1.792764664E-2,3.969841003E-1
2.307905575E0,1.072510481E-1,-4.275822639E-2,2.786607742E-1
2.324571513E0,5.912828445E-2,-1.837208271E-1,8.185291290E-2
2.341237450E0,-7.134509087E-2,-1.105663776E-1,1.799936295E-1
2.357903388E0,-5.608131289E-1,-5.753898621E-2,8.482265472E-2
2.374569325E0,-1.823710203E-1,-2.316164970E-2,1.619739532E-1
2.391235263E0,1.267775297E-1,-4.694604874E-2,-9.627723694E-2
2.407901200E0,6.582958698E-1,2.735757828E-2,-2.584133148E-1
2.424567138E0,6.174421310E-2,-2.449512482E-3,-7.636899948E-1
2.441233075E0,9.729766846E-2,3.204965591E-2,-6.535310745E-1
