"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.244870000E-2,-3.061959706E-2,1.514181048E-1,-1.165988147E-1
6.911463800E-2,2.153298259E-2,2.599229515E-1,-3.129154742E-1
8.578057500E-2,-7.964149863E-2,8.788817376E-2,-2.507599890E-1
1.024465130E-1,-1.669951528E-1,-2.574795187E-1,-9.880737960E-2
1.191124500E-1,-1.303432733E-1,-4.752528071E-1,-3.588830587E-3
1.357783880E-1,-9.262236953E-2,-4.208094776E-1,8.399390616E-3
1.524443250E-1,-5.222893879E-2,-1.638644785E-1,-1.939495653E-2
1.691102630E-1,5.459604040E-2,7.108938694E-2,-6.123919412E-2
1.857762000E-1,5.131264031E-2,1.186604798E-1,-3.978256881E-2
2.024421380E-1,-8.170315996E-3,-7.292198390E-2,3.023780696E-2
2.191080750E-1,9.697478265E-3,-2.851974964E-1,4.917461425E-2
2.357740130E-1,5.933023989E-2,-3.124573231E-1,-1.985310577E-3
2.524399500E-1,5.513054505E-2,-1.995237023E-1,-4.413498193E-2
2.691058880E-1,-1.908952487E-3,-8.529199660E-2,-3.924806044E-2
2.857718250E-1,-7.506000996E-2,-5.734493211E-2,-4.123337101E-3
3.024377630E-1,-1.065195426E-1,-4.619665071E-2,-7.559451740E-3
3.191037000E-1,-8.231402934E-2,-4.352411721E-3,-2.443459071E-2
3.357696380E-1,-4.512763396E-2,4.352411628E-2,-2.924515121E-2
3.524355750E-1,1.458439697E-2,2.176205814E-2,-3.344484791E-2
3.691015130E-1,7.032580674E-2,-6.192641705E-2,-1.130099874E-2
3.857674500E-1,1.036942974E-1,-1.353829056E-1,3.268126398E-2
4.024333880E-1,2.832885459E-2,-1.898262352E-1,3.459021822E-2
4.190993250E-1,-1.033888608E-1,-2.713766694E-1,4.276053514E-3
4.357652630E-1,-2.325104028E-1,-3.833940029E-1,1.985310577E-3
4.524312000E-1,-3.647626340E-1,-4.722748399E-1,2.542724647E-2
4.690971380E-1,-5.054906011E-1,-5.945241451E-1,2.611446939E-2
4.857630750E-1,-6.222421527E-1,-7.325032353E-1,1.725693047E-2
5.024290130E-1,-6.756927967E-1,-8.819360137E-1,2.038761228E-2
