"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.356151300E-2,-4.211966038E0,4.144967079E0,7.442575932E0
3.022745000E-2,-2.895913601E0,4.000500202E0,8.510073662E0
4.689338800E-2,-2.603989124E0,3.849453449E0,8.331210136E0
6.355932500E-2,-3.667897940E0,4.052843571E0,7.634599686E0
8.022526300E-2,-4.715655327E0,4.384847641E0,6.924529552E0
9.689120000E-2,-4.922335148E0,4.358227253E0,6.992724895E0
1.135571380E-1,-4.698905468E0,4.342673779E0,7.543373585E0
1.302230750E-1,-4.266402721E0,4.118945122E0,7.653144360E0
1.468890130E-1,-4.043870449E0,4.011866093E0,8.108079910E0
1.635549500E-1,-4.103391647E0,3.943371773E0,8.341380119E0
1.802208880E-1,-4.551148891E0,4.094418526E0,8.063812256E0
1.968868250E-1,-4.806283474E0,4.191926003E0,7.814061642E0
2.135527630E-1,-4.606781960E0,4.339084625E0,8.175676346E0
2.302187000E-1,-4.181457520E0,4.091427803E0,8.297710419E0
2.468846380E-1,-4.266701698E0,4.119244099E0,8.160721779E0
2.635505750E-1,-4.513162613E0,4.159324169E0,7.936992645E0
2.802165130E-1,-4.586442947E0,4.038785458E0,7.866105556E0
2.968824500E-1,-4.368396759E0,4.060320854E0,7.969893932E0
3.135483880E-1,-4.356731892E0,4.072285175E0,8.061419487E0
3.302143250E-1,-4.294817448E0,4.022634029E0,8.108378410E0
3.468802630E-1,-4.289433479E0,4.098007679E0,8.157132149E0
3.635462000E-1,-4.392923355E0,4.118945122E0,8.048558235E0
3.802121380E-1,-4.463212490E0,4.104887009E0,8.021040916E0
3.968780750E-1,-4.230211258E0,4.070789337E0,7.625028610E0
4.135440130E-1,-4.196412563E0,4.226323128E0,7.499405384E0
4.302099500E-1,-4.383052826E0,4.273282051E0,7.481758118E0
4.468758880E-1,-4.405186653E0,4.214358807E0,7.376473904E0
4.635418250E-1,-4.260420799E0,4.159324169E0,7.321439266E0
4.802077630E-1,-4.076771736E0,4.099802494E0,7.340581894E0
4.968737000E-1,-3.972384691E0,3.910171270E0,7.566703320E0
5.135396380E-1,-4.039682865E0,3.586242914E0,7.668697357E0
5.302055750E-1,-4.118346691E0,3.360420227E0,7.603792191E0
5.468715130E-1,-2.666501760E0,3.664906979E0,7.668697357E0
5.635374500E-1,-2.994019270E0,3.715455294E0,5.593522072E0
5.802033880E-1,-3.189333439E0,3.694219112E0,5.059324265E0
5.968693250E-1,-1.756929994E0,3.189034462E0,6.096911907E0
6.135352630E-1,-1.470090389E0,1.941775560E0,8.198707581E0
6.302012000E-1,-7.283154130E-1,1.156630635E0,9.801898956E0
6.468671380E-1,-1.974078640E-2,1.047757268E0,1.076471043E1
6.635330750E-1,5.859424472E-1,6.191428304E-1,9.876674652E0
6.801990130E-1,3.852444589E-1,6.939185858E-1,1.193689442E1
6.968649500E-1,4.504488707E-1,5.509474277E-1,1.299422359E1
7.135308880E-1,7.612167001E-1,8.309076428E-1,1.198654556E1
7.301968250E-1,3.084647417E0,1.194018483E0,1.042762184E1
7.468627630E-1,3.544667721E0,8.647062778E-1,1.126002502E1
7.635287000E-1,3.938885212E0,-4.854438901E-1,1.016231823E1
7.801946380E-1,4.141676903E0,-1.967498422E0,9.777970314E0
