"event","experiment time","system time","system time text"
"START",0.000000000E0,1658337970.882,"2022-07-20 19:26:10.882 UTC+02:00"
"PAUSE",2.290347572E1,1658337993.786,"2022-07-20 19:26:33.786 UTC+02:00"
