"event","experiment time","system time","system time text"
"START",0.000000000E0,1658338343.910,"2022-07-20 19:32:23.910 UTC+02:00"
"PAUSE",2.194192025E1,1658338365.852,"2022-07-20 19:32:45.852 UTC+02:00"
