"event","experiment time","system time","system time text"
"START",0.000000000E0,1658348828.115,"2022-07-20 22:27:08.115 UTC+02:00"
"PAUSE",2.497049614E1,1658348853.085,"2022-07-20 22:27:33.085 UTC+02:00"
