"event","experiment time","system time","system time text"
"START",0.000000000E0,1658337097.158,"2022-07-20 19:11:37.158 UTC+02:00"
"PAUSE",2.337391041E1,1658337120.532,"2022-07-20 19:12:00.532 UTC+02:00"
