"event","experiment time","system time","system time text"
"START",0.000000000E0,1659090649.591,"2022-07-29 12:30:49.591 UTC+02:00"
"PAUSE",2.208347124E1,1659090671.674,"2022-07-29 12:31:11.674 UTC+02:00"
