"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.858343000E-3,-4.587339878E0,6.639783859E0,5.532804012E0
2.452428100E-2,-4.119244099E0,6.492924213E0,6.870990276E0
4.119021800E-2,-3.774378538E0,6.256632805E0,7.445865631E0
5.785615600E-2,-3.889533281E0,6.408876419E0,6.679265499E0
7.452209300E-2,-4.035196304E0,6.671189308E0,5.596513271E0
9.118803100E-2,-4.035196304E0,6.812664986E0,4.935794830E0
1.078539680E-1,-3.888037682E0,6.713063717E0,4.777868748E0
1.245199060E-1,-3.800101519E0,6.641279221E0,5.240880013E0
1.411858430E-1,-3.647558928E0,6.597909451E0,6.018846035E0
1.578517810E-1,-3.775275946E0,6.749255180E0,6.187839508E0
1.745177180E-1,-4.073182583E0,6.992425919E0,5.851049423E0
1.911836560E-1,-4.166801453E0,7.077969551E0,5.718247890E0
2.078495930E-1,-4.140779495E0,6.981658459E0,5.922235966E0
2.245155310E-1,-4.067798615E0,6.791429043E0,6.025426388E0
2.411814680E-1,-4.103092670E0,6.780362129E0,6.067300797E0
2.578474060E-1,-4.090829372E0,6.876374245E0,5.812465191E0
2.745133430E-1,-4.154538155E0,7.007979393E0,5.375475883E0
2.911792810E-1,-4.208675861E0,7.156334400E0,5.341079235E0
3.078452180E-1,-4.405186653E0,7.451848030E0,5.287240505E0
3.245111560E-1,-4.792823792E0,8.225327492E0,5.071587563E0
3.411770930E-1,-4.662415028E0,8.786145210E0,4.970490932E0
3.578430310E-1,-3.323630571E0,8.051250458E0,3.737289906E0
3.745089680E-1,-2.232204437E0,7.250551701E0,3.097508907E0
3.911749060E-1,-2.102393866E0,6.907480717E0,3.830310822E0
4.078408430E-1,-2.611466885E0,6.784848690E0,6.361319065E0
4.245067810E-1,-2.604288340E0,6.324230194E0,7.706085205E0
4.411727180E-1,-2.338984251E0,5.944369793E0,8.923434258E0
4.578386560E-1,-2.752942562E0,6.340082645E0,9.140283585E0
4.745045930E-1,-1.453938842E0,5.168796062E0,9.577571869E0
4.911705310E-1,-2.927319288E0,6.256034851E0,9.128319740E0
5.078364680E-1,-1.863709688E0,5.668895721E0,8.959027290E0
5.245024060E-1,-1.187737346E0,6.083452702E0,9.968798637E0
5.411683430E-1,-2.116750717E0,7.268497944E0,8.051250458E0
5.578342810E-1,-1.167697430E0,5.487041473E0,7.094120979E0
5.745002180E-1,1.420738459E0,3.425026417E0,7.244270325E0
5.911661560E-1,2.182553291E0,3.633501291E0,5.998507500E0
6.078320930E-1,2.178365946E0,3.333501101E0,6.009274960E0
6.244980310E-1,2.849552631E0,2.681157827E0,8.428119659E0
6.411639680E-1,1.495215058E0,3.431307554E0,8.916554451E0
6.578299060E-1,1.350748420E0,3.444767237E0,8.647361755E0
6.744958430E-1,9.580263495E-1,2.918047190E0,8.356036186E0
6.911617810E-1,1.010967612E0,2.873480797E0,9.780961990E0
7.078277180E-1,7.142575383E-1,3.125624657E0,1.005643559E1
7.244936560E-1,1.125523925E0,3.372085333E0,1.051047325E1
7.411595930E-1,1.045364380E0,4.055834293E0,9.907182693E0
7.578255310E-1,5.928218365E-1,4.590032101E0,8.906385422E0
7.744914680E-1,3.101696372E-1,5.134399414E0,9.099306107E0
7.911574060E-1,1.253240824E0,4.531706810E0,9.215357780E0
8.078233430E-1,1.288534999E0,4.350151539E0,8.316853523E0
8.244892810E-1,6.957131624E-1,4.756931305E0,8.631808281E0
8.411552180E-1,9.248259664E-1,5.377569675E0,9.138788223E0
8.578211560E-1,1.002592683E0,6.188736439E0,9.431609154E0
8.744870930E-1,1.257727385E0,5.901299000E0,1.029182911E1
8.911530310E-1,1.390828192E-1,4.800002098E0,1.096929741E1
9.078189680E-1,-2.931207791E-2,4.168296814E0,1.116760254E1
9.244849060E-1,-2.156531364E-1,4.118346691E0,1.138504982E1
9.411508430E-1,-1.304088354E0,4.157230377E0,1.071775150E1
9.578167810E-1,-2.315055847E0,4.823631287E0,9.525228500E0
9.744827180E-1,-2.292922258E0,4.972285271E0,9.630213737E0
9.911486560E-1,-1.813759565E0,5.090431213E0,1.014317513E1
1.007814593E0,-1.648953915E0,4.675276279E0,1.012403297E1
1.024480531E0,-1.870589137E0,4.101896286E0,1.003101158E1
1.041146468E0,-2.265404940E0,3.751048565E0,1.028853893E1
1.057812406E0,-2.727817774E0,3.436392307E0,1.042792130E1
1.074478343E0,-2.650051117E0,3.117249727E0,9.690333366E0
1.091144281E0,-2.222334146E0,3.093919754E0,8.504390717E0
1.107810218E0,-2.031207323E0,3.130410194E0,7.673183918E0
1.124476156E0,-1.922034740E0,3.111566782E0,7.648956776E0
1.141142093E0,-1.878963947E0,3.037090063E0,7.724928856E0
1.157808031E0,-1.649552107E0,2.953939438E0,7.677670479E0
1.174473968E0,-1.644766450E0,3.080160856E0,7.707581043E0
1.191139906E0,-2.015055656E0,3.417548895E0,7.994420528E0
1.207805843E0,-2.105384827E0,3.656532049E0,8.848059654E0
1.224471781E0,-1.783849239E0,3.762713671E0,1.001186943E1
1.241137718E0,-1.737787485E0,3.786941051E0,1.015543842E1
1.257803656E0,-1.862513304E0,4.065405846E0,9.619147301E0
1.274469593E0,-1.700698733E0,4.621438026E0,8.816354752E0
1.291135531E0,-1.268794179E0,4.234996796E0,8.411070824E0
1.307801468E0,-9.867402315E-1,4.172484398E0,8.644371033E0
1.324467406E0,-1.095314622E0,3.997808456E0,8.886942863E0
