"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.563490600E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.230084300E-2,8.749961853E-5,-9.551048279E-4,-2.098746300E-1
6.896678100E-2,-1.462910175E-1,1.525564194E-1,-8.374023438E-1
8.563271800E-2,-1.490483284E-1,2.270193100E-1,-1.234250069E0
1.022986560E-1,-2.615594864E-2,1.230072975E-1,-1.234926701E0
1.189645930E-1,-2.284526825E-3,3.566455841E-2,-8.505439758E-1
1.356305310E-1,1.488137245E-1,-4.635953903E-2,-7.004261017E-2
1.522964680E-1,8.460760117E-2,7.958555222E-2,3.120222092E-1
1.689624060E-1,-1.563119888E-1,2.409148216E-1,3.948354721E-2
1.856283430E-1,-3.087944984E-1,3.735661507E-1,-1.811099052E-1
2.022942810E-1,-3.018007278E-1,3.071899414E-1,-4.881238937E-2
2.189602180E-1,-2.144107819E-1,1.048078537E-1,6.515264511E-2
2.356261560E-1,-2.075040340E-1,2.180147171E-2,1.154937744E-1
2.522920930E-1,-2.315733433E-1,1.164717674E-1,7.664203644E-3
2.689580310E-1,-2.096214294E-1,1.861004829E-1,-4.508948326E-1
2.856239680E-1,-3.197093010E-1,3.466691971E-1,-5.775532722E-1
3.022899060E-1,-3.861691952E-1,5.266308784E-1,-5.549411774E-1
3.189558430E-1,-7.550356388E-1,1.053230286E0,-7.961592674E-1
3.356217810E-1,-9.818999767E-1,1.887207985E0,-8.556380272E-1
3.522877180E-1,-1.484274864E-2,1.310674667E0,-1.735774040E0
3.689536560E-1,9.375705719E-1,7.245125771E-1,-2.901168108E0
3.856195930E-1,1.496060014E0,9.015083313E-2,-2.592821360E0
4.022855310E-1,6.711244583E-1,3.768362999E-1,-1.001087189E0
4.189514680E-1,4.885020256E-1,1.519656181E-1,7.094969749E-1
4.356174060E-1,5.427269936E-1,-2.580671310E-1,1.632087231E0
4.522833430E-1,3.941211700E-1,2.785892487E-1,2.053209782E0
4.689492810E-1,5.337760448E-1,-2.225050926E-1,1.941293716E0
4.856152180E-1,-8.216619492E-2,-2.523384094E-1,1.646336555E0
5.022811560E-1,1.489386559E-1,2.947044373E-1,1.380428791E0
5.189470930E-1,4.075843096E-1,2.123861313E-1,1.475015640E0
5.356130310E-1,-2.542155981E-1,1.320796967E0,8.321113586E-1
5.522789680E-1,-6.181850433E-1,8.763265610E-1,-1.148927212E0
5.689449060E-1,1.638881922E0,-1.717295408E0,-8.571133614E-1
5.856108430E-1,2.721031189E0,-1.839831114E0,-1.835204601E0
6.022767810E-1,2.440504551E0,-1.690620661E0,-2.615085125E0
6.189427180E-1,3.119210958E0,-2.307295561E0,-6.102323532E-1
6.356086560E-1,2.313851118E0,-1.750583172E0,5.611190796E-1
6.522745930E-1,1.573494077E0,-1.280917168E0,4.920549393E-1
6.689405310E-1,1.137977839E0,-1.595680475E0,-3.541402817E-1
6.856064680E-1,1.186922550E0,-1.805319071E0,9.339904785E-1
7.022724060E-1,7.043880224E-1,-1.296155691E0,1.289011955E0
7.189383430E-1,8.712148070E-1,-1.294898748E0,1.800576210E0
7.356042810E-1,8.937377930E-1,-5.276188850E-1,1.605661392E0
7.522702180E-1,4.050901532E-1,-1.972408295E-1,4.349079132E-1
7.689361560E-1,-2.217719555E-1,6.772227287E-1,3.501930237E-1
7.856020930E-1,1.980127096E-1,2.218065262E-1,6.094713211E-1
8.022680310E-1,6.899811029E-1,2.002191544E-2,-1.559457779E-1
8.189339680E-1,-1.137341261E-1,5.811691284E-2,-1.884403229E-1
8.355999060E-1,-1.155197620E-3,9.007244110E-1,2.684602737E-1
8.522658430E-1,1.185346246E-1,1.428440094E0,5.586099625E-1
