"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.205495200E-2,2.452344179E0,2.537588358E0,6.698407650E0
2.872089000E-2,2.034497499E0,2.565704107E0,6.093921185E0
4.538682700E-2,2.337787628E0,2.387737989E0,6.707979202E0
6.205276500E-2,1.869093537E0,2.511267424E0,8.527421951E0
7.871870200E-2,2.025225163E0,2.831008196E0,8.483453751E0
9.538464000E-2,3.009572744E0,2.838186741E0,7.758428097E0
1.120505770E-1,3.927818298E0,2.706282377E0,7.483552933E0
1.287165150E-1,3.780360699E0,2.468794823E0,8.629714966E0
1.453824520E-1,2.785544634E0,2.255235434E0,1.005284595E1
1.620483900E-1,2.141875267E0,1.877169371E0,1.080718327E1
1.787143270E-1,2.013261080E0,1.516750455E0,1.067856884E1
1.953802650E-1,2.195115566E0,1.347458243E0,9.626325607E0
2.120462020E-1,3.030808926E0,1.459920883E0,8.621041298E0
2.287121400E-1,2.598306179E0,2.361416817E0,6.754340172E0
2.453780770E-1,2.612364054E0,1.769791484E0,6.004788399E0
2.620440150E-1,2.827120066E0,5.030909777E-1,6.452545166E0
2.787099520E-1,2.906980515E0,6.460621357E-1,7.856832981E0
2.953758900E-1,4.671388149E0,8.001000881E-1,8.780761719E0
3.120418270E-1,7.339086056E0,-1.472483277E0,7.197909832E0
3.287077650E-1,5.301896572E0,2.584248543E0,8.314460754E0
3.453737020E-1,4.650749683E0,2.232802629E0,8.370093346E0
3.620396400E-1,5.548357487E0,3.041875660E-1,8.384151459E0
3.787055770E-1,4.609772682E0,1.292423368E0,7.573582649E0
3.953715150E-1,2.044068813E0,5.638387680E0,2.863012314E0
4.120374520E-1,2.991028309E0,6.874280453E0,5.205286503E0
4.287033900E-1,3.911367655E0,6.782754898E0,1.292273808E1
4.453693270E-1,2.333002090E0,8.648558617E0,2.394587326E1
4.620352650E-1,1.343868971E0,1.096989536E1,2.855893707E1
4.787012020E-1,1.037288666E0,1.241157150E1,2.074397850E1
4.953671400E-1,2.764308453E0,1.326550961E1,1.110867882E1
5.120330770E-1,5.799603939E0,1.234008503E1,1.227697468E1
5.286990150E-1,6.972385883E0,8.528019905E0,2.200499535E1
5.453649520E-1,5.637190819E0,4.990829945E0,2.829393196E1
5.620308900E-1,6.928118706E0,2.661117792E0,2.261038017E1
5.786968270E-1,7.584649563E0,2.045564175E0,1.155434227E1
5.953627650E-1,7.374978542E0,1.497906923E0,5.277669430E0
6.120287020E-1,5.622535229E0,-1.136590727E-2,4.977370262E0
6.286946400E-1,3.004188776E0,-6.607181430E-1,6.812366009E0
6.453605770E-1,9.981061220E-1,-5.581258535E-1,7.302296638E0
6.620265150E-1,-6.658028960E-1,-4.369892478E-1,6.788138866E0
6.786924520E-1,-1.525424421E-1,-1.451546073E0,3.807579041E0
6.953583900E-1,2.389831543E0,-2.507079840E0,-1.717448473E0
7.120243270E-1,5.293222904E0,-2.540280342E0,-6.087340832E0
7.286902650E-1,6.930511475E0,-1.897508383E0,-7.264609337E0
7.453562020E-1,6.489036083E0,-1.999203324E0,-4.483850479E0
7.620221400E-1,5.797211170E0,-1.491326690E0,1.000798106E0
7.786880770E-1,7.211369038E0,-1.022034407E0,4.435395718E0
7.953540150E-1,1.022393322E1,-1.596012712E0,4.563711166E0
8.120199520E-1,1.208345509E1,-2.503191471E0,3.674478292E0
8.286858900E-1,1.232243824E1,-1.617249012E0,4.672883511E0
8.453518270E-1,1.453101349E1,-2.697907388E-1,7.964809418E0
8.620177650E-1,1.795185280E1,1.098903775E0,1.194287682E1
8.786837020E-1,2.088246155E1,3.767798424E0,1.471017647E1
8.953496400E-1,2.363420868E1,5.769693375E0,1.443948841E1
9.120155770E-1,2.393241310E1,5.507081509E0,1.256740379E1
9.286815150E-1,1.966780663E1,4.491627216E0,1.219262791E1
9.453474520E-1,1.281296730E1,3.544966698E0,1.380808258E1
9.620133900E-1,8.627620697E0,3.380759239E0,1.510618877E1
9.786793270E-1,7.459624767E0,3.601198196E0,1.383859062E1
9.953452650E-1,6.818048954E0,4.575376034E0,9.895518303E0
1.012011202E0,6.185446739E0,6.052046776E0,5.858228207E0
1.028677140E0,8.219346046E0,7.782356739E0,2.572284460E0
1.045343077E0,9.955338478E0,9.945169449E0,1.814656854E0
1.062009015E0,1.008993530E1,1.195753288E1,3.356531858E0
1.078674952E0,1.096122169E1,1.385145187E1,5.841179371E0
1.095340890E0,9.986145973E0,1.438564968E1,6.259325027E0
1.112006827E0,7.399505138E0,1.329841137E1,2.755933523E0
1.128672765E0,4.968397141E0,1.099232769E1,1.115653589E-1
1.145338702E0,2.649452925E0,8.621339798E0,-9.113663435E-1
1.162004640E0,1.179661512E0,6.594918251E0,-5.138586760E-1
1.178670577E0,8.970093727E-1,5.501398563E0,1.243669510E0
1.195336515E0,1.226022482E0,4.324129581E0,3.253640652E0
1.212002452E0,1.991426587E0,2.933301449E0,5.730212212E0
1.228668390E0,2.277967215E0,1.477268934E0,6.723831654E0
1.245334327E0,2.511865616E0,8.048857450E-1,5.336293697E0
1.262000265E0,1.951645970E0,3.191128016E0,4.159324169E0
1.278666202E0,3.536591768E0,7.088139057E0,2.997010469E0
1.295332140E0,1.029661465E1,1.001934624E1,4.392923355E0
1.311998077E0,1.766232109E1,1.255603790E1,7.934599876E0
1.328664015E0,2.337398911E1,1.589851189E1,1.100698376E1
1.345329952E0,2.224188423E1,1.521356678E1,1.050748253E1
1.361995890E0,1.721516228E1,1.409881020E1,8.268398285E0
1.378661827E0,1.068485069E1,1.198594761E1,3.340978622E0
1.395327765E0,4.704887390E0,1.051137066E1,-1.259521961E0
1.411993702E0,3.481557071E-1,9.903892517E0,-5.517549992E0
1.428659640E0,-2.184347868E0,9.811470032E0,-7.720442295E0
1.445325577E0,-3.350250721E0,9.205188751E0,-7.902296543E0
1.461991515E0,-3.673281908E0,8.282456398E0,-5.957231045E0
1.478657452E0,-3.391526937E0,7.513463020E0,-2.796312332E0
1.495323390E0,-2.254936218E0,7.304090977E0,1.170987606E0
1.511989327E0,-5.955137610E-1,7.318747044E0,4.048057556E0
1.528655265E0,1.655534148E0,6.833602428E0,4.242773533E0
1.545321202E0,4.397110939E0,6.388537407E0,2.496013165E0
1.561987140E0,6.647859573E0,6.128018856E0,1.674078584E0
1.578653077E0,8.286344528E0,6.206383705E0,2.622533560E0
1.595319015E0,8.967103004E0,6.436094761E0,3.319443226E0
1.611984952E0,9.232706070E0,6.568896294E0,2.738286495E0
1.628650890E0,9.015856743E0,6.412764549E0,2.154736757E0
1.645316827E0,8.593822479E0,5.961418629E0,2.508874655E0
1.661982765E0,7.633104324E0,5.144568920E0,3.318545818E0
1.678648702E0,6.398407936E0,4.808975220E0,3.782753468E0
1.695314640E0,5.241178989E0,5.018048286E0,3.413660526E0
1.711980577E0,4.444668293E0,5.374279499E0,2.178964138E0
1.728646515E0,4.482953072E0,5.405087471E0,3.664009571E-1
1.745312452E0,4.550251484E0,5.303392410E0,-1.216451168E0
1.761978390E0,4.482953072E0,5.551647663E0,-1.947757602E0
1.778644327E0,4.216751575E0,6.270092487E0,-1.402792215E0
1.795310265E0,4.818845749E0,7.533204079E0,-9.870393574E-2
1.811976202E0,6.769594193E0,7.990531921E0,-9.562317729E-1
1.828642140E0,8.381160736E0,7.840681553E0,-2.843570709E0
1.845308077E0,1.017787075E1,8.074580193E0,-2.404786825E0
1.861974015E0,1.348206043E1,9.445367813E0,-9.568299651E-1
1.878639952E0,1.463898945E1,1.004477024E1,2.721835673E-2
1.895305890E0,1.211456203E1,9.979565620E0,2.453540564E0
1.911971827E0,8.855836868E0,9.632008553E0,4.498207569E0
1.928637765E0,8.828618050E0,8.472985268E0,6.083452702E0
1.945303702E0,1.399561977E1,7.866703510E0,6.698707104E0
1.961969640E0,1.603998756E1,8.575278282E0,6.981359005E0
1.978635577E0,1.275553894E1,8.643773079E0,5.793920994E0
1.995301515E0,8.149056435E0,8.219944000E0,4.120440483E0
2.011967452E0,5.922235966E0,7.459325314E0,4.289433479E0
2.028633390E0,5.191228867E0,6.822535515E0,5.538786411E0
2.045299327E0,4.498207569E0,6.085845470E0,6.506383896E0
2.061965265E0,5.606981754E0,5.627021313E0,7.314559937E0
2.078631202E0,7.563114166E0,5.934499264E0,7.760222912E0
2.095297140E0,6.477071762E0,5.781956673E0,6.172883987E0
2.111963077E0,4.737788677E0,5.229514122E0,4.217947960E0
2.128629015E0,4.017848492E0,4.841876507E0,2.566900492E0
2.145294952E0,3.838087559E0,4.843970299E0,2.741576433E0
2.161960890E0,4.065405846E0,5.041677475E0,4.202394962E0
2.178626827E0,4.782953262E0,5.145166874E0,5.605485916E0
2.195292765E0,5.220839977E0,5.471786976E0,6.905686378E0
2.211958702E0,5.350052357E0,5.647360325E0,8.122436523E0
2.228624640E0,5.565107346E0,5.633003712E0,8.973383904E0
2.245290577E0,5.572584629E0,5.175974369E0,9.227023125E0
2.261956515E0,5.251946449E0,4.604389191E0,9.105886459E0
2.278622452E0,4.790132046E0,3.930510283E0,8.238189697E0
2.295288390E0,3.949054718E0,3.242872953E0,7.215855598E0
2.311954327E0,3.184846878E0,2.551646233E0,6.587141514E0
2.328620265E0,2.888136864E0,2.172383785E0,6.414858341E0
2.345286202E0,2.887837887E0,2.243869543E0,6.800402164E0
2.361952140E0,2.898904562E0,2.761018276E0,7.236494064E0
2.378618077E0,3.968197346E0,3.523132324E0,7.548458099E0
2.395284015E0,6.360122681E0,4.624428749E0,9.110671997E0
2.411949952E0,8.298009872E0,5.239683151E0,1.235115242E1
2.428615890E0,9.448060036E0,5.314758301E0,1.501436424E1
2.445281827E0,1.026161957E1,4.916951656E0,1.534397507E1
2.461947765E0,1.001815033E1,4.915455818E0,1.380778313E1
2.478613702E0,9.331708908E0,4.773082733E0,1.098694420E1
2.495279640E0,8.508578300E0,4.311866283E0,8.201399803E0
2.511945577E0,7.134200573E0,3.852444410E0,6.037091732E0
2.528611515E0,5.473282814E0,3.346063375E0,4.899603367E0
2.545277452E0,4.083052635E0,3.082553864E0,4.737489700E0
2.561943390E0,3.632902861E0,2.857030153E0,5.171188831E0
2.578609327E0,3.848556042E0,2.930609465E0,6.032904148E0
2.595275265E0,4.247858524E0,2.988037348E0,6.592226505E0
2.611941202E0,4.485944271E0,2.809472799E0,6.228816509E0
2.628607140E0,4.706682205E0,3.061018467E0,5.581857204E0
2.645273077E0,4.816751957E0,3.276073217E0,4.977669239E0
2.661939015E0,4.987240791E0,3.554538012E0,5.199304581E0
2.678604952E0,5.349453926E0,3.687937975E0,6.310471535E0
2.695270890E0,5.988337994E0,3.868296862E0,8.026424408E0
2.711936827E0,6.318846226E0,3.881158352E0,9.137591362E0
2.728602765E0,6.045167446E0,3.695714474E0,9.178568840E0
2.745268702E0,5.472684383E0,3.695116282E0,8.462815285E0
2.761934640E0,5.176273346E0,3.656532049E0,7.786543846E0
2.778600577E0,5.338088036E0,3.635594845E0,7.380362511E0
2.795266515E0,5.759523869E0,3.580559969E0,7.433901787E0
2.811932452E0,6.287440777E0,3.540779352E0,7.922336578E0
2.828598390E0,6.672984123E0,3.689732552E0,8.283054352E0
2.845264327E0,6.816254616E0,3.648157120E0,8.140083313E0
2.861930265E0,6.901199818E0,3.401098251E0,7.552346706E0
2.878596202E0,7.031309128E0,3.241676569E0,6.989135742E0
2.895262140E0,7.436892986E0,3.243471146E0,7.441379547E0
2.911928077E0,7.890631676E0,3.432803154E0,9.088239670E0
2.928594015E0,7.994420528E0,3.468097210E0,1.094028378E1
2.945259952E0,7.830213070E0,3.410071373E0,1.158544922E1
2.961925890E0,7.467999458E0,3.055933714E0,1.070758247E1
2.978591827E0,6.545865536E0,2.905484915E0,8.933603287E0
2.995257765E0,5.695217133E0,2.799303293E0,6.792325974E0
3.011923702E0,5.587540150E0,2.770290375E0,4.914259434E0
