"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.872089000E-2,-7.208204269E-1,8.422298431E-1,-3.523162603E-1
4.538682700E-2,-1.215391874E0,9.721912742E-1,-4.301251769E-1
6.205276500E-2,-9.638682604E-1,1.019533277E0,-3.625482321E-1
7.871870200E-2,-5.487092733E-1,6.998219490E-1,-2.394589931E-1
9.538464000E-2,-3.543015718E-1,2.202167511E-1,-2.351829410E-1
1.120505770E-1,-6.075813770E-1,-9.728021920E-2,-4.351648092E-1
1.287165150E-1,-1.080008984E0,-1.026252806E-1,-7.320450544E-1
1.453824520E-1,-1.374522090E0,2.131154537E-1,-8.870519996E-1
1.620483900E-1,-1.346651435E0,6.802743077E-1,-8.228348494E-1
1.787143270E-1,-1.119562387E0,8.998801708E-1,-7.303652167E-1
1.953802650E-1,-7.578541040E-1,5.493965149E-1,-7.021127343E-1
2.120462020E-1,-5.045742989E-1,-2.853502035E-1,-7.555633783E-1
2.287121400E-1,-4.456258714E-1,-9.495893121E-1,-9.924262166E-1
2.453780770E-1,-6.795870662E-1,-6.883682609E-1,-1.093218923E0
2.620440150E-1,-9.867756963E-1,-2.549596727E-1,-1.082757831E0
2.787099520E-1,-1.035339475E0,5.322159454E-2,-8.404735923E-1
2.953758900E-1,-8.882737756E-1,-3.568213880E-1,-8.271108866E-1
3.120418270E-1,-9.453132749E-1,-1.446146011E0,-1.449123979E0
3.287077650E-1,-1.076649189E0,-2.500651360E0,-1.858632445E0
3.453737020E-1,-6.992111206E-1,-3.216584921E0,-1.539990067E0
3.620396400E-1,1.832594397E-3,-3.023627996E0,-1.309846759E0
3.787055770E-1,8.231402636E-1,-2.578078508E0,-1.319162488E0
3.953715150E-1,5.386300087E-1,-1.573816776E0,-1.163391948E0
4.120374520E-1,-1.223943949E0,-5.441278219E-1,-7.330377102E-1
4.287033900E-1,-2.242026567E0,-8.302416205E-1,-9.838740826E-1
4.453693270E-1,-1.155679822E0,-2.161315918E0,-8.644500375E-1
4.620352650E-1,2.243019104E0,-3.093801022E0,-7.765618712E-2
4.787012020E-1,5.061931133E0,-2.540357590E0,6.397281289E-1
4.953671400E-1,4.294837475E0,-9.674571157E-1,4.279107749E-1
5.120330770E-1,1.691560984E0,7.040216774E-2,-3.215439618E-1
5.286990150E-1,4.053087831E-1,-8.005383015E-1,-1.042593479E0
5.453649520E-1,1.819689870E0,-2.806007385E0,-1.140331864E0
5.620308900E-1,4.351266384E0,-3.351967812E0,-5.641336441E-1
5.786968270E-1,4.609051228E0,-1.665980935E0,-4.505127668E-3
5.953627650E-1,2.376034975E0,-3.154352903E-1,-1.542433500E-1
