"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.983151500E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.649745200E-2,-3.330206871E-2,3.639626503E-2,1.086453915E0
7.316339000E-2,-6.600570679E-2,2.995572090E-1,9.092979431E-1
8.982932700E-2,5.669558048E-1,3.208336830E-1,2.831406593E-1
1.064952650E-1,1.313936949E0,2.409663200E-1,-3.105764389E-1
1.231612020E-1,1.363500357E0,7.830810547E-2,3.397998810E-1
1.398271400E-1,4.223127365E-1,1.731014252E-2,1.490974426E0
1.564930770E-1,-2.175476551E-1,-1.473469734E-1,2.165286064E0
1.731590150E-1,-3.408910036E-1,-3.400423527E-1,1.970455170E0
1.898249520E-1,-6.805443764E-2,-4.663621187E-1,1.050556183E0
2.064908900E-1,3.517622948E-1,-2.538766861E-1,-1.611347198E-1
2.231568270E-1,7.310028076E-1,1.919312477E-1,-1.261949062E0
2.398227650E-1,-1.103594303E-1,5.915803909E-1,-2.646193981E0
2.564887020E-1,3.870506287E-1,-8.687462807E-1,-2.238208771E0
2.731546400E-1,2.500452995E-1,-8.854016662E-1,-1.150446892E0
2.898205770E-1,1.235662222E0,-2.284724712E-1,2.913494110E-1
3.064865150E-1,3.831350327E0,-2.226099491E0,-5.895733833E-1
3.231524520E-1,2.907168388E0,5.430090427E-2,-6.433391571E-1
3.398183900E-1,5.773637295E-1,1.960522175E0,5.052967072E-1
3.564843270E-1,1.184095383E0,-5.820977092E-1,3.831243515E-1
3.731502650E-1,4.203863144E-1,-5.376970172E-1,5.667309761E-1
3.898162020E-1,-1.687386751E0,2.152623177E0,-3.302718639E0
4.064821400E-1,-2.793880939E0,5.601515293E0,-3.357158899E0
4.231480770E-1,-4.934430122E-1,4.439143658E0,2.161471844E0
4.398140150E-1,-2.146559715E0,6.082793236E0,1.279230118E1
4.564799520E-1,-3.228579521E0,7.697645187E0,2.005255890E1
4.731458900E-1,-4.493778706E0,8.834052086E0,1.593518639E1
4.898118270E-1,-3.382881165E0,8.681808472E0,5.290745735E0
5.064777650E-1,-5.872535706E-1,8.164636612E0,2.411693573E0
5.231437020E-1,1.543202400E0,4.718040943E0,1.011938286E1
5.398096400E-1,3.646073341E-1,5.319476128E-1,1.860745239E1
5.564755770E-1,2.959842682E-1,-2.731417894E0,1.720210457E1
5.731415150E-1,1.082016468E0,-4.392667770E0,6.972844124E0
5.898074520E-1,1.109592915E0,-4.999488354E0,-9.742226601E-1
6.064733900E-1,-8.133506775E-2,-6.245457172E0,-2.791912079E0
6.231393270E-1,-2.469224691E0,-7.086764336E0,-1.148235321E0
6.398052650E-1,-4.660765648E0,-6.879582405E0,-2.355356216E-1
6.564712020E-1,-6.340672970E0,-6.471376896E0,-2.440657616E-1
6.731371400E-1,-6.831852913E0,-7.169424057E0,-1.867037773E0
6.898030770E-1,-4.672224045E0,-8.355539322E0,-6.211909294E0
7.064690150E-1,-2.077503204E0,-8.997011185E0,-1.052895546E1
