"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.576375500E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.242969200E-2,-4.409909248E-2,-1.883029938E-3,-1.091647148E-1
7.909563000E-2,-8.955192566E-2,3.872871399E-2,-1.757912636E-1
9.576156700E-2,-1.621930599E-1,3.649711609E-2,-1.870441437E-2
1.124275050E-1,-1.177115440E-1,-7.322359085E-2,4.351482391E-1
1.290934420E-1,-6.605815887E-2,-8.919095993E-2,5.435914993E-1
1.457593800E-1,-5.568718910E-2,-9.779357910E-2,3.531026840E-1
1.624253170E-1,-1.030774117E-1,-6.398677826E-3,1.694850922E-1
1.790912550E-1,-1.047234535E-1,5.271339417E-2,1.969842911E-1
1.957571920E-1,-1.680302620E-2,6.847810745E-2,-7.924461365E-2
2.124231300E-1,4.785323143E-2,1.381440163E-1,-2.792520523E-1
2.290890670E-1,2.771997452E-2,1.043105125E-1,-2.986979485E-1
2.457550050E-1,1.707077026E-3,6.412982941E-2,1.484584808E-2
2.624209420E-1,-6.633305550E-2,4.042148590E-3,1.424837112E-1
2.790868800E-1,-1.569912434E-1,-4.432344437E-2,2.397699356E-1
2.957528170E-1,-1.810903549E-1,2.254104614E-2,1.531486511E-1
3.124187550E-1,-2.884936333E-2,-2.956676483E-2,-6.574249268E-2
3.290846920E-1,1.179239750E-1,-5.385732651E-2,-6.815052032E-2
3.457506300E-1,4.285264015E-2,6.917333603E-2,-1.502590179E-1
3.624165670E-1,2.896070480E-3,-5.039834976E-2,-1.979522705E-1
3.790825050E-1,-5.151414871E-2,1.835584641E-2,-1.913285255E-1
3.957484420E-1,2.615499496E-2,-5.443143845E-2,-1.626219749E-1
4.124143800E-1,8.392596245E-2,-1.012983322E-1,-2.129917145E-1
4.290803170E-1,4.584336281E-2,3.053045273E-2,7.883071899E-3
4.457462550E-1,3.002190590E-2,3.564310074E-2,-7.904815674E-2
4.624121920E-1,5.314588547E-3,1.487970352E-2,-1.189136505E-1
4.790781300E-1,-3.021907806E-2,-3.030729294E-2,-5.826854706E-2
4.957440670E-1,-3.476333618E-2,-8.485031128E-2,-5.317497253E-2
5.124100050E-1,3.711223602E-3,-4.757165909E-2,6.364536285E-2
5.290759420E-1,-2.366924286E-2,-7.379722595E-2,1.318264008E-1
5.457418800E-1,-9.881782532E-2,-5.032014847E-2,1.017541885E-1
5.624078170E-1,-6.073093414E-2,-3.324270248E-2,-2.452182770E-2
5.790737550E-1,-2.927207947E-2,-5.429458618E-2,-1.346778870E-1
5.957396920E-1,-4.883146286E-2,-4.111003876E-2,-8.713722229E-2
6.124056300E-1,1.011848450E-3,-1.382889748E-1,-1.681995392E-2
6.290715670E-1,-2.708911896E-2,-1.476311684E-1,-5.990219116E-2
6.457375050E-1,-1.586868763E-1,-4.121351242E-2,-8.488082886E-2
6.624034420E-1,-1.802363396E-1,-4.576158524E-2,-1.297864914E-1
6.790693800E-1,-6.961297989E-2,-1.222066879E-1,2.468109131E-3
6.957353170E-1,1.959562302E-2,-1.461615562E-1,2.487201691E-1
7.124012550E-1,2.557945251E-2,-6.293344498E-2,2.158174515E-1
7.290671920E-1,7.050752640E-2,2.272415161E-2,-4.859828949E-2
7.457331300E-1,6.854701042E-2,1.015214920E-1,-3.278274536E-1
7.623990670E-1,1.059627533E-2,1.626791954E-1,-4.428687096E-1
7.790650050E-1,-1.785206795E-2,1.924295425E-1,-2.936058044E-1
7.957309420E-1,-4.574751854E-2,1.784319878E-1,-1.312255859E-1
8.123968800E-1,-1.506812572E-1,2.465195656E-1,-9.236431122E-2
8.290628170E-1,-2.331676483E-1,2.499122620E-1,-5.098915100E-2
8.457287550E-1,-2.074460983E-1,1.805014610E-1,1.235036850E-1
8.623946920E-1,-1.806173325E-1,1.719465256E-1,1.781177521E-2
8.790606300E-1,-1.195967197E-1,2.030925751E-1,-1.055679321E-1
8.957265670E-1,-1.917591095E-1,2.582359314E-1,-2.303733826E-1
9.123925050E-1,-2.271344662E-1,2.158308029E-1,-2.671079636E-1
9.290584420E-1,-2.452621460E-1,1.903414726E-1,-2.821006775E-1
9.457243800E-1,-2.122833729E-1,2.023334503E-1,-2.785272598E-1
9.623903170E-1,-1.452789307E-1,2.454085350E-1,-3.468036652E-1
