"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.465313000E-2,5.711585656E-2,-5.879573524E-3,-2.054032870E-2
5.131906700E-2,5.535962060E-2,6.872228533E-2,-3.344484791E-2
6.798500500E-2,-3.512472380E-3,5.314523727E-2,-4.871646687E-2
8.465094200E-2,-1.046869531E-1,-3.207040206E-2,-8.284853399E-2
1.013168800E-1,-1.912006736E-1,-8.849903196E-2,-9.460768104E-2
1.179828170E-1,-1.669951528E-1,-6.330086291E-2,-8.872810751E-2
1.346487550E-1,-5.047270283E-2,3.459021822E-2,-4.130972922E-2
1.513146920E-1,1.916588284E-2,8.063415438E-2,5.268708803E-3
1.679806300E-1,4.214967042E-2,6.101011857E-2,4.001164436E-2
1.846465670E-1,8.597921580E-2,4.046979360E-3,6.330086291E-2
2.013125050E-1,1.014035568E-1,-2.680169232E-2,5.902481079E-2
2.179784420E-1,4.405862093E-2,-5.031998456E-2,6.337722298E-3
2.346443800E-1,-3.611737862E-2,-1.931859925E-2,-5.482511222E-2
2.513103170E-1,-4.864010960E-2,5.039634556E-2,-7.841976732E-2
2.679762550E-1,-1.763872057E-2,9.476039559E-2,-5.597048625E-2
2.846421920E-1,3.313941509E-2,5.665770918E-2,-1.191186346E-2
3.013081300E-1,9.147699922E-2,2.084576152E-2,3.436114267E-2
3.179740670E-1,7.918334752E-2,6.261364091E-3,5.413788930E-2
3.346400050E-1,5.581776798E-2,1.130099874E-2,2.084576152E-2
3.513059420E-1,5.138900131E-2,3.787361458E-2,-1.802051067E-2
3.679718800E-1,1.427896414E-2,2.588539571E-2,-3.665188700E-2
3.846378170E-1,0.000000000E0,1.183550525E-2,-3.161225095E-2
4.013037550E-1,-3.359756200E-3,-4.581485991E-4,-1.099556591E-2
4.179696920E-1,-3.718639165E-2,-4.382954910E-2,-1.091920771E-2
4.346356300E-1,-1.282816008E-2,-1.014799103E-1,-3.993528336E-2
4.513015670E-1,-1.145371422E-2,-1.119409725E-1,-8.239039034E-2
4.679675050E-1,-3.940077871E-2,-8.643736690E-2,-9.224057943E-2
4.846334420E-1,-3.703367710E-2,-6.780599058E-2,-9.773836285E-2
