"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.876567000E-3,-2.923730135E0,4.530211449E0,8.649754524E0
2.354250500E-2,-2.823829889E0,4.434498787E0,8.663214684E0
4.020844200E-2,-2.929712296E0,4.599603176E0,8.203493118E0
5.687438000E-2,-3.081357241E0,4.673481941E0,7.945666790E0
7.354031700E-2,-3.135794163E0,4.653740883E0,7.741678715E0
9.020625500E-2,-3.288037300E0,4.729712963E0,7.787441254E0
1.068721920E-1,-3.307179928E0,4.550550461E0,8.261219978E0
1.235381300E-1,-3.273082256E0,4.498207569E0,8.683254242E0
1.402040670E-1,-3.259323597E0,4.436891556E0,8.630910873E0
1.568700050E-1,-3.308376312E0,4.510171413E0,8.411668777E0
1.735359420E-1,-3.372683525E0,4.605585575E0,8.444869041E0
1.902018800E-1,-3.283849955E0,4.634598255E0,8.258229256E0
2.068678170E-1,-3.206382275E0,4.749454021E0,7.983952045E0
2.235337550E-1,-3.185744286E0,4.743172646E0,7.823034763E0
2.401996920E-1,-3.212962627E0,4.698905468E0,8.100900650E0
2.568656300E-1,-3.289233923E0,4.644468784E0,8.286344528E0
2.735315670E-1,-3.406183004E0,4.573282242E0,8.408678055E0
2.901975050E-1,-3.480659723E0,4.610371113E0,8.405088425E0
3.068634420E-1,-3.386741400E0,4.646263599E0,8.194819450E0
3.235293800E-1,-3.194119215E0,4.557429790E0,8.083553314E0
3.401953170E-1,-3.206083298E0,4.708177567E0,8.064709663E0
3.568612550E-1,-3.291028500E0,4.640879631E0,7.954340458E0
3.735271920E-1,-3.322135210E0,4.637888432E0,7.948657513E0
3.901931300E-1,-3.331108332E0,4.644169807E0,7.965706348E0
4.068590670E-1,-3.207279682E0,4.529015064E0,7.900801182E0
4.235250050E-1,-3.239283562E0,4.634000301E0,8.089236259E0
4.401909420E-1,-3.234498024E0,4.672883511E0,8.091927528E0
4.568568800E-1,-3.256930828E0,4.657330036E0,8.003393173E0
4.735228170E-1,-3.281157970E0,4.602893353E0,8.070093155E0
4.901887550E-1,-3.308974504E0,4.530211449E0,8.083553314E0
5.068546920E-1,-3.269193888E0,4.532305241E0,8.171190262E0
5.235206300E-1,-3.251247883E0,4.507180691E0,8.287541389E0
5.401865670E-1,-3.333501101E0,4.510171413E0,8.303992271E0
5.568525050E-1,-3.336791277E0,4.526921272E0,8.203493118E0
5.735184420E-1,-3.256930828E0,4.508377075E0,8.072187424E0
5.901843800E-1,-3.277868032E0,4.507479668E0,8.081758499E0
6.068503170E-1,-3.234797001E0,4.421637058E0,8.167002678E0
6.235162550E-1,-3.219243765E0,4.335196495E0,8.179863930E0
6.401821920E-1,-3.331407309E0,4.398606300E0,8.147561073E0
6.568481300E-1,-3.392125130E0,4.418047905E0,8.128119469E0
6.735140670E-1,-3.302693367E0,4.322035789E0,8.195417404E0
6.901800050E-1,-3.156731367E0,4.215854168E0,8.491529465E0
7.068459420E-1,-3.116950512E0,4.263411522E0,8.582756042E0
7.235118800E-1,-3.054737091E0,4.333701134E0,8.397312164E0
7.401778170E-1,-3.016452074E0,4.419244289E0,8.106285095E0
7.568437550E-1,-3.069393158E0,4.468895435E0,7.897810459E0
7.735096920E-1,-3.110669374E0,4.497310162E0,7.980063438E0
7.901756300E-1,-3.142972469E0,4.465006828E0,8.178069115E0
8.068415670E-1,-3.220739365E0,4.470689774E0,8.265707016E0
