"event","experiment time","system time","system time text"
"START",0.000000000E0,1659090715.611,"2022-07-29 12:31:55.611 UTC+02:00"
"PAUSE",2.355035645E1,1659090739.161,"2022-07-29 12:32:19.161 UTC+02:00"
